0	Index      	 *	Score 	Summary	Detail	
1	61121 43325	 * 	361.51	DCR|4VULN|1CDMG|1DMG|1DUR	137aVULN|2BBNT|3BPWR|4LIT|5DUR|6DMG|8CDMG|9RCR
2	62143 21361	 * 	358.11	DCR|2MDPS|1VULN|1DUR	1VULN|2BELT|3CGEN|4RPLT|5FEWX|6DUR|7RCR|8DUST|9aMDPS
3	63116 11361	 * 	358.01	DCR|2MDPS|1VULN|1CDMG|1DUR	1VULN|2CGEN|3RAT|4TSLARM|5DUR|6MLV|7RCR|89MDPS|aCDMG
4	63116 11362	   	358.01	DCR|2MDPS|1VULN|1DUR	1VULN|2CGEN|3RAT|4TSLARM|5DUR|6aMLV|7RCR|89MDPS
5	63116 11363	   	358.01	DCR|2MDPS|1VULN|1DUR	1VULN|2CGEN|3RAT|4TSLARM|5DUR|6MLV|7RCR|89MDPS|aERES
6	63263 12421	   	358.01	DCR|2MDPS|1VULN|1CDMG|1DUR	1VULN|2CGEN|3DUR|4AETHUN|5RCVC|6RCR|7FLTARM|8aMDPS|9CDMG
7	63214 12421	   	357.91	DCR|2MDPS|1VULN|1CDMG|1DUR	1VULN|2CGEN|3DUR|4AEPOI|5LHND|6RCR|7AIRBOS|8aMDPS|9CDMG
8	63214 14231	   	357.91	DCR|2MDPS|1VULN|1CDMG|1DUR	1VULN|2CGEN|3DUR|4AEPOI|5LHND|6RCR|79MDPS|8FEWX|aCDMG
9	63214 14232	   	357.91	DCR|2MDPS|1VULN|1DUR	1VULN|2CGEN|3DUR|4AEPOI|5LHND|6RCR|79MDPS|8FEWX|aLEGI
10	63214 14233	   	357.91	DCR|2MDPS|1VULN|1DUR	1VULN|2CGEN|3DUR|4AEPOI|5aLHND|6RCR|79MDPS|8FEWX
11	63223 12421	   	357.91	DCR|2MDPS|1VULN|1CDMG|1DUR	1VULN|2CGEN|3DUR|4DUST|5RCVC|6RCR|7AIRBOS|8aMDPS|9CDMG
12	63235 12421	   	357.91	DCR|2MDPS|1VULN|1CDMG|1DUR	1VULN|2CGEN|3DUR|4AME|5ERES|6RCR|7FLTARM|8aMDPS|9CDMG
13	63251 12421	   	357.91	DCR|2MDPS|1VULN|1CDMG|1DUR	1VULN|2CGEN|3DUR|4DMSP|5DUST|6RCR|7AIRBOS|8aMDPS|9CDMG
14	63263 14231	   	357.91	DCR|2MDPS|1VULN|1CDMG|1DUR	1VULN|2CGEN|3DUR|4AETHUN|5RCVC|6RCR|79MDPS|8FEWX|aCDMG
15	63263 14232	   	357.91	DCR|2MDPS|1VULN|1DUR	1VULN|2CGEN|3DUR|4AETHUN|5RCVC|6RCR|79MDPS|8FEWX|aLEGI
16	63263 14233	   	357.91	DCR|2MDPS|1VULN|1DUR	1VULN|2CGEN|3DUR|4AETHUN|5RCVC|6RCR|79MDPS|8FEWX|aLHND
17	61661 41111	 * 	357.91	DCR|DCR|1MDPS|1VULN|1DUR	1VULN|2BBNT|3LIT|4MBVNT|5CGEN|6DUR|78RCR|9MDPS|aDMSP
18	61661 41112	 * 	357.91	DCR|DCR|1MDPS|1VULN|1CDMG|1DUR	1VULN|2BBNT|3LIT|4MBVNT|5CGEN|6DUR|78RCR|9MDPS|aCDMG
19	61661 41113	   	357.91	DCR|DCR|1MDPS|1VULN|1DUR	1VULN|2BBNT|3LIT|4MBVNT|5CGEN|6DUR|78RCR|9MDPS|aRMIN
20	61661 41114	   	357.91	DCR|DCR|1MDPS|1VULN|1DUR	1VULN|2BBNT|3LIT|4MBVNT|5CGEN|6DUR|78RCR|9MDPS|aFRZFST
21	63516 13231	   	357.91	DCR|2MDPS|1VULN|1CDMG|1DUR	1VULN|2CGEN|3LWND|4AEPOI|5DUR|6RCR|79MDPS|8FEWX|aCDMG
22	63516 13232	   	357.91	DCR|2MDPS|1VULN|1DUR	1VULN|2CGEN|3LWND|4AEPOI|5DUR|6RCR|79MDPS|8FEWX|aLEGI
23	63516 13233	   	357.91	DCR|2MDPS|1VULN|1DUR	1VULN|2CGEN|3LWND|4AEPOI|5DUR|6RCR|79MDPS|8FEWX|aLHND
24	63211 12421	   	357.81	DCR|2MDPS|1VULN|1CDMG|1DUR	1VULN|2CGEN|3DUR|4AEPOI|5DUST|6RCR|7AIRBOS|8aMDPS|9CDMG
25	63226 12421	   	357.81	DCR|2MDPS|1VULN|1CDMG|1DUR	1VULN|2CGEN|3DUR|4DUST|5AEFRZ|6RCR|7AIRBOS|8aMDPS|9CDMG
26	63235 14231	   	357.81	DCR|2MDPS|1VULN|1CDMG|1DUR	1VULN|2CGEN|3DUR|4AME|5ERES|6RCR|79MDPS|8FEWX|aCDMG
27	63235 14232	   	357.81	DCR|2MDPS|1VULN|1DUR	1VULN|2CGEN|3DUR|4AME|5ERES|6RCR|79MDPS|8FEWX|aLEGI
28	63235 14233	   	357.81	DCR|2MDPS|1VULN|1DUR	1VULN|2CGEN|3DUR|4AME|5ERES|6RCR|79MDPS|8FEWX|aLHND
29	64321 43132	 * 	355.67	2MDPS|3VULN|1DUR	146VULN|2BEXP|3DUR|5RPLT|7RCVC|8aMDPS|9DMSP
30	13312 14123	 * 	351.21	DCR|2VULN|1MDPS|1DMG|1DUR	1RPLT|2MLV|3DUST|4DUR|5BOSS|67VULN|8DMG|9RCR|aMDPS
31	13314 14123	   	351.21	DCR|2VULN|1MDPS|1DMG|1DUR	1RPLT|2MLV|3DUST|4DUR|5LIT|67VULN|8DMG|9RCR|aMDPS
32	13332 24123	   	351.21	DCR|2VULN|1MDPS|1DMG|1DUR	1RPLT|2MLV|3DUST|4LIT|57VULN|6DUR|8DMG|9RCR|aMDPS
33	61121 33324	 * 	348.70	DCR|3VULN|1CDMG|1TLV|1DMG|1DUR	137VULN|2BBNT|3BPWR|4LIT|5DUR|6TLV|8CDMG|9RCR|aDMG
34	65333 11343	   	344.89	DCR|2VULN|1MDPS|1DUR|1AART	18VULN|2FEWX|3DUR|4MLV|5RCVC|6RCR|7LWND|9AART|aMDPS
35	63613 31341	 * 	341.19	3VULN|1MDPS|3TLV|2DUR	169VULN|25CGEN|3DMSP|459TLV|59BPWR|79DUR|8AAC|aMDPS
36	61121 43324	 * 	340.08	DCR|3VULN|2DMG|1CDMG|1DUR	137VULN|2BBNT|3BPWR|4LIT|5DUR|6aDMG|8CDMG|9RCR
37	61131 33325	 * 	340.05	DCR|4VULN|1TLV|1DUR	1378VULN|2BBNT|3BPWR|4NUKE|5AEBURN|6TLV|9DUR|aRCR
38	61135 33325	   	340.05	DCR|4VULN|1TLV|1DUR	1378VULN|2BBNT|3BPWR|4NUKE|5AEFBLL|6TLV|9DUR|aRCR
39	61121 35313	 * 	338.08	2MDPS|2VULN|1TLV|1DUR	13VULN|2BBNT|3BPWR|4LIT|5DUR|6TLV|7LHND|8RMIN|9aMDPS
40	61143 25113	   	338.08	2MDPS|2VULN|1TLV|1DUR	13VULN|2BBNT|3BPWR|4MLV|5LWND|6TLV|7DUR|8BOSS|9aMDPS
41	61111 25113	   	337.98	2MDPS|2VULN|1TLV|1DUR	13VULN|2BBNT|3BPWR|4LHND|5ERES|6TLV|7DUR|8BOSS|9aMDPS
42	61121 36263	   	337.88	2MDPS|2VULN|1TLV|1DUR|1MSE	13VULN|2BBNT|3BPWR|4LIT|5DUR|6TLV|7aMDPS|8MSE|9DUST
43	61142 22113	   	337.88	2MDPS|2VULN|1TLV|1DUR|1MSE	13VULN|2BBNT|3BPWR|4MLV|5DUR|6TLV|7MSE|8BOSS|9aMDPS
44	62116 31134	 * 	335.03	ACR|3VULN|1MDPS|1DUR	168VULN|24BELT|3CGEN|5RCR|7RCVC|9DUR|aMDPS
45	25211 31121	 * 	334.22	DCR|1MDPS|1VULN|2TLV|1DUR|1AART	1ZMB|2AEPOI|3VULN|49TLV|5AART|6RAT|7RCR|8DUR|aMDPS
46	26211 31121	   	334.22	DCR|1MDPS|1VULN|2TLV|1DUR|1AART	1ZMB|2AEWIND|3VULN|49TLV|5AART|6RAT|7RCR|8DUR|aMDPS
47	45211 31121	   	334.12	DCR|1MDPS|1VULN|2TLV|1DUR|1AART	1ASPD|2AEPOI|3VULN|49TLV|5AART|6RAT|7RCR|8DUR|aMDPS
48	46211 31121	   	334.12	DCR|1MDPS|1VULN|2TLV|1DUR|1AART	1ASPD|2AEWIND|3VULN|49TLV|5AART|6RAT|7RCR|8DUR|aMDPS
