0	Index      	 *	Score 	Summary	Detail	
1	11425 32473	 * 	384.65	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1ERES|2FEWX|37VULN|4CDMG|5TLV|6MBVNT|8DUR|9RCR|aMDPS
2	12141 46332	 * 	384.12	DCR|2MDPS|1VULN|1TLV|1DUR	1ERES|2VULN|3DUR|4TLV|5LIT|6ASPD|7DUST|8RCR|9aMDPS
3	56122 12263	   	378.61	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1FEWX|2AAC|3DUR|4CDMG|5LEGI|6DMG|78VULN|9RCR|aMDPS
4	12361 51362	   	378.18	DCR|2MDPS|1VULN|1DMG|1DUR	1ERES|2VULN|3BEXP|4DMG|5LIT|6DUR|7CGEN|8RCR|9aMDPS
5	12161 26332	   	378.08	DCR|2MDPS|1VULN|1DMG|1DUR	1ERES|2VULN|3DUR|4DMG|5LIT|6MLV|7DUST|8RCR|9aMDPS
6	43335 33313	 * 	374.93	DCR|3VULN|1MDPS|1DUR	1RAT|2DUR|356VULN|4BBNT|7RMIN|8RCR|9FEWX|aMDPS
7	43335 33325	   	374.83	DCR|3VULN|1MDPS|1DUR	1RAT|2DUR|356VULN|4BBNT|7RMIN|8RCR|9ERES|aMDPS
8	43335 35313	   	374.83	DCR|3VULN|1MDPS|1DUR	1RAT|2DUR|356VULN|4BBNT|7AME|8RCR|9FEWX|aMDPS
9	32131 51432	 * 	368.79	DCR|2VULN|1MDPS|2DMG|1DUR	1LIT|2LEGI|36DMG|45VULN|7DUR|8FEWX|9RCR|aMDPS
10	12236 24632	   	364.86	DCR|2VULN|1MDPS|1DMG|1DUR|1AART	1ERES|25VULN|3AAC|4AART|6DUR|7DMG|8RMIN|9RCR|aMDPS
11	12415 22135	 * 	361.03	ACR|3VULN|1MDPS|1TLV|1DUR	1ERES|235VULN|4RCR|6LWND|7DUR|8DUST|9TLV|aMDPS
12	12415 32135	   	361.03	ACR|3VULN|1MDPS|1TLV|1DUR	1ERES|235VULN|4RCR|6BEXP|7DUR|8DUST|9TLV|aMDPS
13	12412 42135	   	360.93	ACR|3VULN|1MDPS|1TLV|1DUR	1ERES|236VULN|4RCR|5AETHUN|7DUR|8DUST|9TLV|aMDPS
14	43335 11326	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1RAT|2DUR|35VULN|4BBNT|6LSRREG|7RCR|8CDMG|9FLTARM|aMDPS
15	43335 21326	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1RAT|2DUR|35VULN|4BBNT|6FLTHEA|7RCR|8CDMG|9FLTARM|aMDPS
16	11126 32273	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1ERES|2FEWX|3DUR|4CDMG|5MLV|6MBVNT|78VULN|9RCR|aMDPS
17	11423 14336	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1ERES|2FEWX|37VULN|4CDMG|5TBNT|6RAT|8DUR|9RCR|aMDPS
18	12123 14536	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1ERES|27VULN|3DUR|4CDMG|5TBNT|6RAT|8LWND|9RCR|aMDPS
19	12323 14336	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1ERES|27VULN|3BEXP|4CDMG|5TBNT|6RAT|8DUR|9RCR|aMDPS
20	12623 14336	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1ERES|27VULN|3LWND|4CDMG|5TBNT|6RAT|8DUR|9RCR|aMDPS
21	43335 11337	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1RAT|2DUR|35VULN|4BBNT|6LSRREG|7RCR|8CDMG|9MBVNT|aMDPS
22	43335 21337	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1RAT|2DUR|35VULN|4BBNT|6FLTHEA|7RCR|8CDMG|9MBVNT|aMDPS
23	12221 51362	   	358.11	DCR|2MDPS|1VULN|1DUR	1ERES|2VULN|3AAC|4BEXP|5LIT|6DUR|7CGEN|8RCR|9aMDPS
24	26431 53332	   	358.01	DCR|2MDPS|1VULN|1DUR	1DUST|2AAC|3VULN|4MLV|5LIT|6DUR|7AME|8RCR|9aMDPS
25	26611 53332	   	358.01	DCR|2MDPS|1VULN|1DUR	1DUST|2AAC|3RMIN|4VULN|5LIT|6DUR|7AME|8RCR|9aMDPS
26	33334 53332	   	358.01	DCR|2MDPS|1VULN|1DUR	1LIT|2DUST|3MLV|4VULN|5ZMB|6DUR|7AME|8RCR|9aMDPS
27	33334 56332	   	358.01	DCR|2MDPS|1VULN|1DUR	1LIT|2DUST|3MLV|4VULN|5ZMB|6DUR|7ERES|8RCR|9aMDPS
