0	Index      	 *	Score 	Summary	Detail	
1	16411 16121	 * 	386.79	DCR|2VULN|1MDPS|2TLV|2DUR	17DUR|2RPLT|3TBNT|4ERES|57TLV|67VULN|7BPWR|8BOSS|9RCR|aMDPS
2	11613 15151	 * 	381.87	2MDPS|3VULN|1TLV|1DMG|1DUR	1DUR|2RAT|357VULN|4TLV|6ZMB|89MDPS|aDMG
3	11613 15152	   	381.87	2MDPS|3VULN|1TLV|1DUR	1DUR|2RAT|357VULN|4TLV|6ZMB|89MDPS|aLWND
4	11613 15153	   	381.87	2MDPS|3VULN|1TLV|1DUR	1DUR|2RAT|357VULN|4TLV|6ZMB|89MDPS|aDUST
5	12146 24122	   	381.77	2MDPS|3VULN|1TLV|1DUR	1DUR|2ERES|345VULN|6RAT|7TLV|8aMDPS|9BEXP
6	12146 24132	   	381.77	2MDPS|3VULN|1TLV|1DUR	1DUR|2ERES|345VULN|6RAT|7TLV|8aMDPS|9FEWX
7	61132 23613	 * 	378.61	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1DMG|2DUR|37VULN|4SPLREG|5CDMG|6RCR|8BEXP|9FRZICY|aMDPS
8	61162 23613	   	378.61	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1DMG|2DUR|37VULN|4SPLJET|5CDMG|6RCR|8BEXP|9FRZICY|aMDPS
9	61132 23633	   	378.51	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1DMG|2DUR|37VULN|4SPLREG|5CDMG|6RCR|8BEXP|9TSLFST|aMDPS
10	61162 23633	   	378.51	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1DMG|2DUR|37VULN|4SPLJET|5CDMG|6RCR|8BEXP|9TSLFST|aMDPS
11	61132 23113	   	378.41	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR|1MSE	1DMG|2DUR|37VULN|4SPLREG|5CDMG|6RCR|8MSE|9FRZICY|aMDPS
12	61132 23133	   	378.41	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR|1MSE	1DMG|2DUR|37VULN|4SPLREG|5CDMG|6RCR|8MSE|9TSLFST|aMDPS
13	61162 23113	   	378.41	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR|1MSE	1DMG|2DUR|37VULN|4SPLJET|5CDMG|6RCR|8MSE|9FRZICY|aMDPS
14	61162 23133	   	378.41	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR|1MSE	1DMG|2DUR|37VULN|4SPLJET|5CDMG|6RCR|8MSE|9TSLFST|aMDPS
15	11633 45122	 * 	368.22	2MDPS|3VULN|2DUR	15DUR|2RAT|367VULN|45BEXP|5BPWR|8aMDPS|9FEWX
16	61143 53131	 * 	359.24	2MDPS|2VULN|1CDMG|1DMG|1DUR|1MSE	1DMG|2DUR|34VULN|5LIT|6CDMG|79MDPS|8DUST|aMSE
17	61143 53132	 * 	359.24	2MDPS|2VULN|1CDMG|1DMG|1DUR	1DMG|2DUR|34VULN|5LIT|6CDMG|79MDPS|8DUST|aCGEN
18	61143 53133	   	359.24	2MDPS|2VULN|1CDMG|1DMG|1DUR	1DMG|2DUR|34VULN|5LIT|6CDMG|79MDPS|8DUST|aRCVC
19	61143 53332	   	359.24	2MDPS|2VULN|1CDMG|1DMG|1DUR	1DMG|2DUR|34VULN|5LIT|6CDMG|7aMDPS|8AAC|9LWND
20	11656 32221	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR|1AART	1DUR|2RAT|38VULN|4CDMG|5SPLJET|6BBNT|7RCR|9MDPS|aAART
21	11656 32222	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2RAT|38VULN|4CDMG|5SPLJET|6BBNT|7RCR|9MDPS|aAEPOI
22	11656 32223	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2RAT|38VULN|4CDMG|5SPLJET|6BBNT|7RCR|9MDPS|aDUST
23	13142 23323	 * 	358.11	DCR|2MDPS|1VULN|1DUR	1DUR|2BEXP|3ZMB|4VULN|5FEWX|6RPLT|7RCR|8aMDPS|9BBNT
24	13542 23323	   	358.11	DCR|2MDPS|1VULN|1DUR	1DUR|2BEXP|3AAC|4VULN|5FEWX|6RPLT|7RCR|8aMDPS|9BBNT
25	14142 23323	   	358.11	DCR|2MDPS|1VULN|1DUR	1DUR|2FEWX|3ZMB|4VULN|5BEXP|6RPLT|7RCR|8aMDPS|9BBNT
26	14143 23323	   	358.11	DCR|2MDPS|1VULN|1DUR	1DUR|2FEWX|3ZMB|4VULN|5LWND|6RPLT|7RCR|8aMDPS|9BBNT
27	14542 23323	   	358.11	DCR|2MDPS|1VULN|1DUR	1DUR|2FEWX|3AAC|4VULN|5BEXP|6RPLT|7RCR|8aMDPS|9BBNT
28	14543 23323	   	358.11	DCR|2MDPS|1VULN|1DUR	1DUR|2FEWX|3AAC|4VULN|5LWND|6RPLT|7RCR|8aMDPS|9BBNT
29	14634 23323	   	358.11	DCR|2MDPS|1VULN|1DUR	1DUR|2FEWX|3BEXP|4AAC|5VULN|6RPLT|7RCR|8aMDPS|9BBNT
30	14124 23323	   	358.01	DCR|2MDPS|1VULN|1DUR	1DUR|2FEWX|3ZMB|4DUST|5VULN|6RPLT|7RCR|8aMDPS|9BBNT
