0	Index      	 *	Score 	Summary	Detail	
1	32134 66112	 * 	375.83	2MDPS|3VULN|1DMG|1DUR	1DUR|256VULN|3AAC|4ZMB|7MLV|8DMG|9aMDPS
2	51131 65231	 * 	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1SNIFST|2CGEN|37VULN|4BBNT|5DUR|6RCR|8FEWX|9CDMG|aMDPS
3	51131 65331	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1SNIFST|2CGEN|37VULN|4BBNT|5DUR|6RCR|8DUST|9CDMG|aMDPS
4	32321 43661	 * 	358.01	DCR|2MDPS|1VULN|2DUR	1aDUR|2VULN|3RMIN|4BEXP|5FEWX|6RCR|7BBNT|89MDPS
5	32321 43662	   	358.01	DCR|2MDPS|1VULN|1DUR	1DUR|2VULN|3RMIN|4BEXP|5FEWX|6RCR|7BBNT|89MDPS|aAEFBLL
6	32321 43663	   	358.01	DCR|2MDPS|1VULN|1DUR	1DUR|2VULN|3RMIN|4BEXP|5FEWX|6RCR|7BBNT|89MDPS|aCGEN
7	31123 36331	 * 	357.55	DCR|2VULN|1MDPS|2DUR|1AART	19DUR|2RMIN|3ZMB|4AART|59VULN|69MLV|7RCR|8RCVC|9BPWR|aMDPS
8	52161 12351	 * 	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1SNIFST|24VULN|3TLV|5BOSS|6DUR|7LWND|8RCR|9MDPS|aDUST
9	52161 12352	 * 	357.25	DCR|2VULN|1MDPS|2TLV|1DUR	1SNIFST|24VULN|3aTLV|5BOSS|6DUR|7LWND|8RCR|9MDPS
10	52161 12353	 * 	357.25	DCR|2VULN|1MDPS|2DUR|1TLV	1SNIFST|24VULN|3TLV|5BOSS|6aDUR|7LWND|8RCR|9MDPS
11	52131 66131	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1SNIFST|27VULN|3TLV|4BBNT|5DUR|6RCR|8CGEN|9MDPS|aRAT
12	52131 66132	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR|1SELL	1SNIFST|27VULN|3TLV|4BBNT|5DUR|6RCR|8CGEN|9MDPS|aSELL
13	52131 66133	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1SNIFST|27VULN|3TLV|4BBNT|5DUR|6RCR|8CGEN|9MDPS|aLHND
14	52131 66331	   	357.05	DCR|2VULN|1MDPS|1TLV|1DUR	1SNIFST|27VULN|3TLV|4BBNT|5DUR|6RCR|8ERES|9MDPS|aRAT
15	52131 66332	   	357.05	DCR|2VULN|1MDPS|1TLV|1DUR|1SELL	1SNIFST|27VULN|3TLV|4BBNT|5DUR|6RCR|8ERES|9MDPS|aSELL
16	52131 66333	   	357.05	DCR|2VULN|1MDPS|1TLV|1DUR	1SNIFST|27VULN|3TLV|4BBNT|5DUR|6RCR|8ERES|9MDPS|aLHND
17	56163 23233	 * 	357.05	DCR|4VULN|2TLV|1DUR	18SNIFST|2AETHUN|38TLV|4578VULN|6RCR|8BPWR|9TBNT|aDUR
18	32134 62213	   	355.67	2MDPS|3VULN|1DUR	1DUR|256VULN|3AAC|4ZMB|7MULARM|8CGEN|9aMDPS
19	32146 24322	   	351.31	DCR|2VULN|1MDPS|1DMG|1DUR	1DUR|25VULN|3AAC|4LHND|6BEXP|7DMG|8RCR|9RCVC|aMDPS
20	32346 24322	   	351.31	DCR|2VULN|1MDPS|1DMG|1DUR	1DUR|25VULN|3RMIN|4LHND|6BEXP|7DMG|8RCR|9RCVC|aMDPS
21	22125 62341	   	351.21	DCR|2VULN|1MDPS|1DMG|1DUR	1DUST|26VULN|3AAC|4BEXP|5DMG|7LWND|8RCR|9DUR|aMDPS
22	31423 42361	   	351.21	DCR|2VULN|1MDPS|1DMG|1DUR	1DUR|2RMIN|3FEWX|4BEXP|57VULN|6RCR|8MBVNT|9DMG|aMDPS
23	32321 42361	   	351.21	DCR|2VULN|1MDPS|1DMG|1DUR	1DUR|27VULN|3RMIN|4BEXP|5FEWX|6RCR|8MBVNT|9DMG|aMDPS
24	32245 12133	 * 	347.97	DCR|1MDPS|1VULN|2TLV|1CDMG|1DUR	1DUR|2VULN|3TBNT|4LWND|57TLV|6CDMG|8FEWX|9RCR|aMDPS
25	32245 12622	   	347.97	DCR|1MDPS|1VULN|2TLV|1CDMG|1DUR	1DUR|2VULN|3TBNT|4LWND|57TLV|6CDMG|8RCR|9LHND|aMDPS
26	32545 12133	   	347.97	DCR|1MDPS|1VULN|2TLV|1CDMG|1DUR	1DUR|2VULN|3BBNT|4LWND|57TLV|6CDMG|8FEWX|9RCR|aMDPS
