0	Index      	 *	Score 	Summary	Detail	
1	23311 31446	 * 	392.36	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR|1AART	1AART|2DUR|3FEWX|4RAT|57VULN|6DMG|8RCR|9CDMG|aMDPS
2	56233 23334	 * 	388.68	DCR|3VULN|1MDPS|1DUR|1AART	1DMSP|238VULN|4DUR|5LIT|6RCR|7AART|9BOSS|aMDPS
3	23114 43411	   	388.58	DCR|3VULN|1MDPS|1DUR|1AART	1AART|2DUR|3RAT|4CGEN|568VULN|7RCR|9MDPS|aSPLARM
4	23114 43412	   	388.58	DCR|3VULN|1MDPS|1DUR|1AART	1AART|2DUR|3RAT|4aCGEN|568VULN|7RCR|9MDPS
5	23114 43413	   	388.58	DCR|3VULN|1MDPS|1DUR|1AART	1AART|2DUR|3RAT|4CGEN|568VULN|7RCR|9MDPS|aASPD
6	23162 43411	   	388.58	DCR|3VULN|1MDPS|1DUR|1AART	1AART|2DUR|3RAT|4RMIN|568VULN|7RCR|9MDPS|aVENFST
7	23162 43412	   	388.58	DCR|3VULN|1MDPS|1DUR|1AART	1AART|2DUR|3RAT|4RMIN|568VULN|7RCR|9MDPS|aCGEN
8	23162 43413	 * 	388.58	DCR|3VULN|1MDPS|1TLV|1DUR|1AART	1AART|2DUR|3RAT|4RMIN|568VULN|7RCR|9MDPS|aTLV
9	23134 43411	   	388.48	DCR|3VULN|1MDPS|1DUR|1AART	1AART|2DUR|3RAT|4ERES|568VULN|7RCR|9MDPS|aSPLARM
10	23134 43412	   	388.48	DCR|3VULN|1MDPS|1DUR|1AART	1AART|2DUR|3RAT|4ERES|568VULN|7RCR|9MDPS|aCGEN
11	23134 43413	   	388.48	DCR|3VULN|1MDPS|1DUR|1AART	1AART|2DUR|3RAT|4ERES|568VULN|7RCR|9MDPS|aAME
12	43221 13524	 * 	387.04	DCR|3VULN|1MDPS|2DUR|1SELL	13DUST|2SELL|479VULN|58DUR|6RCR|aMDPS
13	23323 32355	 * 	382.64	DCR|2VULN|1MDPS|2DMG|1DUR|1AART	1AART|2DUR|35FEWX|45DMG|5BPWR|6ZMB|78VULN|9RCR|aMDPS
14	23114 43135	   	372.29	DCR|2VULN|1MDPS|1CDMG|1DUR|1AART	1AART|2DUR|3RAT|49CGEN|56VULN|7RCR|8CDMG|aMDPS
15	23322 32355	   	364.96	DCR|2VULN|1MDPS|1DMG|1DUR|1AART	1AART|2DUR|3FEWX|4DMG|5RCVC|6ZMB|78VULN|9RCR|aMDPS
16	23321 32355	   	364.86	DCR|2VULN|1MDPS|1DMG|1DUR|1AART	1AART|2DUR|3FEWX|4DMG|5AEFBLL|6ZMB|78VULN|9RCR|aMDPS
