0	Index      	 *	Score 	Summary	Detail	
1	33151 11516	 * 	284.32	DCR|DCR|3VULN|1TLV	134VULN|23SPLREG|3BPWR|5RAT|69RCR|7ASPD|8RPLT|aTLV
2	33662 12223	 * 	275.14	DCR|4VULN|3DMG|2TLV	1679VULN|2SPLREG|3MDPS|47TLV|567DMG|67BPWR|8MBVNT|aRCR
3	33151 11513	   	271.77	DCR|DCR|3VULN|1CDMG	134VULN|23SPLREG|3BPWR|5RAT|69RCR|7ASPD|8RPLT|aCDMG
4	33551 11513	   	271.77	DCR|DCR|3VULN|1CDMG	134VULN|2SPLREG|5RAT|69RCR|7ASPD|8RPLT|aCDMG
5	33662 12623	   	271.68	DCR|3VULN|3DMG|2TLV|1MLV	167VULN|2SPLREG|3MDPS|47TLV|567DMG|67BPWR|8ZMB|9MLV|aRCR
6	32325 62216	   	268.79	DCR|DCR|2VULN|1TLV|1DUR	19VULN|2TBNT|3RMIN|4DUR|5TLV|6LIT|7aRCR|8AEFBLL
7	33662 12613	   	263.02	DCR|3VULN|3DMG|2TLV	167VULN|2SPLREG|3MDPS|47TLV|567DMG|67BPWR|8ZMB|9ASPD|aRCR
8	33662 12513	   	262.92	DCR|3VULN|3DMG|2TLV	167VULN|2SPLREG|3MDPS|47TLV|567DMG|67BPWR|8ERES|9ASPD|aRCR
9	36246 23233	 * 	262.75	DCR|DCR|2VULN|1DMG|1DUR	15VULN|2DUR|38CGEN|4MDPS|6DMG|7aRCR|9RMIN
10	33132 11565	   	259.49	DCR|4VULN|2DMG|2TLV|1AAC	136aVULN|23SPLREG|3aBPWR|4aDMG|5AETHUN|7AAC|8RCR|9aTLV
11	32326 62216	   	258.19	DCR|DCR|2VULN|1MLV|1DUR	19VULN|2TBNT|3RMIN|4DUR|5MLV|6LIT|7aRCR|8AEFBLL
12	33151 11511	   	258.12	DCR|DCR|3VULN	134VULN|23SPLREG|3BPWR|5RAT|69RCR|7ASPD|8RPLT|aLHND
13	33151 11512	   	258.12	DCR|DCR|3VULN	134VULN|23SPLREG|3BPWR|5RAT|69RCR|7ASPD|8RPLT|aRCVC
14	33551 11511	   	258.12	DCR|DCR|3VULN	134VULN|2SPLREG|5RAT|69RCR|7ASPD|8RPLT|aLHND
15	33551 11512	   	258.12	DCR|DCR|3VULN	134VULN|2SPLREG|5RAT|69RCR|7ASPD|8RPLT|aRCVC
16	33151 11515	   	258.02	DCR|DCR|3VULN	134VULN|23SPLREG|3BPWR|5RAT|69RCR|7ASPD|8RPLT|aAEFBLL
17	36634 31111	 * 	256.34	DCR|DCR|1VULN|1FLTARM|1DUR|1CDMG	1VULN|2DUR|3FLTARM|4AEFBLL|5LWND|6aRCR|7RPLT|8CDMG|9BEXP
18	36631 31111	   	256.24	DCR|DCR|1VULN|1FLTARM|1DUR|1CDMG	1VULN|2DUR|3FLTARM|4AEFBLL|5AETHUN|6aRCR|7RPLT|8CDMG|9BEXP
19	36631 31151	   	256.24	DCR|DCR|1VULN|1FLTARM|1DUR|1CDMG	1VULN|2DUR|3FLTARM|4AEFBLL|5AETHUN|6aRCR|7RPLT|8CDMG|9FEWX
20	36634 31131	   	256.24	DCR|DCR|1VULN|1FLTARM|1DUR|1CDMG	1VULN|2DUR|3FLTARM|4AEFBLL|5LWND|6aRCR|7RPLT|8CDMG|9DUST
21	36631 31131	   	256.14	DCR|DCR|1VULN|1FLTARM|1DUR|1CDMG	1VULN|2DUR|3FLTARM|4AEFBLL|5AETHUN|6aRCR|7RPLT|8CDMG|9DUST
22	33662 12213	   	255.98	DCR|3VULN|3DMG|2TLV	167VULN|2SPLREG|3MDPS|47TLV|567DMG|67BPWR|8MBVNT|9RCVC|aRCR
23	33662 12243	   	255.88	DCR|3VULN|3DMG|2TLV	167VULN|2SPLREG|3MDPS|47TLV|567DMG|67BPWR|8MBVNT|9AEPOI|aRCR
24	32613 25363	 * 	255.14	DCR|DCR|2VULN|2DUR	17VULN|2TBNT|37DUR|4RAT|5LWND|67MSLREG|7BPWR|8aRCR|9FEWX
25	32613 25343	   	255.04	DCR|DCR|2VULN|2DUR	17VULN|2TBNT|37DUR|4RAT|5LWND|67MSLREG|7BPWR|8aRCR|9DUST
