0	Index      	 *	Score 	Summary	Detail	
1	31324 61414	 * 	282.34	DCR|DCR|2VULN|1FLTARM|1DUR|1CDMG	1DUR|2ERES|3MBVNT|45VULN|6CDMG|7VENICY|89RCR|aFLTARM
2	31324 61416	 * 	278.28	DCR|DCR|3VULN|1DUR|1CDMG	1DUR|2ERES|3MBVNT|45aVULN|6CDMG|7VENICY|89RCR
3	21385 27414	   	269.89	DCR|DCR|2VULN|1DUR|1AART|1CDMG	1CGEN|24VULN|3MBVNT|5BASARM|6CDMG|7DUR|89RCR|aAART
4	55328 21414	   	269.79	DCR|DCR|2VULN|1DUR|1AART|1CDMG	1AME|2DUR|3MBVNT|46VULN|5CDMG|7VENICY|89RCR|aAART
5	43213 23661	 * 	268.82	DCR|DCR|1VULN|1TLV|1DMG|2CDMG|1SELL	14CDMG|2SELL|3DMG|5TLV|6aRCR|7LHND|8VULN|9BBNT
6	31131 64631	 * 	265.81	DCR|DCR|1VULN|1DMG|1MLV|1AAC|1DUR	1DUR|2ERES|3DMG|4LIT|5RMIN|6VULN|78RCR|9MLV|aAAC
7	12361 34621	 * 	265.23	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1ASPD|2LHND|3DUR|4LIT|5MLV|6TLV|78RCR|9BASICY|aVULN
8	31133 34641	 * 	262.55	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1DUR|2ERES|3DMG|4LIT|5DUST|6TLV|78RCR|9BLAICY|aVULN
9	31133 34661	   	262.55	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1DUR|2ERES|3DMG|4LIT|5DUST|6TLV|78RCR|9LSRREG|aVULN
10	55327 11414	 * 	262.45	DCR|DCR|1VULN|2DUR|2CDMG|1AART	17AME|27DUR|3MBVNT|4VULN|5CANTOX|67CDMG|7BPWR|89RCR|aAART
11	22134 34631	   	260.02	DCR|DCR|1TLV|1DMG|1MLV|1DUR|1AAC	1CGEN|2LHND|3DMG|4LIT|5DUR|6TLV|78RCR|9MLV|aAAC
12	31133 34631	   	259.82	DCR|DCR|1TLV|1DMG|1MLV|1AAC|1DUR	1DUR|2ERES|3DMG|4LIT|5DUST|6TLV|78RCR|9MLV|aAAC
