0	Index      	 *	Score 	Summary	Detail	
1	61333 44332	 * 	258.39	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1AAC	1BEXP|2AAC|3VULN|4LHND|5TLV|68RCR|7LWND|9DUR|aMLV
2	23211 26242	 * 	257.89	DCR|3VULN|2DMG|2MLV|1TLV	1BBNT|2TLV|35DMG|45MLV|5BPWR|6LHND|789VULN|aRCR
3	21222 42641	 * 	256.03	DCR|3VULN|2DMG|2TLV|1MLV	1BBNT|27CGEN|34DMG|57aVULN|67TLV|7BPWR|8RCR|9MLV
4	23222 62641	   	255.83	DCR|3VULN|2DMG|2TLV|1MLV	1BBNT|27TLV|34DMG|57aVULN|67ERES|7BPWR|8RCR|9MLV
5	64331 61423	 * 	255.14	DCR|DCR|1VULN|2DUR|1TLV	1BEXP|2TLV|3VULN|4LHND|57DUR|6MBVNT|8aRCR|9RPLT
6	25611 21232	 * 	249.05	DCR|4VULN|2DMG|2DUR	1BBNT|25DMG|3458VULN|5BPWR|6LHND|79DUR|aRCR
7	25611 31532	   	245.39	DCR|3VULN|2DMG|2DUR|1MLV	1BBNT|25DMG|345VULN|5BPWR|6AME|79DUR|8MLV|aRCR
8	61333 44322	   	244.74	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1BEXP|2AAC|3VULN|4LHND|5TLV|68RCR|7LWND|9FEWX|aMLV
9	61333 44312	   	244.64	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1BEXP|2AAC|3VULN|4LHND|5TLV|68RCR|7LWND|9AEWIND|aMLV
10	26522 62212	   	243.44	DCR|3VULN|2DMG|1TLV|2ASPD	1BBNT|27ASPD|34DMG|578VULN|67ERES|7BPWR|9RCR|aTLV
11	61333 44331	   	242.79	DCR|DCR|1VULN|1TLV|1DUR|1AAC	1BEXP|2AAC|3VULN|4LHND|5TLV|68RCR|7aLWND|9DUR
12	61333 44311	   	242.69	DCR|DCR|1VULN|1TLV|1DUR|1AAC	1BEXP|2AAC|3VULN|4LHND|5TLV|68RCR|7LWND|9AEWIND|aDUR
13	61333 44333	   	242.69	DCR|DCR|1VULN|1TLV|1DUR|1AAC	1BEXP|2AAC|3VULN|4LHND|5TLV|68RCR|7LWND|9DUR|aDUST
14	33223 41233	 * 	241.29	ACR|DCR|2VULN|1TLV|1DMG	1LWND|2RMIN|37RCR|4AME|5CANSTR|6TLV|89VULN|aDMG
15	33224 41233	   	241.29	ACR|DCR|2VULN|1TLV|1DMG	1LWND|2RMIN|37RCR|4AME|5BASARM|6TLV|89VULN|aDMG
16	21222 42643	   	240.83	DCR|2VULN|2DMG|2TLV|1MLV	1BBNT|27CGEN|34DMG|57VULN|67TLV|7BPWR|8RCR|9MLV|aASPD
17	23222 62643	   	240.63	DCR|2VULN|2DMG|2TLV|1MLV	1BBNT|27TLV|34DMG|57VULN|67ERES|7BPWR|8RCR|9MLV|aASPD
18	21222 42142	   	240.42	DCR|3VULN|2DMG|2TLV	1BBNT|27CGEN|34DMG|579VULN|67TLV|7BPWR|8BEXP|aRCR
19	21222 42232	   	240.42	DCR|3VULN|2DMG|2TLV	1BBNT|27CGEN|34DMG|578VULN|67TLV|7BPWR|9FEWX|aRCR
20	21222 42252	   	240.42	DCR|3VULN|2DMG|2TLV	1BBNT|27CGEN|34DMG|578VULN|67TLV|7BPWR|9BEXP|aRCR
21	21222 42661	   	240.42	DCR|3VULN|2DMG|2TLV|1AAC	1BBNT|27CGEN|34DMG|57aVULN|67TLV|7BPWR|8RCR|9AAC
22	52142 13214	 * 	240.42	DCR|2FLTARM|2DMG|2TLV|1VULN	13CGEN|2aFLTARM|4VULN|5LIT|6aTLV|7RCR|8ERES|9aDMG|aBPWR
23	21222 42611	   	240.32	DCR|3VULN|2DMG|2TLV	1BBNT|27CGEN|34DMG|57aVULN|67TLV|7BPWR|8RCR|9ERES
24	23222 62621	   	240.22	DCR|3VULN|2DMG|2TLV	1BBNT|27TLV|34DMG|57aVULN|67ERES|7BPWR|8RCR|9CGEN
25	23222 62631	   	240.22	DCR|3VULN|2DMG|2TLV|1AAC	1BBNT|27TLV|34DMG|57aVULN|67ERES|7BPWR|8RCR|9AAC
26	23222 62142	   	240.22	DCR|3VULN|2DMG|2TLV	1BBNT|27TLV|34DMG|579VULN|67ERES|7BPWR|8BEXP|aRCR
27	23222 62235	   	240.22	DCR|3VULN|2DMG|2TLV	1BBNT|27TLV|34DMG|578VULN|67ERES|7BPWR|9RAT|aRCR
28	23222 62242	   	240.22	DCR|3VULN|2DMG|2TLV	1BBNT|27TLV|34DMG|578VULN|67ERES|7BPWR|9FEWX|aRCR
29	23222 62252	   	240.22	DCR|3VULN|2DMG|2TLV	1BBNT|27TLV|34DMG|578VULN|67ERES|7BPWR|9BEXP|aRCR
30	23222 62614	   	240.12	DCR|3VULN|2DMG|2TLV	1BBNT|27TLV|34DMG|57aVULN|679ERES|7BPWR|8RCR
31	34333 61423	 * 	239.37	DCR|DCR|2TLV|1VULN	1LWND|25TLV|3VULN|4LHND|6MBVNT|7BEXP|8aRCR|9RPLT
32	64333 64423	   	239.37	DCR|DCR|2TLV|1VULN	1BEXP|25TLV|3VULN|4LHND|6MBVNT|7LWND|8aRCR|9RPLT
33	34333 62423	   	239.27	DCR|DCR|2TLV|1VULN	1LWND|25TLV|3VULN|4LHND|6MBVNT|7DUST|8aRCR|9RPLT
34	23214 26242	   	238.24	DCR|3VULN|2TLV|1DMG|1MLV	1BBNT|25TLV|3DMG|4MLV|6LHND|789VULN|aRCR
35	36221 45323	   	238.03	ACR|DCR|1VULN|1TLV|1MLV|1AART|1CDMG|1AAC	1LWND|2MLV|38RCR|4AME|5AAC|6AART|7VULN|9CDMG|aTLV
36	25451 21131	 * 	237.16	DCR|2VULN|3DMG|1TLV|1DUR	1BBNT|235DMG|35BPWR|45VULN|6DUR|7TLV|8BELT|9RCR|aLWND
37	25451 21132	   	237.16	DCR|2VULN|3DMG|1TLV|1DUR	1BBNT|235DMG|35BPWR|45VULN|6DUR|7TLV|8BELT|9RCR|aLIT
38	25451 21133	   	237.06	DCR|2VULN|3DMG|1TLV|1DUR	1BBNT|235DMG|35BPWR|45VULN|6DUR|7TLV|8BELT|9RCR|aAEBURN
39	25432 12533	   	237.01	DCR|2VULN|3DMG|1TLV|1DUR|1SELL	1BBNT|239DMG|39BPWR|4TLV|59VULN|6SELL|79LHND|8RCR|aDUR
40	23222 31542	   	237.01	DCR|2VULN|2DMG|1TLV|1MLV|1DUR	1BBNT|2TLV|34DMG|59VULN|6DMSP|7DUR|8MLV|aRCR
41	36223 41262	   	236.83	ACR|DCR|2VULN|1TLV|1MLV	1LWND|2MLV|37RCR|4AME|5FRZARM|6TLV|8aVULN|9BBNT
42	36223 41213	   	236.68	ACR|DCR|2VULN|1TLV|1MLV|1SELL	1LWND|2MLV|37RCR|4AME|5FRZARM|6TLV|8aVULN|9SELL
43	66223 41213	   	236.68	ACR|DCR|2VULN|1TLV|1MLV|1SELL	1BEXP|2MLV|37RCR|4AME|5FRZARM|6TLV|8aVULN|9SELL
44	25611 21142	   	236.60	DCR|4VULN|2DMG|1DUR	1BBNT|25DMG|3459VULN|5BPWR|68LHND|7DUR|aRCR
45	36224 41213	   	236.58	ACR|DCR|2VULN|1TLV|1MLV|1SELL	1LWND|2MLV|37RCR|4AME|5CANSTR|6TLV|8aVULN|9SELL
46	66222 51213	   	236.58	ACR|DCR|2VULN|1TLV|1MLV|1SELL	1BEXP|2MLV|37RCR|4AME|5TLV|6LSRHEA|8aVULN|9SELL
