0	Index      	 *	Score 	Summary	Detail	
1	41621 33423	 * 	215.65	DCR|3DMG|2VULN|1ASPD|1CDMG|1AAC|1ZMB	18VULN|237DMG|4AAC|5ASPD|6ZMB|9CDMG|aRCR
2	43611 23162	 * 	214.29	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	19VULN|2ZMB|3DMG|4CGEN|5LHND|6RCR|7ASPD|8AART|aCDMG
3	43215 32432	 * 	214.03	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	13aVULN|2ZMB|4RPLT|5ASPD|6RMIN|7AART|8DMG|9RCR
4	42123 32366	   	213.87	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	189VULN|2SPLJET|3ZMB|4CGEN|5AART|6ASPD|7RCR|aDMG
5	62633 36111	 * 	210.07	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	1FEWX|2BASARM|34VULN|5AART|67ASPD|8DMG|9CDMG|aRCR
6	43215 22432	   	209.77	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	13aVULN|2ZMB|4RPLT|5ASPD|6ERES|7AART|8DMG|9RCR
7	42123 32363	 * 	209.65	DCR|4VULN|1AART|1ASPD|1ZMB	189aVULN|2SPLJET|3ZMB|4CGEN|5AART|6ASPD|7RCR
8	41221 63222	   	209.40	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|2DUR|1AAC	13VULN|2DMG|4AAC|5ASPD|6AART|79DUR|8CDMG|aRCR
9	43612 26111	 * 	209.31	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	1aVULN|2ZMB|3aDMG|4CGEN|57DUR|6RCR|8AART|9aAME|aBPWR
10	43612 26131	   	209.31	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	1aVULN|2ZMB|3aDMG|4CGEN|57DUR|6RCR|8AART|9aMLV|aBPWR
11	42143 32161	   	208.75	DCR|2VULN|2ASPD|1AART|1CDMG|1ZMB|1DUR	17VULN|2SPLJET|3ZMB|46ASPD|5AART|8CDMG|9DUR|aRCR
12	42343 11335	 * 	208.59	DCR|2VULN|1MDPS|2ASPD|3CDMG|1AART|1AAC	1aVULN|2SPLJET|3AAC|4aASPD|5AART|6MDPS|79aCDMG|8RCR|aBPWR
13	43612 23423	 * 	208.18	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1ZMB|1DUR	18VULN|2ZMB|3DMG|4CGEN|5DUR|6RCR|7ASPD|9CDMG|aMDPS
14	41621 63222	 * 	206.61	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|2DUR|1AAC	1VULN|23DMG|4AAC|5ASPD|6AART|79DUR|8CDMG|aRCR
15	11453 25323	   	206.34	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1LWND|2DMG|3FEWX|4ZMB|5ASPD|6RCR|7aVULN|8DUR|9AART
16	61353 25323	   	206.34	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1FEWX|2DMG|3LWND|4ZMB|5ASPD|6RCR|7aVULN|8DUR|9AART
17	51353 25323	   	206.24	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1DMG|2DUST|3LWND|4ZMB|5ASPD|6RCR|7aVULN|8DUR|9AART
18	43612 24111	   	205.67	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1aVULN|2ZMB|3aDMG|4CGEN|5DUR|6RCR|7RCVC|8AART|9aAME|aBPWR
19	43612 24131	   	205.67	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1aVULN|2ZMB|3aDMG|4CGEN|5DUR|6RCR|7RCVC|8AART|9aMLV|aBPWR
20	61511 51131	 * 	205.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1FEWX|26DMG|3DUR|45VULN|7CGEN|8ASPD|9AART|aRCR
21	41242 51131	   	205.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	13VULN|26DMG|4BEXP|5DUR|7CGEN|8ASPD|9AART|aRCR
22	41252 51131	   	205.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	13VULN|26DMG|4FEWX|5DUR|7CGEN|8ASPD|9AART|aRCR
23	41265 33331	   	205.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	13VULN|25DMG|45MLV|5BPWR|6DUST|7ASPD|8DUR|9AART|aRCR
