0	Index      	 *	Score 	Summary	Detail	
1	11233 26134	 * 	212.27	DCR|3ASPD|2DMG|1AART|1CDMG|2DUR	158ASPD|2BEXP|38DUR|4CDMG|6LIT|78DMG|8BPWR|9RCR|aAART
2	13213 42121	 * 	212.27	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG|1AAC	1aASPD|2AAC|3RMIN|4aLIT|5DMG|6CDMG|7AART|8aVULN|9RCR|aBPWR
3	13631 31533	   	211.40	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|2DUR|1AAC	1ASPD|2AAC|37DUR|4aVULN|5CDMG|6DMG|8AART|9RCR
4	13632 12632	 * 	211.34	DCR|3VULN|2ASPD|1AART|2DUR|1AAC	19ASPD|2AAC|35DUR|469VULN|7RCR|89LIT|9BPWR|aAART
5	15315 12612	 * 	210.94	DCR|5VULN|3ASPD	167ASPD|2LIT|3LEGI|47TLV|56789VULN|67BPWR|aRCR
6	11233 26151	 * 	210.27	DCR|3ASPD|2DMG|1VULN|1CDMG|2DUR	158ASPD|2BEXP|38DUR|4CDMG|6LIT|78DMG|8BPWR|9VULN|aRCR
7	13232 46311	 * 	208.64	DCR|2VULN|2AART|2ASPD|3DUR|1AAC	18ASPD|2AAC|3RMIN|48VULN|568DUR|79AART|8BPWR|aRCR
8	13633 12632	   	208.56	DCR|3VULN|2ASPD|1AART|1AAC|1DUR	19ASPD|2AAC|3DUR|469VULN|5RCVC|7RCR|89LIT|9BPWR|aAART
9	13631 31531	 * 	207.10	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|2DUR|1AAC	1ASPD|2AAC|37DUR|4VULN|5CDMG|6DMG|8aAART|9RCR
10	33422 36123	 * 	206.88	DCR|4VULN|2AART|2DUR	1LIT|23DUR|49AART|567aVULN|8RCR
11	15325 12312	   	205.19	DCR|4VULN|3ASPD|1DUR	167ASPD|2LIT|3LEGI|47MLV|5679VULN|67BPWR|8DUR|aRCR
12	15325 12622	   	205.19	DCR|4VULN|3ASPD|1DUR	167ASPD|2LIT|3LEGI|47MLV|5678VULN|67BPWR|9DUR|aRCR
13	11434 22511	 * 	205.13	DCR|3ASPD|2VULN|1MDPS|1AART|1CDMG	167ASPD|2BEXP|37MLV|47VULN|5MDPS|7BPWR|8AART|9RCR|aCDMG
14	12434 22511	   	205.13	DCR|3ASPD|2VULN|1MDPS|1AART|1CDMG	167ASPD|2LWND|37MLV|47VULN|5MDPS|7BPWR|8AART|9RCR|aCDMG
15	15315 12312	   	204.99	DCR|4VULN|3ASPD|1DUR	167ASPD|2LIT|3LEGI|47TLV|5679VULN|67BPWR|8DUR|aRCR
16	15315 12622	   	204.99	DCR|4VULN|3ASPD|1DUR	167ASPD|2LIT|3LEGI|47TLV|5678VULN|67BPWR|9DUR|aRCR
17	13134 53121	 * 	204.96	DCR|3ASPD|2VULN|2AART|1AAC	14aASPD|2AAC|3RPLT|4aBPWR|57AART|6aLIT|8aVULN|9RCR
18	12233 23135	 * 	204.06	DCR|3ASPD|2VULN|3DUR|1CDMG	15aASPD|2LWND|39aDUR|4CDMG|6LIT|7RCR|8aVULN|aBPWR
19	14233 23135	   	204.06	DCR|3ASPD|2VULN|3DUR|1CDMG	15aASPD|2LHND|39aDUR|4CDMG|6LIT|7RCR|8aVULN|aBPWR
20	14433 12211	 * 	203.53	DCR|3VULN|1AART|1ASPD|1DMG	1ASPD|25LHND|3MLV|46aVULN|7RCR|8DMG|9AART
21	15513 32611	 * 	202.76	DCR|3ASPD|2VULN|2DMG	17aASPD|2LIT|3aVULN|4TLV|5LHND|6aDMG|8RMIN|9RCR|aBPWR
22	35322 36123	   	201.64	DCR|4VULN|2AART|1DUR	12LIT|3DUR|49AART|567aVULN|8RCR
23	33422 31125	 * 	201.55	DCR|3VULN|3AART|3DUR	1aLIT|23aDUR|479AART|56aVULN|8RCR|aBPWR
24	12231 31533	   	201.45	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|2DUR|1ZMB	1ASPD|2LWND|37DUR|4CDMG|5ZMB|6DMG|8AART|9RCR|aVULN
25	14231 31533	   	201.45	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|2DUR|1ZMB	1ASPD|2LHND|37DUR|4CDMG|5ZMB|6DMG|8AART|9RCR|aVULN
26	13632 12236	 * 	200.99	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|2DUR|1AAC	1ASPD|2AAC|35DUR|46VULN|7RCR|8DMG|9CDMG|aMDPS
27	33422 33341	 * 	200.27	DCR|3VULN|1AART|1DMG|3DUR	17LIT|237DUR|4AART|567VULN|7BPWR|8RCR|9DMSP|aDMG
28	33422 36131	   	200.07	DCR|3VULN|1AART|1DMG|3DUR	1LIT|239DUR|4AART|567VULN|8RCR|aDMG
29	33325 22311	   	199.44	DCR|2VULN|2ASPD|1DMG|2ZMB|2DUR	1LIT|2aDUR|3DMG|4MLV|5aVULN|68ZMB|7aASPD|9RCR|aBPWR
30	33315 22311	   	199.34	DCR|2VULN|2ASPD|1DMG|2ZMB|2DUR	1LIT|2aDUR|3DMG|4TLV|5aVULN|68ZMB|7aASPD|9RCR|aBPWR
31	12234 23135	 * 	198.56	DCR|2VULN|2ASPD|2CDMG|3DUR	1aASPD|2LWND|39aDUR|45CDMG|6LIT|7RCR|8aVULN|aBPWR
32	14234 23135	   	198.56	DCR|2VULN|2ASPD|2CDMG|3DUR	1aASPD|2LHND|39aDUR|45CDMG|6LIT|7RCR|8aVULN|aBPWR
33	11333 26134	   	198.52	DCR|3ASPD|2DMG|1AART|1CDMG	158ASPD|2BEXP|38DUST|4CDMG|6LIT|78DMG|8BPWR|9RCR|aAART
34	33422 31131	 * 	198.32	DCR|2VULN|2AART|1DMG|3DUR	1LIT|239DUR|47AART|56VULN|8RCR|aDMG
35	13331 31426	 * 	198.21	DCR|3VULN|1ASPD|1DMG|1CDMG|1AAC|1DUR	1ASPD|2AAC|3LHND|489VULN|5CDMG|6DMG|7DUR|aRCR
36	13633 12236	   	198.20	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1AAC|1DUR	1ASPD|2AAC|3DUR|46VULN|5RCVC|7RCR|8DMG|9CDMG|aMDPS
37	13531 31426	   	198.11	DCR|3VULN|1ASPD|1DMG|1CDMG|1AAC|1DUR	1ASPD|2AAC|3DUST|489VULN|5CDMG|6DMG|7DUR|aRCR
38	13331 33526	 * 	197.97	DCR|2VULN|2DMG|1ASPD|1CDMG|1AAC|1DUR	1ASPD|2AAC|3LHND|49VULN|5CDMG|67DMG|8DUR|aRCR
39	13632 12633	   	197.90	DCR|3VULN|2ASPD|2DUR|1AAC|1ZMB	19ASPD|2AAC|35DUR|469VULN|7RCR|89LIT|9BPWR|aZMB
40	13213 42126	   	197.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1ASPD|2AAC|3RMIN|4LIT|5DMG|6CDMG|7AART|8aVULN|9RCR
41	33325 22211	   	197.41	DCR|2VULN|2ASPD|1DMG|2DUR|1ZMB	1LIT|2aDUR|3DMG|4MLV|5aVULN|6ZMB|7aASPD|8RCVC|9RCR|aBPWR
42	33315 22211	   	197.31	DCR|2VULN|2ASPD|1DMG|2DUR|1ZMB	1LIT|2aDUR|3DMG|4TLV|5aVULN|6ZMB|7aASPD|8RCVC|9RCR|aBPWR
43	13632 12652	   	196.92	DCR|3VULN|1AART|1ASPD|2DUR|1AAC	1ASPD|2AAC|35DUR|469VULN|7RCR|8LIT|aAART
44	33422 16343	   	196.92	DCR|3VULN|1AART|1ASPD|2DUR	1LIT|23DUR|4AART|59aVULN|6DUST|7RCR|8ASPD
45	15325 12632	   	196.88	DCR|4VULN|3ASPD	167ASPD|2LIT|3LEGI|47MLV|5678VULN|67BPWR|9FEWX|aRCR
46	15325 12412	   	196.88	DCR|4VULN|3ASPD	167ASPD|2LIT|3LEGI|47MLV|5679VULN|67BPWR|8LWND|aRCR
47	15315 12412	   	196.68	DCR|4VULN|3ASPD	167ASPD|2LIT|3LEGI|47TLV|5679VULN|67BPWR|8LWND|aRCR
48	15315 12632	   	196.68	DCR|4VULN|3ASPD	167ASPD|2LIT|3LEGI|47TLV|5678VULN|67BPWR|9FEWX|aRCR
49	11333 26151	   	196.52	DCR|3ASPD|2DMG|1VULN|1CDMG	158ASPD|2BEXP|38DUST|4CDMG|6LIT|78DMG|8BPWR|9VULN|aRCR
50	35322 31125	   	196.50	DCR|3VULN|3AART|2DUR	12aLIT|3aDUR|479AART|56aVULN|8RCR|aBPWR
