0	Index      	 *	Score 	Summary	Detail	
1	52331 16233	 * 	217.06	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	18DMG|2SELL|3DMSP|4AART|59aVULN|6CDMG|7RCR
2	33233 42256	 * 	214.75	DCR|2VULN|2ASPD|1AART|1CDMG|1ZMB|1DUR	1LIT|2ZMB|3DUR|4aASPD|56VULN|7RCR|8CDMG|9AART
3	56333 33633	 * 	211.88	DCR|2VULN|2DMG|2ASPD|1CDMG	18DMG|2LIT|38ASPD|4MSLREG|5CDMG|6RCR|78TLV|8BPWR|9aVULN
4	56333 23633	   	210.08	DCR|2VULN|2DMG|2ASPD|1CDMG	18DMG|2LIT|38ASPD|4MSLREG|5CDMG|68AME|7RCR|8BPWR|9aVULN
5	63332 32661	   	209.78	DCR|2VULN|2DMG|2ASPD|1CDMG	136DUST|23DMG|3BPWR|45ASPD|7RCR|89VULN|aCDMG
6	63333 14141	 * 	209.31	DCR|3DMG|2VULN|1ASPD|1CDMG	13DUST|239DMG|3BPWR|4ASPD|5BELT|67VULN|8RCR|aCDMG
7	63332 32651	 * 	209.18	DCR|3DMG|2VULN|2ASPD	136DUST|23aDMG|3aBPWR|45ASPD|7RCR|8aVULN|9aTLV
8	52136 33235	 * 	208.47	ACR|3DMG|3ASPD|2AART|3DUR|1SELL	189DMG|2SELL|3LHND|4aAART|5RCR|689ASPD|789DUR|89BPWR
9	53124 63232	   	208.18	DCR|2VULN|2DMG|2ASPD|1CDMG	1aDMG|26LHND|3aLWND|47VULN|5CDMG|8RCR|9aASPD|aBPWR
10	42153 61223	 * 	207.63	DCR|3DMG|2ASPD|1AART|1VULN	17MLV|27ASPD|3VULN|4ERES|578DMG|6AART|7BPWR|9RCVC|aRCR
11	43153 61223	   	207.63	DCR|3DMG|2ASPD|1AART|1VULN	17MLV|278DMG|3VULN|4ERES|57ASPD|6AART|7BPWR|9RCVC|aRCR
12	52331 16232	 * 	207.54	DCR|2VULN|2DMG|1AART|1CDMG|1DUR|1SELL	18DMG|2SELL|3DMSP|4AART|59VULN|6CDMG|7RCR|aDUR
13	42112 62523	   	207.48	DCR|3DMG|2VULN|2ASPD	1MLV|26ASPD|39VULN|4LIT|56aDMG|6BPWR|7LWND|8RCR
14	34112 22243	 * 	206.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LIT|2CDMG|37VULN|4FEWX|5ASPD|6DUR|8DMG|9RCR|aAART
15	42153 61323	 * 	204.91	DCR|3ASPD|2DMG|1AART|1VULN	17MLV|278ASPD|3VULN|4ERES|57DMG|6AART|7BPWR|9RCVC|aRCR
16	43153 61323	   	204.91	DCR|3ASPD|2DMG|1AART|1VULN	17MLV|27DMG|3VULN|4ERES|578ASPD|6AART|7BPWR|9RCVC|aRCR
17	51152 12263	   	204.72	DCR|3DMG|2VULN|1ASPD|2ZMB	124DMG|24BPWR|34ZMB|5ASPD|6TLV|7LIT|8aVULN|9RCR
18	32233 42256	 * 	204.31	DCR|2VULN|2ASPD|1AART|1NUKE|1CDMG|1DUR	1LIT|2NUKE|3DUR|4aASPD|56VULN|7RCR|8CDMG|9AART
19	33232 42251	   	204.24	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1LIT|2ZMB|3DUR|4ASPD|5DMG|6TLV|7RCR|89VULN|aAART
20	43215 26123	 * 	204.10	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	1MLV|2DMG|3CDMG|45ASPD|6VULN|7RCR|8FEWX|9AART|aDUR
21	35333 32461	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1LIT|2DMG|3ASPD|4MSLREG|5CDMG|6RCR|7aVULN|8RPLT|9AART
22	63333 14152	 * 	203.55	DCR|3VULN|2DMG|1ASPD|1DUR	13DUST|23DMG|3BPWR|4ASPD|5BELT|67aVULN|8RCR|9DUR
23	63333 14143	   	203.40	DCR|3DMG|2VULN|1ASPD|1ZMB	13DUST|239DMG|3BPWR|4ASPD|5BELT|67VULN|8RCR|aZMB
24	63131 52251	 * 	203.19	DCR|2VULN|2DMG|1AART|1ASPD	1DUST|24DMG|3LWND|5LIT|6ASPD|7RCR|89VULN|aAART
25	63332 32662	 * 	202.89	DCR|2VULN|2DMG|1MDPS|2ASPD	136DUST|23DMG|3BPWR|45ASPD|7RCR|89VULN|aMDPS
26	52136 33233	 * 	202.73	ACR|3DMG|3ASPD|1AART|3DUR|1ZMB|1SELL	189DMG|2SELL|3LHND|4AART|5RCR|689ASPD|789DUR|89BPWR|aZMB
27	52331 16236	 * 	202.57	DCR|2VULN|2DMG|1AART|1CDMG|1AAC|1SELL	18DMG|2SELL|3DMSP|4AART|59VULN|6CDMG|7RCR|aAAC
28	42216 25223	   	202.31	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	1MLV|24ASPD|3CDMG|5ERES|6aVULN|7DUR|8RCR|9AART
29	33233 42651	 * 	202.01	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1LIT|2ZMB|3DUR|4ASPD|569VULN|7RCR|8LEGI|aAART
30	61344 22232	 * 	201.68	DCR|2VULN|2AART|1ASPD|1DMG	1DUST|28AART|3LIT|4ASPD|5aVULN|6DMG|7RCR|9RMIN
31	61344 22212	   	201.58	DCR|2VULN|2AART|1ASPD|1DMG	1DUST|28AART|3LIT|4ASPD|5aVULN|6DMG|7RCR|9TLV
32	43431 52231	   	201.55	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR	1MLV|29DMG|3DUR|4ZMB|5LIT|6ASPD|7RCR|8VULN|aAART
33	33232 42231	   	201.45	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR	1LIT|2ZMB|3DUR|4ASPD|59DMG|6TLV|7RCR|8VULN|aAART
34	35236 42231	   	201.45	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR	1LIT|29DMG|3DUR|4ASPD|5ZMB|6TLV|7RCR|8VULN|aAART
35	25372 17414	 * 	201.36	DCR|3VULN|1SPLARM|3ASPD	189AIRARM|2MBVNT|3CGEN|4RPLT|589VULN|689ASPD|7RCR|89BPWR|aSPLARM
36	43215 26132	   	200.70	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	1MLV|2DMG|3CDMG|45ASPD|69VULN|7RCR|8FEWX|aDUR
37	33233 42252	   	200.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1LIT|2ZMB|3DUR|4ASPD|56VULN|7RCR|8CDMG|9AART|aBEXP
38	33233 42255	   	200.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1LIT|2ZMB|3DUR|4ASPD|56VULN|7RCR|8CDMG|9AART|aAELBLL
39	33233 42634	 * 	200.53	DCR|2VULN|1ASPD|1DMG|1NUKE|1ZMB|1DUR	1LIT|2ZMB|3DUR|4ASPD|56VULN|7RCR|8LEGI|9DMG|aNUKE
40	33233 42233	   	200.43	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1LIT|2ZMB|3DUR|4ASPD|56VULN|7RCR|8CDMG|9DUST|aAART
41	33233 42251	   	200.43	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1LIT|2ZMB|3DUR|4ASPD|56VULN|7RCR|8CDMG|9AART|aERES
42	33233 42253	   	200.43	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1LIT|2ZMB|3DUR|4ASPD|56VULN|7RCR|8CDMG|9AART|aLEGI
43	33233 42254	   	200.43	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1LIT|2ZMB|3DUR|4ASPD|56VULN|7RCR|8CDMG|9AART|aDUST
44	12421 25412	 * 	200.40	DCR|2VULN|1MDPS|2ASPD|1AART|1ZMB|1DUR	1MDPS|2DUR|3aASPD|48VULN|5CGEN|6RCR|7ZMB|9AART
45	33133 43242	 * 	199.80	ACR|3VULN|2AART|2ASPD|1ZMB	1LIT|2ZMB|3RCR|47ASPD|569VULN|8aAART
46	35131 42423	 * 	199.63	ACR|2VULN|2DMG|1MDPS|1AART|1ASPD	18LIT|28DMG|3RCR|4ASPD|5LWND|68VULN|7RCVC|8BPWR|9AART|aMDPS
47	32233 42443	 * 	199.32	DCR|3VULN|2ASPD|1NUKE|1CDMG|1DUR	18LIT|2NUKE|3DUR|48ASPD|568VULN|7RCR|8BPWR|9RCVC|aCDMG
48	52331 16213	 * 	199.23	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	18DMG|2SELL|39DMSP|4AART|5aVULN|6CDMG|7RCR
49	52331 16231	 * 	199.23	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	18DMG|2SELL|3DMSP|4AART|59VULN|6CDMG|7RCR|aLWND
50	51224 14122	 * 	199.14	DCR|3VULN|3DMG|1AAC|1DUR	12aDMG|2aBPWR|3AAC|4BELT|5DUR|67aVULN|8RCR|9aERES
51	52331 16234	 * 	199.13	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	18DMG|2SELL|3DMSP|4AART|59VULN|6CDMG|7RCR|aDUST
52	42211 25223	 * 	199.07	DCR|3ASPD|2VULN|1DMG|1CDMG|1SELL	1MLV|249ASPD|3CDMG|56VULN|7SELL|8DMG|aRCR
53	52331 16353	 * 	198.91	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1SELL	1aDMG|2SELL|3DMSP|4AART|5VULN|6CDMG|7RCR|8ASPD|9LHND
54	52331 16363	 * 	198.91	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1SELL	1aDMG|2SELL|3DMSP|4AART|5VULN|6CDMG|7RCR|8ASPD|9LWND
55	33233 42443	   	198.75	DCR|3VULN|1ASPD|1CDMG|2ZMB|1DUR	18LIT|28ZMB|3DUR|4ASPD|568VULN|7RCR|8BPWR|9RCVC|aCDMG
56	32233 42423	   	198.57	DCR|3VULN|2ASPD|1NUKE|1CDMG|1DUR	18LIT|2NUKE|3DUR|48ASPD|568VULN|7RCR|8BPWR|9DMSP|aCDMG
57	43113 54131	 * 	198.41	DCR|3VULN|2ASPD|1DMG|1ZMB	17MLV|2DMG|378VULN|4LIT|5TLV|67ASPD|7BPWR|9ZMB|aRCR
58	42112 65121	   	198.06	DCR|2VULN|2DMG|2ASPD|1ZMB	1MLV|26ASPD|38VULN|4LIT|56DMG|6BPWR|7ZMB|9ERES|aRCR
59	35131 43423	   	198.02	ACR|2VULN|1MDPS|2DMG|1AART|1ASPD	18LIT|28DMG|3RCR|4ASPD|5LWND|68VULN|7DMSP|8BPWR|9AART|aMDPS
60	33233 42423	   	198.00	DCR|3VULN|1ASPD|1CDMG|2ZMB|1DUR	18LIT|28ZMB|3DUR|4ASPD|568VULN|7RCR|8BPWR|9DMSP|aCDMG
61	34112 12243	   	197.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1LIT|2CDMG|37VULN|4FEWX|5ASPD|6BEXP|8DMG|9RCR|aAART
62	52331 16114	 * 	197.62	DCR|2VULN|2AART|1DMG|1CDMG|1SELL	1DMG|2SELL|3DMSP|4aAART|59VULN|6CDMG|7RCR|8DUST
