0	Index      	 *	Score 	Summary	Detail	
1	63525 31322	 * 	226.89	DCR|3VULN|3ASPD|2DMG|1DUR	168VULN|238ASPD|4DUR|5DUST|78DMG|8BPWR|9LIT|aRCR
2	43411 31352	   	218.79	DCR|3VULN|3ASPD|2DMG	18LHND|248ASPD|346VULN|48BPWR|5FEWX|78DMG|9RPLT|aRCR
3	63311 31352	   	218.79	DCR|3VULN|3ASPD|2DMG	168VULN|248ASPD|34LHND|48BPWR|5FEWX|78DMG|9RPLT|aRCR
4	43415 31322	   	218.69	DCR|3VULN|3ASPD|2DMG	18LHND|248ASPD|346VULN|48BPWR|5DUST|78DMG|9LIT|aRCR
5	63315 31322	   	218.69	DCR|3VULN|3ASPD|2DMG	168VULN|248ASPD|34LHND|48BPWR|5DUST|78DMG|9LIT|aRCR
6	33324 31322	   	214.31	DCR|3ASPD|2VULN|2DMG|2DUR	18DUST|248ASPD|34DUR|48BPWR|56VULN|78DMG|9LIT|aRCR
7	14313 52341	 * 	214.29	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1MLV|2CDMG|3ZMB|4DMG|5AART|6RCR|7LWND|8aVULN|9ASPD
8	14313 53341	   	214.29	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1MLV|2CDMG|3ZMB|4DMG|5AART|6RCR|7FEWX|8aVULN|9ASPD
9	15512 11335	   	214.07	DCR|3VULN|2DMG|2ASPD|1DUR	18MLV|258VULN|35ASPD|4RMIN|58BPWR|6DUST|78DMG|9DUR|aRCR
10	63351 31335	   	214.07	DCR|3VULN|2DMG|2ASPD|1DUR	168VULN|28ASPD|3LHND|4DMSP|5FEWX|78DMG|8BPWR|9DUR|aRCR
11	63361 31335	   	214.07	DCR|3VULN|2DMG|2ASPD|1DUR	168VULN|28ASPD|34LHND|5FEWX|78DMG|8BPWR|9DUR|aRCR
12	33414 21335	   	213.97	DCR|3VULN|2DMG|2ASPD|1DUR	18DUST|24ASPD|348VULN|48BPWR|5AELBLL|6LHND|78DMG|9DUR|aRCR
13	33414 31335	   	213.97	DCR|3VULN|2DMG|2ASPD|1DUR	18DUST|24ASPD|348VULN|48BPWR|5AELBLL|6BEXP|78DMG|9DUR|aRCR
14	63262 31335	   	213.87	DCR|3VULN|2DMG|2ASPD|1DUR	168VULN|28ASPD|35DUST|4LHND|78DMG|8BPWR|9DUR|aRCR
15	24113 52343	 * 	212.63	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1ZMB|2CDMG|3ERES|4DMG|5AART|6RCR|7LWND|8VULN|9ASPD|aMDPS
