0	Index      	 *	Score 	Summary	Detail	
1	12462 33433	 * 	284.86	DCR|DCR|4VULN|1SELL	1BBNT|2LEGI|3SELL|458aVULN|69RCR|7BELT
2	31362 26243	 * 	276.84	DCR|DCR|2VULN|2MLV	1DUST|24MLV|3LWND|5ERES|6aVULN|79RCR|8FEWX
3	11135 23213	 * 	268.54	DCR|3VULN|2DMG|2MLV|3DUR	1BBNT|2aDMG|358DUR|46aVULN|7RCR|9aMLV|aBPWR
4	41213 22366	   	268.07	DCR|DCR|2VULN|2DUR|1AART|1ZMB	1AART|25VULN|3LHND|46DUR|7AIRARM|8ZMB|9aRCR
5	12462 33233	 * 	265.69	DCR|DCR|3VULN|1SELL	1BBNT|2LEGI|3SELL|45aVULN|69RCR|7BELT|8DMSP
6	12462 33431	 * 	265.69	DCR|DCR|3VULN|1SELL	1BBNT|2LEGI|3SELL|458VULN|69RCR|7BELT|aCGEN
7	12462 33432	 * 	265.69	DCR|DCR|3VULN|1SELL	1BBNT|2LEGI|3SELL|458VULN|69RCR|7BELT|aAAC
8	31362 26241	 * 	264.70	DCR|DCR|3MLV|1VULN	1DUST|24aMLV|3LWND|5ERES|6VULN|79RCR|8FEWX
9	15122 23215	   	261.52	DCR|DCR|2VULN|1AART|1SELL	1BBNT|2LIT|3AART|4DUR|5DUST|69VULN|7aRCR|8SELL
10	41213 32366	   	261.52	DCR|DCR|2VULN|1AART|1ZMB	1AART|25VULN|3LHND|4DUR|6RCVC|7AIRARM|8ZMB|9aRCR
11	44222 23215	   	261.52	DCR|DCR|2VULN|1AART|1SELL	1AART|2LIT|3BBNT|4DUR|5DUST|69VULN|7aRCR|8SELL
12	61321 26243	   	261.33	DCR|DCR|2VULN|1MLV	15LHND|2MLV|3LWND|4ERES|6aVULN|79RCR|8FEWX
13	61332 26243	   	261.33	DCR|DCR|2VULN|1MLV	1LHND|2MLV|3LWND|4RCVC|5ERES|6aVULN|79RCR|8FEWX
14	31111 16243	   	261.23	DCR|DCR|2VULN|1MLV	1DUST|2MLV|3ERES|4aVULN|5LHND|6RCVC|79RCR|8FEWX
15	31153 26243	   	261.23	DCR|DCR|2VULN|1MLV	1DUST|2MLV|3ERES|4RCVC|5LWND|6aVULN|79RCR|8FEWX
16	31221 16243	   	261.23	DCR|DCR|2VULN|1MLV	1DUST|2MLV|3aVULN|4ERES|5LHND|6RCVC|79RCR|8FEWX
17	31231 56243	   	261.23	DCR|DCR|2VULN|1MLV	1DUST|2MLV|3aVULN|4RCVC|5LWND|6ERES|79RCR|8FEWX
18	31322 16243	   	261.23	DCR|DCR|2VULN|1MLV	1DUST|2MLV|3LWND|4ERES|5aVULN|6RCVC|79RCR|8FEWX
19	31322 66243	   	261.23	DCR|DCR|2VULN|1MLV	1DUST|2MLV|36LWND|4ERES|5aVULN|79RCR|8FEWX
20	31332 26243	   	261.23	DCR|DCR|2VULN|1MLV	1DUST|2MLV|3LWND|4RCVC|5ERES|6aVULN|79RCR|8FEWX
21	61133 26243	   	261.23	DCR|DCR|2VULN|1MLV	1LHND|2MLV|3ERES|4AELOIC|5LWND|6aVULN|79RCR|8FEWX
22	31133 26243	   	261.13	DCR|DCR|2VULN|1MLV	1DUST|2MLV|3ERES|4AELOIC|5LWND|6aVULN|79RCR|8FEWX
23	31163 26243	   	261.13	DCR|DCR|2VULN|1MLV	14DUST|2MLV|3ERES|5LWND|6aVULN|79RCR|8FEWX
24	31324 26243	   	261.13	DCR|DCR|2VULN|1MLV	1DUST|2MLV|3LWND|4ERES|5AELOIC|6aVULN|79RCR|8FEWX
25	31342 26243	   	261.13	DCR|DCR|2VULN|1MLV	1DUST|2MLV|3LWND|4AELOIC|5ERES|6aVULN|79RCR|8FEWX
26	11132 23325	 * 	260.34	DCR|4VULN|2DMG|1MLV	1BBNT|28DMG|3DUR|456aVULN|7RCR|9MLV
27	43523 11424	   	258.63	DCR|DCR|1VULN|1ASPD|1AART|1RPLT|1SELL	1AART|2RPLT|3ASPD|4MBVNT|5LHND|6VULN|79RCR|8SELL|aDUR
28	11132 23324	   	256.78	DCR|3VULN|2DMG|2MLV	1BBNT|28DMG|3DUR|456VULN|7RCR|9aMLV
