0	Index      	 *	Score 	Summary	Detail	
1	31454 33264	 * 	277.27	DCR|DCR|1VULN|2AART|1MLV|1ASPD	1DUR|2MLV|3MBVNT|45AART|6VULN|79RCR|8MDPS|aASPD
2	31223 12568	 * 	271.56	DCR|DCR|1VULN|2MLV|1AART	1DUR|2aMLV|3FEWX|4VULN|5AART|6BEXP|79RCR|8MBVNT
3	31223 12564	   	269.60	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1DUR|2MLV|3FEWX|4VULN|5AART|6BEXP|79RCR|8MBVNT|aASPD
4	31223 32564	   	269.60	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1DUR|2MLV|3FEWX|4VULN|5AART|6LWND|79RCR|8MBVNT|aASPD
5	51223 32564	   	269.60	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1LWND|2MLV|3FEWX|4VULN|5DUR|6AART|79RCR|8MBVNT|aASPD
6	31453 72111	 * 	264.81	DCR|3VULN|2MLV|2DUR|1ASPD|1AART|1RPLT	19DUR|29MLV|3MBVNT|4AART|5RPLT|689VULN|7RCR|9BPWR|aASPD
7	41411 24373	 * 	264.34	DCR|3VULN|3DMG|1ASPD|1CDMG	167DMG|2LWND|3MBVNT|47BLASTR|567VULN|67BPWR|8ASPD|9RCR|aCDMG
8	41441 24373	   	264.34	DCR|3VULN|3DMG|1ASPD|1CDMG	167DMG|2LWND|3MBVNT|47SNITOX|567VULN|67BPWR|8ASPD|9RCR|aCDMG
9	41411 24272	   	264.24	DCR|3VULN|3DMG|1MLV|1RPLT	167DMG|2LWND|3MBVNT|47BLASTR|567VULN|67BPWR|8MLV|9RCR|aRPLT
10	41441 24272	   	264.24	DCR|3VULN|3DMG|1MLV|1RPLT	167DMG|2LWND|3MBVNT|47SNITOX|567VULN|67BPWR|8MLV|9RCR|aRPLT
11	31454 33461	   	263.72	DCR|DCR|1VULN|2AART|1MLV	1DUR|2MLV|3MBVNT|45AART|6VULN|7aRCR|8LSRICY|9LHND
12	31454 33481	   	263.72	DCR|DCR|1VULN|2AART|1MLV	1DUR|2MLV|3MBVNT|45AART|6VULN|7aRCR|8LSRICY|9BEXP
13	31454 33261	   	263.62	DCR|DCR|1VULN|2AART|1MLV	1DUR|2MLV|3MBVNT|45AART|6VULN|79RCR|8MDPS|aLIT
