0	Index      	 *	Score 	Summary	Detail	
1	12245 12611	 * 	284.04	DCR|DCR|2DMG|1VULN|1MLV	1RMIN|2MLV|3AAC|47DMG|5TBNT|6VULN|8aRCR|9DUR
2	12223 44531	 * 	282.06	DCR|DCR|1VULN|2MLV|1DMG	1RMIN|26MLV|3AAC|4BBNT|5VULN|7DUR|8aRCR|9DMG
3	51435 31133	 * 	280.42	DCR|3VULN|3DMG|3DUR|1CDMG|1AART	179DMG|2TSLFST|3AART|4MDPS|579DUR|679VULN|79BPWR|8RCR|aCDMG
4	51235 53123	 * 	274.44	DCR|4VULN|2DMG|2MLV|1SELL	1aDMG|25TSLFST|3SELL|457aVULN|5aBPWR|6LEGI|8aMLV|9RCR
5	12223 45531	   	273.66	DCR|DCR|1VULN|2MLV|1DMG	1RMIN|26MLV|3AAC|4BBNT|5VULN|7DUST|8aRCR|9DMG
6	52316 11413	   	272.23	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1DMG|2TBNT|3DUR|4LWND|5VULN|6RPLT|7CDMG|8LIT|9aRCR
7	53225 11413	   	272.23	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1DMG|2DUR|3VULN|4LHND|5BBNT|6RPLT|7CDMG|8LIT|9aRCR
8	43321 32621	   	267.81	DCR|DCR|1VULN|1DMG|1MLV|1AART	1TLV|2RCVC|3BELT|4AART|5LIT|6MLV|7DMG|8aRCR|9VULN
9	63321 32621	   	267.81	DCR|DCR|1VULN|1DMG|1MLV|1AART	1CGEN|2RCVC|3BELT|4AART|5LIT|6MLV|7DMG|8aRCR|9VULN
10	51435 31132	   	266.77	DCR|3VULN|3DMG|3DUR|1AART	179DMG|2TSLFST|3AART|4MDPS|579DUR|679VULN|79BPWR|8RCR|aTLV
11	51435 31131	   	266.67	DCR|3VULN|3DMG|3DUR|1AART|1SELL	179DMG|2TSLFST|3AART|4MDPS|579DUR|679VULN|79BPWR|8RCR|aSELL
12	23245 12611	   	266.51	DCR|DCR|2DMG|1VULN	12FEWX|3AAC|47DMG|5TBNT|6VULN|8aRCR|9DUR
13	12223 24531	   	266.45	DCR|DCR|1VULN|1DMG|1MLV	16RMIN|2MLV|3AAC|4BBNT|5VULN|7DUR|8aRCR|9DMG
14	21143 26412	 * 	266.39	DCR|DCR|2VULN|1RPLT	1FEWX|2BELT|3DUR|4MULHEA|5RPLT|67VULN|8aRCR|9MDPS
15	54123 22611	   	266.16	DCR|DCR|2DMG|1VULN|1ZMB	17DMG|2ZMB|3ERES|4BBNT|5VULN|6RMIN|8aRCR|9DUR
16	25111 14511	   	266.01	DCR|DCR|1VULN|1DMG|1MLV|1ZMB	1FEWX|2MDPS|3DMG|4MLV|5DUR|6VULN|7ZMB|8aRCR|9ERES
17	25161 12511	   	266.01	DCR|DCR|1VULN|1DMG|1MLV|1ZMB	1FEWX|2MDPS|3DMG|4ZMB|5DUR|6VULN|7MLV|8aRCR|9ERES
18	43321 31621	   	261.39	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1TLV|2RCVC|3BELT|4AART|5LIT|6MLV|7ASPD|8aRCR|9VULN
19	63321 31621	   	261.39	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1CGEN|2RCVC|3BELT|4AART|5LIT|6MLV|7ASPD|8aRCR|9VULN
20	12523 42134	 * 	260.99	DCR|2VULN|3DMG|3MLV	17RMIN|269MLV|389DMG|4BBNT|59VULN|9BPWR|aRCR
21	51431 31133	   	260.25	DCR|3VULN|3DMG|1CDMG|1AART	179DMG|2TSLFST|3AART|4MDPS|579DUST|679VULN|79BPWR|8RCR|aCDMG
22	12223 11531	   	258.15	DCR|DCR|1VULN|1DMG|1MLV	1RMIN|2MLV|3AAC|4BBNT|5VULN|67BEXP|8aRCR|9DMG
23	12223 13531	   	258.15	DCR|DCR|1VULN|1DMG|1MLV	1RMIN|2MLV|3AAC|4BBNT|5VULN|6BEXP|7RCVC|8aRCR|9DMG
24	12224 61531	   	258.15	DCR|DCR|1VULN|1DMG|1MLV	1RMIN|2MLV|3AAC|4BBNT|57BEXP|6VULN|8aRCR|9DMG
25	12224 63531	   	258.15	DCR|DCR|1VULN|1DMG|1MLV	1RMIN|2MLV|3AAC|4BBNT|5BEXP|6VULN|7RCVC|8aRCR|9DMG
26	12315 31531	   	258.15	DCR|DCR|1VULN|1DMG|1MLV	1RMIN|2MLV|37BEXP|4VULN|5TBNT|6AAC|8aRCR|9DMG
27	12315 33531	   	258.15	DCR|DCR|1VULN|1DMG|1MLV	1RMIN|2MLV|3BEXP|4VULN|5TBNT|6AAC|7RCVC|8aRCR|9DMG
28	12223 25531	   	258.05	DCR|DCR|1VULN|1DMG|1MLV	16RMIN|2MLV|3AAC|4BBNT|5VULN|7DUST|8aRCR|9DMG
29	12245 11511	   	258.05	DCR|DCR|1VULN|1DMG|1MLV	1RMIN|2MLV|3AAC|4DMG|5TBNT|6VULN|7TLV|8aRCR|9ERES
30	25623 22531	   	258.05	DCR|DCR|1VULN|1DMG|1MLV	1FEWX|2MDPS|3AAC|4LHND|5VULN|6RMIN|7MLV|8aRCR|9DMG
31	21443 23412	   	257.99	DCR|DCR|2VULN|1RPLT	1FEWX|2BELT|36VULN|4MSLREG|5RPLT|7DUST|8aRCR|9MDPS
32	52233 34511	   	257.60	DCR|DCR|1VULN|1DMG|1MLV|1ZMB	1DMG|2TBNT|34DUST|5VULN|6MLV|7ZMB|8aRCR|9ERES
33	51431 31135	   	254.91	DCR|3VULN|3DMG|1AART	179DMG|2TSLFST|3AART|4MDPS|579DUST|679VULN|79BPWR|8RCR|aDUR
34	51235 13123	 * 	254.29	DCR|3VULN|2DMG|2MLV|1SELL	1aDMG|25aTSLFST|3SELL|457VULN|5aBPWR|6LHND|8aMLV|9RCR
35	51235 23123	 * 	254.29	DCR|3VULN|2DMG|2MLV|1SELL	1aDMG|25aTSLFST|3SELL|457VULN|5aBPWR|6BEXP|8aMLV|9RCR
36	51235 62123	 * 	254.29	DCR|3VULN|2DMG|2MLV|1SELL	1aDMG|25aTSLFST|3SELL|456VULN|5aBPWR|7BEXP|8aMLV|9RCR
37	13525 11531	   	254.26	DCR|DCR|1VULN|1DMG|1ASPD	1RMIN|24BEXP|3ASPD|5TBNT|6VULN|7TLV|8aRCR|9DMG
38	13535 11531	   	254.26	DCR|DCR|1VULN|1DMG|1ASPD	1RMIN|2BEXP|3ASPD|4DMSP|5TBNT|6VULN|7TLV|8aRCR|9DMG
39	51235 43123	 * 	254.19	DCR|3VULN|2DMG|2MLV|1SELL	1aDMG|25aTSLFST|3SELL|457VULN|5aBPWR|6DUST|8aMLV|9RCR
40	13525 12511	   	254.16	DCR|DCR|1VULN|1DMG|1ASPD	1RMIN|24BEXP|3ASPD|5TBNT|6VULN|7DMG|8aRCR|9ERES
41	13535 12511	   	254.16	DCR|DCR|1VULN|1DMG|1ASPD	1RMIN|2BEXP|3ASPD|4DMSP|5TBNT|6VULN|7DMG|8aRCR|9ERES
42	43235 11531	   	254.16	DCR|DCR|1VULN|1DMG|1ASPD	1TLV|2RCVC|3ASPD|4FEWX|5TBNT|6VULN|7AME|8aRCR|9DMG
43	43235 12511	   	254.16	DCR|DCR|1VULN|1DMG|1ASPD	1TLV|2RCVC|3ASPD|4FEWX|5TBNT|6VULN|7DMG|8aRCR|9ERES
44	43225 11531	   	254.06	DCR|DCR|1VULN|1DMG|1ASPD	1TLV|2RCVC|3ASPD|4DUST|5TBNT|6VULN|7AME|8aRCR|9DMG
45	43225 12511	   	254.06	DCR|DCR|1VULN|1DMG|1ASPD	1TLV|2RCVC|3ASPD|4DUST|5TBNT|6VULN|7DMG|8aRCR|9ERES
