0	Index      	 *	Score 	Summary	Detail	
1	61536 21112	 * 	284.10	DCR|DCR|2DMG|1VULN|2ASPD	18DMG|2AIRARM|3VULN|46ASPD|5MDPS|7LIT|9aRCR
2	63623 13361	   	280.06	DCR|DCR|2DMG|1VULN|1ASPD	1aDMG|2ASPD|3FEWX|4DUR|5MULHEA|67RCR|8BEXP|9VULN
3	63623 61112	   	280.06	DCR|DCR|2DMG|1VULN|1ASPD	18DMG|2ASPD|3FEWX|4DUR|5MULHEA|6VULN|7LIT|9aRCR
4	61532 31112	   	279.96	DCR|DCR|2DMG|1VULN|1ASPD	18DMG|2AIRARM|3VULN|4ASPD|5DUR|6DUST|7LIT|9aRCR
5	61642 31112	   	279.96	DCR|DCR|2DMG|1VULN|1ASPD	18DMG|2AIRARM|3ASPD|4VULN|5DUR|6DUST|7LIT|9aRCR
6	61662 13331	   	276.12	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1DMG|2AIRARM|3ASPD|4FEWX|5DUR|67RCR|8BEXP|9CDMG|aVULN
7	63623 13331	   	276.12	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1DMG|2ASPD|3FEWX|4DUR|5MULHEA|67RCR|8BEXP|9CDMG|aVULN
8	42344 14215	   	275.81	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1MLV|2AME|3DMG|4MBVNT|5DUST|6aRCR|7DUR|8VULN|9RPLT
9	43331 14211	 * 	275.75	DCR|2VULN|3ASPD|2MLV|1DMG|2DUR|1AART	1aMLV|28aASPD|3DMG|49VULN|5aDUR|6RCR|7AART|aBPWR
10	63633 13231	   	274.92	DCR|DCR|1VULN|2ASPD|1DMG	1DMG|28ASPD|3FEWX|4VENTOX|5BEXP|67RCR|9VULN|aDUR
11	43331 14611	   	272.07	DCR|2VULN|2MLV|2ASPD|1DMG|2AART|2DUR	1aMLV|2aASPD|3DMG|49VULN|5aDUR|6RCR|78AART|aBPWR
