0	Index      	 *	Score 	Summary	Detail	
1	24221 22433	 * 	288.63	DCR|DCR|2VULN|2AART|1ASPD|1CDMG	18VULN|2CDMG|3FEWX|4ASPD|5aAART|69RCR|7CGEN
2	13622 35533	 * 	287.97	DCR|DCR|2VULN|2ASPD|1RPLT	1RPLT|2CGEN|34ASPD|5BBNT|69RCR|7DUR|8aVULN
3	23232 22432	 * 	287.27	DCR|DCR|2VULN|1DMG|1CDMG|1AART	18VULN|2aLWND|3AART|4CDMG|5DMG|69RCR|7CGEN
4	23232 22434	   	287.27	DCR|DCR|2VULN|1DMG|1CDMG|1AART	18VULN|2LWND|3AART|4CDMG|5DMG|69RCR|7CGEN|aRCVC
5	23232 22435	   	287.27	DCR|DCR|2VULN|1DMG|1CDMG|1AART	18VULN|2LWND|3AART|4CDMG|5DMG|69RCR|7CGEN|aFEWX
6	23232 22436	   	287.27	DCR|DCR|2VULN|1DMG|1CDMG|1AART	18VULN|2LWND|3AART|4CDMG|5DMG|69RCR|7CGEN|aLIT
7	23232 22431	   	287.17	DCR|DCR|2VULN|1DMG|1CDMG|1AART	18VULN|2LWND|3AART|4CDMG|5DMG|69RCR|7CGEN|aLEGI
8	23232 22433	   	287.17	DCR|DCR|2VULN|1DMG|1CDMG|1AART|1MSE	18VULN|2LWND|3AART|4CDMG|5DMG|69RCR|7CGEN|aMSE
9	23233 22432	   	280.86	DCR|DCR|2VULN|1ASPD|1CDMG|1AART	18VULN|2aLWND|3AART|4CDMG|5ASPD|69RCR|7CGEN
10	23233 22434	   	280.86	DCR|DCR|2VULN|1ASPD|1CDMG|1AART	18VULN|2LWND|3AART|4CDMG|5ASPD|69RCR|7CGEN|aRCVC
11	23233 22435	   	280.86	DCR|DCR|2VULN|1ASPD|1CDMG|1AART	18VULN|2LWND|3AART|4CDMG|5ASPD|69RCR|7CGEN|aFEWX
12	23233 22436	   	280.86	DCR|DCR|2VULN|1ASPD|1CDMG|1AART	18VULN|2LWND|3AART|4CDMG|5ASPD|69RCR|7CGEN|aLIT
13	24221 22431	   	280.86	DCR|DCR|2VULN|1ASPD|1CDMG|1AART	18VULN|2CDMG|3FEWX|4ASPD|5AART|69RCR|7CGEN|aLHND
14	24221 22432	   	280.86	DCR|DCR|2VULN|1ASPD|1CDMG|1AART	18VULN|2CDMG|3FEWX|4ASPD|5AART|69RCR|7CGEN|aLIT
15	24221 22434	   	280.86	DCR|DCR|2VULN|1ASPD|1CDMG|1AART	18VULN|2CDMG|3FEWX|4ASPD|5AART|69RCR|7CGEN|aRCVC
16	24221 22435	   	280.86	DCR|DCR|2VULN|1ASPD|1CDMG|1AART	18VULN|2CDMG|3aFEWX|4ASPD|5AART|69RCR|7CGEN
17	21353 36513	 * 	280.79	DCR|DCR|3VULN|2DUR	158VULN|24DUR|34BEXP|4BPWR|6TSLFST|7aRCR|9ERES
18	23233 22431	   	280.76	DCR|DCR|2VULN|1ASPD|1CDMG|1AART	18VULN|2LWND|3AART|4CDMG|5ASPD|69RCR|7CGEN|aLEGI
19	23233 22433	   	280.76	DCR|DCR|2VULN|1ASPD|1CDMG|1AART|1MSE	18VULN|2LWND|3AART|4CDMG|5ASPD|69RCR|7CGEN|aMSE
