0	Index      	 *	Score 	Summary	Detail	
1	14633 23236	 * 	277.34	ACR|DCR|2VULN|3ASPD|1DMG	137ASPD|2LIT|4aRCR|57VULN|67DUST|7BPWR|8TBNT|9DMG
2	13621 54254	 * 	276.12	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1ASPD|2CDMG|3TLV|4RCVC|5MBVNT|69RCR|7DMG|8VULN|aDUR
3	13621 54252	   	267.81	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1ASPD|2CDMG|3TLV|4RCVC|5MBVNT|69RCR|7DMG|8VULN|aBEXP
4	13621 54253	   	267.81	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1ASPD|2CDMG|3TLV|4RCVC|5MBVNT|69RCR|7DMG|8VULN|aBELT
5	13621 54251	   	267.71	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1ASPD|2CDMG|3TLV|4RCVC|5MBVNT|69RCR|7DMG|8VULN|aMDPS
6	13312 44242	   	267.57	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG|1ZMB	1ASPD|2CDMG|3DMG|4ZMB|5AME|69RCR|7VULN|8AAC|aBEXP
7	13312 44243	   	267.57	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG|1ZMB	1ASPD|2CDMG|3DMG|4ZMB|5AME|69RCR|7VULN|8AAC|aBELT
8	13312 44241	   	267.47	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG|1ZMB	1ASPD|2CDMG|3DMG|4ZMB|5AME|69RCR|7VULN|8AAC|aMDPS
9	14633 11241	   	265.89	ACR|DCR|2VULN|2ASPD|1DMG	13ASPD|2aLIT|49RCR|56VULN|7RCVC|8DMG
10	14633 11243	   	265.89	ACR|DCR|2VULN|2ASPD|1DMG	13ASPD|2LIT|49RCR|56VULN|7RCVC|8DMG|aTLV
11	14633 11242	   	265.79	ACR|DCR|2VULN|2ASPD|1DMG	13ASPD|2LIT|49RCR|56VULN|7RCVC|8DMG|aMDPS
12	12433 11561	   	263.82	DCR|DCR|1VULN|1DMG|1ASPD|1AART	1ASPD|2AAC|3DMG|4TBNT|5TSLFST|6VULN|7AART|8BEXP|9aRCR
13	12433 13661	   	263.82	DCR|DCR|1VULN|1DMG|1ASPD|1AART	1ASPD|2AAC|3DMG|4TBNT|5TSLFST|6VULN|7LHND|8AART|9aRCR
14	12433 12661	   	263.72	DCR|DCR|1VULN|1DMG|1ASPD|1AART	1ASPD|2AAC|3DMG|4TBNT|5TSLFST|6VULN|7DUST|8AART|9aRCR
15	14133 11246	   	263.10	ACR|DCR|2VULN|1DMG|1ASPD|1RPLT	1ASPD|2LIT|37RCVC|49RCR|56VULN|8DMG|aRPLT
16	14633 31126	   	257.47	ACR|DCR|2VULN|3ASPD	138ASPD|28LIT|4aRCR|58VULN|6TBNT|7AAC|8BPWR|9LHND
17	11431 33366	   	255.68	ACR|DCR|1VULN|2ASPD|1DMG|1AART	14ASPD|2BELT|38RCR|5DUST|6DUR|7AART|9DMG|aVULN
18	14133 11241	   	253.44	ACR|DCR|2VULN|1DMG|1ASPD	1ASPD|2aLIT|37RCVC|49RCR|56VULN|8DMG
19	14133 11243	   	253.44	ACR|DCR|2VULN|1DMG|1ASPD	1ASPD|2LIT|37RCVC|49RCR|56VULN|8DMG|aTLV
20	14133 11244	   	253.44	ACR|DCR|2VULN|1DMG|1ASPD	1ASPD|2LIT|37RCVC|49RCR|56VULN|8DMG|aCGEN
21	14133 11245	   	253.44	ACR|DCR|2VULN|1DMG|1ASPD	1ASPD|2LIT|37RCVC|49RCR|56VULN|8DMG|aBEXP
22	14133 11242	   	253.34	ACR|DCR|2VULN|1DMG|1ASPD	1ASPD|2LIT|37RCVC|49RCR|56VULN|8DMG|aMDPS
23	22614 63131	 * 	252.69	DCR|3VULN|2MLV|1ASPD|1CDMG	19CGEN|2DUR|389VULN|4FEWX|5CDMG|6RCR|79MLV|9BPWR|aASPD
24	11243 32366	   	251.53	DCR|DCR|1VULN|1MLV|1ASPD	1ASPD|2BELT|3FEWX|4DUST|5TBNT|6MLV|7VULN|8ERES|9aRCR
25	43411 53322	 * 	250.91	DCR|3VULN|3MLV|2CDMG	179ERES|2RCVC|37CDMG|479MLV|5MBVNT|6RCR|79BPWR|89aVULN
26	13321 41242	 * 	248.50	DCR|2DMG|1VULN|2ASPD|2CDMG|1MLV|2DUR	18ASPD|25CDMG|38DMG|48DUR|6RCR|7BBNT|8BPWR|9MLV|aVULN
27	23411 53327	 * 	247.81	DCR|2VULN|3MLV|1DMG|2CDMG	179CGEN|2RCVC|37CDMG|479MLV|5MBVNT|6RCR|79BPWR|89VULN|aDMG
