0	Index      	 *	Score 	Summary	Detail	
1	62351 31134	 * 	267.24	DCR|2LIT|4VULN|1DMG	1689VULN|2BLASTR|3RMIN|4DMG|56LIT|6BPWR|7LHND|aRCR
2	62111 11535	 * 	267.10	DCR|2LIT|3VULN|1MLV|1DUR	159VULN|2BLASTR|3BEXP|48LIT|6RCR|7DUR|aMLV
3	62111 12535	   	267.10	DCR|2LIT|3VULN|1MLV	159VULN|2BLASTR|3BEXP|48LIT|6RCR|7DUST|aMLV
4	62112 11635	   	267.10	DCR|2LIT|3VULN|1MLV|1DUR	189VULN|2BLASTR|3BEXP|45LIT|6RCR|7DUR|aMLV
5	62112 12635	   	267.10	DCR|2LIT|3VULN|1MLV	189VULN|2BLASTR|3BEXP|45LIT|6RCR|7DUST|aMLV
6	22531 53112	 * 	263.51	DCR|2LIT|2FLTARM|1MLV|1DMG	1DUST|2aCANARM|3DMG|4RPLT|5MLV|6RCR|7aLIT|8FEWX|9aFLTARM|aBPWR
7	22531 53312	   	263.51	DCR|2LIT|2FLTARM|1MLV|1DMG	1DUST|2aCANARM|3DMG|4RPLT|5MLV|6RCR|7aLIT|8BEXP|9aFLTARM|aBPWR
8	62111 11635	 * 	263.40	DCR|4VULN|1LIT|1MLV|1DUR	1589VULN|2BLASTR|3BEXP|4LIT|6RCR|7DUR|aMLV
9	62111 12635	   	263.40	DCR|4VULN|1LIT|1MLV	1589VULN|2BLASTR|3BEXP|4LIT|6RCR|7DUST|aMLV
10	66252 13232	 * 	263.18	DCR|2LIT|2VULN|1MLV|2CDMG|1SELL	19VULN|2RPLT|35CDMG|45LIT|5BPWR|6RCVC|7RCR|8SELL|aMLV
11	62351 33113	 * 	258.03	DCR|2LIT|2VULN|1MLV|1DMG	16VULN|2BLASTR|3RMIN|4DMG|56LIT|6BPWR|79CGEN|8MLV|aRCR
12	62351 33123	   	258.03	DCR|2LIT|2VULN|1MLV|1DMG	16VULN|2BLASTR|3RMIN|4DMG|56LIT|6BPWR|7CGEN|8MLV|9BEXP|aRCR
13	62351 33143	   	258.03	DCR|2LIT|2VULN|1MLV|1DMG	16VULN|2BLASTR|3RMIN|4DMG|56LIT|6BPWR|7CGEN|8MLV|9FEWX|aRCR
14	62351 33153	   	258.03	DCR|2LIT|2VULN|1MLV|1DMG	16VULN|2BLASTR|3RMIN|4DMG|56LIT|6BPWR|7CGEN|8MLV|9DMSP|aRCR
15	62351 33613	 * 	257.17	DCR|2LIT|2VULN|2DMG|1ASPD	16VULN|2BLASTR|3RMIN|48DMG|56LIT|6BPWR|7CGEN|9ASPD|aRCR
16	65511 11113	 * 	256.31	DCR|4VULN|1MLV|1DMG|1CDMG	1457VULN|2MLV|3CDMG|6CGEN|8FEWX|9DMG|aRCR
17	65511 11213	   	256.21	DCR|4VULN|1MLV|1DMG|1CDMG	1457VULN|2MLV|3CDMG|6CGEN|8DUST|9DMG|aRCR
18	11113 26623	   	255.91	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1ERES|2LIT|3ASPD|4FEWX|5CGEN|6RCR|7aVULN|8DMG|9MLV
19	14213 26623	   	255.91	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1ERES|2ASPD|3LIT|4FEWX|5CGEN|6RCR|7aVULN|8DMG|9MLV
20	66131 36332	   	254.58	DCR|2LIT|4VULN	1579VULN|2RPLT|3aBEXP|49LWND|6RCR|89LIT|9BPWR
21	66131 36333	   	254.58	DCR|2LIT|4VULN	1579VULN|2RPLT|3BEXP|49LWND|6RCR|89LIT|9BPWR|aLHND
22	66131 36331	   	254.48	DCR|2LIT|4VULN	1579VULN|2RPLT|3BEXP|49LWND|6RCR|89LIT|9BPWR|aSPLARM
23	62111 11534	   	254.18	DCR|2LIT|4VULN|1DUR	159aVULN|2BLASTR|3BEXP|48LIT|6RCR|7DUR
24	62111 12534	   	254.18	DCR|2LIT|4VULN	159aVULN|2BLASTR|3BEXP|48LIT|6RCR|7DUST
25	62112 11634	   	254.18	DCR|2LIT|4VULN|1DUR	189aVULN|2BLASTR|3BEXP|45LIT|6RCR|7DUR
26	62112 12634	   	254.18	DCR|2LIT|4VULN	189aVULN|2BLASTR|3BEXP|45LIT|6RCR|7DUST
27	62563 23321	 * 	253.23	DCR|3VULN|1LIT|2DMG	146VULN|2BLASTR|37DMG|5ZMB|8RCR|9LIT|aFEWX
28	62563 23323	   	253.23	DCR|3VULN|1LIT|2DMG	146VULN|2BLASTR|37DMG|5ZMB|8RCR|9LIT|aLWND
29	11124 32162	   	253.14	DCR|2LIT|2VULN|1DMG|1ASPD|1CDMG	167ERES|27LIT|3ASPD|4CDMG|57VULN|7BPWR|8FEWX|9DMG|aRCR
30	11124 32362	   	253.14	DCR|2LIT|2VULN|1DMG|1ASPD|1CDMG	167ERES|27LIT|3ASPD|4CDMG|57VULN|7BPWR|8LHND|9DMG|aRCR
31	62563 23322	   	253.13	DCR|3VULN|1LIT|2DMG	146VULN|2BLASTR|37DMG|5ZMB|8RCR|9LIT|aLSRREG
32	11124 32262	   	253.04	DCR|2LIT|2VULN|1DMG|1ASPD|1CDMG	167ERES|27LIT|3ASPD|4CDMG|57VULN|7BPWR|8DUST|9DMG|aRCR
33	11113 26625	   	252.57	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1ERES|2aLIT|3ASPD|4FEWX|5CGEN|6RCR|7VULN|8DMG|9MLV
34	11152 35134	   	251.61	DCR|2LIT|2VULN|1MLV|1ASPD	1ERES|26LIT|3ASPD|4FRZICY|56TLV|6BPWR|79VULN|8MLV|aRCR
35	11152 62134	   	251.51	DCR|2LIT|2VULN|1MLV|1ASPD	1ERES|27LIT|3ASPD|4FRZICY|5TLV|69VULN|8MLV|aRCR
36	22111 11533	   	251.41	DCR|2LIT|2VULN|1MLV|1ASPD	1DUST|2CANARM|3BEXP|48LIT|59VULN|6MLV|7ASPD|aRCR
37	62115 11533	   	251.41	DCR|2LIT|2VULN|1MLV|1ASPD	19VULN|2BLASTR|3BEXP|48LIT|5LEGI|6MLV|7ASPD|aRCR
38	32111 13553	   	250.78	DCR|3VULN|1LIT|1MLV|1ASPD	1LHND|2CANARM|3BEXP|4LIT|578VULN|6MLV|9ASPD|aRCR
39	12511 11313	   	250.68	DCR|3VULN|1LIT|1MLV|1CDMG	12ERES|368VULN|4MLV|5AART|7CDMG|9LIT|aRCR
40	13511 11313	   	250.68	DCR|3VULN|1LIT|1MLV|1CDMG	12ERES|2BPWR|368VULN|4MLV|5AART|7CDMG|9LIT|aRCR
41	22111 11633	   	250.68	DCR|3VULN|1LIT|1MLV|1ASPD	1DUST|2CANARM|3BEXP|4LIT|589VULN|6MLV|7ASPD|aRCR
42	62115 11633	   	250.68	DCR|3VULN|1LIT|1MLV|1ASPD	189VULN|2BLASTR|3BEXP|4LIT|5LEGI|6MLV|7ASPD|aRCR
43	65531 13133	   	250.54	DCR|3VULN|1LIT|1MLV|1CDMG|1SELL	189VULN|2MLV|3CDMG|4LHND|5TSLARM|6SELL|7LIT|aRCR
44	62563 11123	   	249.83	DCR|3VULN|1LIT|2DMG	148VULN|2BLASTR|38DMG|5ZMB|6TLV|78CGEN|8BPWR|9LIT|aRCR
45	22531 53113	 * 	249.76	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG	1DUST|2CANARM|3DMG|4RPLT|5MLV|6RCR|7LIT|8FEWX|9FLTARM|aVULN
46	22531 53313	   	249.76	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG	1DUST|2CANARM|3DMG|4RPLT|5MLV|6RCR|7LIT|8BEXP|9FLTARM|aVULN
47	36252 43131	   	249.49	DCR|1LIT|2VULN|1MLV|1ASPD|1CDMG	1LHND|2RPLT|3CDMG|4LIT|5LSRICY|6RCR|78VULN|9ASPD|aMLV
48	36253 43131	   	249.49	DCR|1LIT|2VULN|1MLV|1ASPD|1CDMG	1LHND|2RPLT|3CDMG|4LIT|5BASICY|6RCR|78VULN|9ASPD|aMLV
49	63511 33242	   	249.48	DCR|3VULN|1MLV|1DMG|1CDMG	145VULN|2CGEN|3CDMG|6RPLT|7RCR|8MLV|9ZMB|aDMG
50	62111 15531	   	248.76	DCR|2LIT|3VULN|1CDMG	159VULN|2BLASTR|3BEXP|48LIT|6RCR|7LHND|aCDMG
51	62112 15631	   	248.76	DCR|2LIT|3VULN|1CDMG	189VULN|2BLASTR|3BEXP|45LIT|6RCR|7LHND|aCDMG
52	62111 11531	   	248.66	DCR|2LIT|3VULN|1CDMG|1DUR	159VULN|2BLASTR|3BEXP|48LIT|6RCR|7DUR|aCDMG
53	62111 12531	   	248.66	DCR|2LIT|3VULN|1CDMG	159VULN|2BLASTR|3BEXP|48LIT|6RCR|7DUST|aCDMG
54	62112 11631	   	248.66	DCR|2LIT|3VULN|1CDMG|1DUR	189VULN|2BLASTR|3BEXP|45LIT|6RCR|7DUR|aCDMG
55	62112 12631	   	248.66	DCR|2LIT|3VULN|1CDMG	189VULN|2BLASTR|3BEXP|45LIT|6RCR|7DUST|aCDMG
56	66252 13223	 * 	248.59	DCR|3LIT|2VULN|2CDMG|1SELL	1aVULN|2RPLT|35CDMG|45aLIT|5aBPWR|6RCVC|7RCR|8SELL|9aTLV
57	62111 11634	 * 	248.20	DCR|5VULN|1LIT|1DUR	1589aVULN|2BLASTR|3BEXP|4LIT|6RCR|7DUR
58	62111 12634	   	248.20	DCR|5VULN|1LIT	1589aVULN|2BLASTR|3BEXP|4LIT|6RCR|7DUST
59	62351 31111	   	248.07	DCR|2LIT|3VULN|1DMG	168VULN|2BLASTR|3RMIN|4DMG|56LIT|6BPWR|7LHND|9CGEN|aRCR
60	62351 31143	   	248.07	DCR|2LIT|3VULN|1DMG	168VULN|2BLASTR|3RMIN|4DMG|56LIT|6BPWR|7LHND|9FEWX|aRCR
61	62351 31163	   	248.07	DCR|2LIT|3VULN|1DMG	168VULN|2BLASTR|3RMIN|4DMG|56LIT|6BPWR|7LHND|9BEXP|aRCR
62	62351 33231	   	248.07	DCR|2LIT|3VULN|1DMG	169VULN|2BLASTR|3RMIN|4DMG|56LIT|6BPWR|7CGEN|8LHND|aRCR
63	62351 36111	   	248.07	DCR|2LIT|3VULN|1DMG	168VULN|2BLASTR|3RMIN|4DMG|56LIT|6BPWR|7FEWX|9CGEN|aRCR
64	62351 31123	   	247.97	DCR|2LIT|3VULN|1DMG|1DUR	168VULN|2BLASTR|3RMIN|4DMG|56LIT|6BPWR|7LHND|9DUR|aRCR
65	62351 33331	   	247.97	DCR|2LIT|3VULN|1DMG|1DUR	169VULN|2BLASTR|3RMIN|4DMG|56LIT|6BPWR|7CGEN|8DUR|aRCR
66	62351 36123	   	247.97	DCR|2LIT|3VULN|1DMG|1DUR	168VULN|2BLASTR|3RMIN|4DMG|56LIT|6BPWR|7FEWX|9DUR|aRCR
67	63511 33224	 * 	247.96	DCR|4VULN|2MLV|2CDMG	145aVULN|2CGEN|3aCDMG|6RPLT|7RCR|8aMLV|9MBVNT|aBPWR
68	62112 21134	   	247.08	DCR|2LIT|4VULN	1689VULN|2BLASTR|3BEXP|45LIT|7LHND|aRCR
69	62112 26134	   	247.08	DCR|2LIT|4VULN	1689VULN|2BLASTR|3BEXP|45LIT|7FEWX|aRCR
70	11413 32152	 * 	247.01	DCR|3LIT|3VULN	14ERES|256LIT|35LWND|5BPWR|78aVULN|9RCR
71	62112 22134	   	246.98	DCR|2LIT|4VULN	1689VULN|2BLASTR|3BEXP|45LIT|7DUST|aRCR
72	62356 23321	   	246.29	DCR|3VULN|1LIT|2DMG	156VULN|2BLASTR|3RMIN|47DMG|8RCR|9LIT|aFEWX
73	62356 23323	   	246.29	DCR|3VULN|1LIT|2DMG	156VULN|2BLASTR|3RMIN|47DMG|8RCR|9LIT|aLWND
74	62356 23322	   	246.19	DCR|3VULN|1LIT|2DMG	156VULN|2BLASTR|3RMIN|47DMG|8RCR|9LIT|aLSRREG
75	62111 15521	   	245.06	DCR|2LIT|2VULN|1MLV	15VULN|2BLASTR|3BEXP|48LIT|6RCR|7LHND|9LWND|aMLV
76	62112 15335	   	245.06	DCR|2LIT|2VULN|1MLV	19VULN|2BLASTR|3BEXP|45LIT|6RCR|7LHND|8RCVC|aMLV
77	62112 15621	   	245.06	DCR|2LIT|2VULN|1MLV	18VULN|2BLASTR|3BEXP|45LIT|6RCR|7LHND|9LWND|aMLV
78	62111 15631	   	245.05	DCR|4VULN|1LIT|1CDMG	1589VULN|2BLASTR|3BEXP|4LIT|6RCR|7LHND|aCDMG
79	11245 14233	   	244.96	DCR|2LIT|2VULN|1MLV	1ERES|2aLIT|3BEXP|4MLV|5aCANARM|6RCR|7NUKE|8CGEN|9aVULN|aBPWR
80	62111 11521	   	244.96	DCR|2LIT|2VULN|1MLV|1DUR	15VULN|2BLASTR|3BEXP|48LIT|6RCR|7DUR|9LWND|aMLV
81	62111 12521	   	244.96	DCR|2LIT|2VULN|1MLV	15VULN|2BLASTR|3BEXP|48LIT|6RCR|7DUST|9LWND|aMLV
82	62111 15141	   	244.96	DCR|2LIT|2VULN|1MLV	15VULN|2BLASTR|3BEXP|49LIT|6RCR|7LHND|8DUST|aMLV
83	62111 16134	   	244.96	DCR|2LIT|2VULN|1MLV	15VULN|2BLASTR|3BEXP|4aLIT|6RCR|7ERES|8RMIN|9MLV
84	62112 11335	   	244.96	DCR|2LIT|2VULN|1MLV|1DUR	19VULN|2BLASTR|3BEXP|45LIT|6RCR|7DUR|8RCVC|aMLV
85	62112 11621	   	244.96	DCR|2LIT|2VULN|1MLV|1DUR	18VULN|2BLASTR|3BEXP|45LIT|6RCR|7DUR|9LWND|aMLV
86	62112 12621	   	244.96	DCR|2LIT|2VULN|1MLV	18VULN|2BLASTR|3BEXP|45LIT|6RCR|7DUST|9LWND|aMLV
87	62112 14135	   	244.96	DCR|2LIT|2VULN|1MLV	19VULN|2BLASTR|3BEXP|45LIT|6RCR|7NUKE|8RMIN|aMLV
88	62112 14235	   	244.96	DCR|2LIT|2VULN|1MLV	19VULN|2BLASTR|3BEXP|45LIT|6RCR|7NUKE|8CGEN|aMLV
89	62112 16235	   	244.96	DCR|2LIT|2VULN|1MLV	19VULN|2BLASTR|3BEXP|45LIT|6RCR|7ERES|8CGEN|aMLV
90	62621 13633	   	244.96	DCR|2LIT|2VULN|1MLV|1DUR	19VULN|2BLASTR|3RCVC|4DUR|58LIT|6RCR|7CGEN|aMLV
91	62111 11631	   	244.95	DCR|4VULN|1LIT|1CDMG|1DUR	1589VULN|2BLASTR|3BEXP|4LIT|6RCR|7DUR|aCDMG
92	62111 12631	   	244.95	DCR|4VULN|1LIT|1CDMG	1589VULN|2BLASTR|3BEXP|4LIT|6RCR|7DUST|aCDMG
93	62111 11141	   	244.86	DCR|2LIT|2VULN|1MLV|1DUR	15VULN|2BLASTR|3BEXP|49LIT|6RCR|7DUR|8DUST|aMLV
94	62111 11162	   	244.86	DCR|2LIT|2VULN|1MLV|1DUR	15VULN|2BLASTR|3BEXP|4aLIT|6RCR|7DUR|8DUST|9MLV
95	62112 12135	   	244.86	DCR|2LIT|2VULN|1MLV	19VULN|2BLASTR|3BEXP|45LIT|6RCR|78DUST|aMLV
96	62112 13255	   	244.82	DCR|2LIT|2VULN|1MLV|1SELL	1aVULN|2BLASTR|3BEXP|45LIT|6RCR|7SELL|8LWND|9MLV
97	14133 52333	 * 	244.70	DCR|1LIT|2VULN|1MLV|2ASPD	1ERES|29ASPD|3aVULN|4FEWX|5BEXP|6MLV|7LIT|8RCR
98	14134 52333	   	244.70	DCR|1LIT|2VULN|1MLV|2ASPD	1ERES|29ASPD|3aVULN|4FEWX|5LHND|6MLV|7LIT|8RCR
99	14131 52333	   	244.60	DCR|1LIT|2VULN|1MLV|2ASPD	1ERES|29ASPD|3aVULN|4FEWX|5DUST|6MLV|7LIT|8RCR
100	14135 52333	   	244.60	DCR|1LIT|2VULN|1MLV|2ASPD|1DUR	1ERES|29ASPD|3aVULN|4FEWX|5DUR|6MLV|7LIT|8RCR
101	66131 34133	   	244.43	DCR|3VULN|1LIT|1MLV	159VULN|2RPLT|39BEXP|4LWND|6RCR|7MLV|89ERES|9BPWR|aLIT
102	62111 15335	   	244.33	DCR|3VULN|1LIT|1MLV	159VULN|2BLASTR|3BEXP|4LIT|6RCR|7LHND|8RCVC|aMLV
103	62111 15621	   	244.33	DCR|3VULN|1LIT|1MLV	158VULN|2BLASTR|3BEXP|4LIT|6RCR|7LHND|9LWND|aMLV
104	62111 11335	   	244.23	DCR|3VULN|1LIT|1MLV|1DUR	159VULN|2BLASTR|3BEXP|4LIT|6RCR|7DUR|8RCVC|aMLV
105	62111 11621	   	244.23	DCR|3VULN|1LIT|1MLV|1DUR	158VULN|2BLASTR|3BEXP|4LIT|6RCR|7DUR|9LWND|aMLV
106	62111 12621	   	244.23	DCR|3VULN|1LIT|1MLV	158VULN|2BLASTR|3BEXP|4LIT|6RCR|7DUST|9LWND|aMLV
107	62111 14135	   	244.23	DCR|3VULN|1LIT|1MLV	159VULN|2BLASTR|3BEXP|4LIT|6RCR|7NUKE|8RMIN|aMLV
108	62111 14235	   	244.23	DCR|3VULN|1LIT|1MLV	159VULN|2BLASTR|3BEXP|4LIT|6RCR|7NUKE|8CGEN|aMLV
109	62111 16235	   	244.23	DCR|3VULN|1LIT|1MLV	159VULN|2BLASTR|3BEXP|4LIT|6RCR|7ERES|8CGEN|aMLV
110	62111 12135	   	244.13	DCR|3VULN|1LIT|1MLV	159VULN|2BLASTR|3BEXP|4LIT|6RCR|78DUST|aMLV
111	62111 13255	   	244.09	DCR|3VULN|1LIT|1MLV|1SELL	15aVULN|2BLASTR|3BEXP|4LIT|6RCR|7SELL|8LWND|9MLV
112	11113 26626	   	243.35	DCR|1LIT|1VULN|1MLV|1DMG|1ASPD|1CDMG	1ERES|2LIT|3ASPD|4FEWX|5CGEN|6RCR|7VULN|8DMG|9MLV|aCDMG
113	65511 11133	   	243.18	DCR|4VULN|1MLV|1CDMG	1457VULN|2MLV|3CDMG|6CGEN|8FEWX|9ZMB|aRCR
114	11225 36532	   	243.12	DCR|2LIT|2VULN|1MLV|1SELL	1ERES|26LIT|36BEXP|4SELL|5RCVC|6BPWR|7RCR|89VULN|aMLV
115	11224 36532	   	243.02	DCR|2LIT|2VULN|1MLV|1SELL	15ERES|26LIT|36BEXP|4SELL|6BPWR|7RCR|89VULN|aMLV
116	14224 32162	 * 	242.72	DCR|1LIT|2VULN|2ASPD|1DMG|1CDMG	167ERES|27ASPD|3LIT|4CDMG|57VULN|7BPWR|8FEWX|9DMG|aRCR
117	14224 32362	   	242.72	DCR|1LIT|2VULN|2ASPD|1DMG|1CDMG	167ERES|27ASPD|3LIT|4CDMG|57VULN|7BPWR|8LHND|9DMG|aRCR
118	14224 32262	   	242.62	DCR|1LIT|2VULN|2ASPD|1DMG|1CDMG	167ERES|27ASPD|3LIT|4CDMG|57VULN|7BPWR|8DUST|9DMG|aRCR
119	62621 25113	   	242.43	DCR|3VULN|1LIT|1MLV|1DUR	168VULN|2BLASTR|3RCVC|4DUR|5LIT|7RCR|9CGEN|aMLV
120	11313 26623	   	242.16	DCR|1LIT|2VULN|1MLV|1DMG	1ERES|2LIT|3NUKE|4FEWX|5CGEN|6RCR|7aVULN|8DMG|9MLV
121	22531 53123	   	242.16	DCR|1LIT|2VULN|1MLV|1DMG	1DUST|2CANARM|3DMG|4RPLT|5MLV|6RCR|7LIT|8FEWX|9aVULN
122	22531 53323	   	242.16	DCR|1LIT|2VULN|1MLV|1DMG	1DUST|2CANARM|3DMG|4RPLT|5MLV|6RCR|7LIT|8BEXP|9aVULN
123	62111 11165	   	242.06	DCR|1LIT|2VULN|1MLV|1DMG|1DUR	15VULN|2BLASTR|3BEXP|4LIT|6RCR|7DUR|8DUST|9MLV|aDMG
124	62111 14611	   	242.06	DCR|1LIT|2VULN|1MLV|1DMG	15VULN|2BLASTR|3BEXP|4LIT|6RCR|7NUKE|8DMG|9DUST|aMLV
125	62111 14621	   	242.06	DCR|1LIT|2VULN|1MLV|1DMG	15VULN|2BLASTR|3BEXP|4LIT|6RCR|7NUKE|8DMG|9MBVNT|aMLV
126	62111 15532	   	242.05	DCR|2LIT|3VULN	159VULN|2BLASTR|3BEXP|48LIT|6RCR|7LHND|aZMB
127	62112 15632	   	242.05	DCR|2LIT|3VULN	189VULN|2BLASTR|3BEXP|45LIT|6RCR|7LHND|aZMB
128	11151 25133	   	242.05	DCR|1LIT|2VULN|1MLV|1ASPD|1CDMG|1SELL	1ERES|2LIT|3ASPD|4FRZICY|5CDMG|6SELL|79VULN|8MLV|aRCR
129	14251 25133	   	242.05	DCR|1LIT|2VULN|1MLV|1ASPD|1CDMG|1SELL	1ERES|2ASPD|3LIT|4FRZICY|5CDMG|6SELL|79VULN|8MLV|aRCR
130	62111 11532	   	241.95	DCR|2LIT|3VULN|1DUR	159VULN|2BLASTR|3BEXP|48LIT|6RCR|7DUR|aZMB
131	62111 12532	   	241.95	DCR|2LIT|3VULN	159VULN|2BLASTR|3BEXP|48LIT|6RCR|7DUST|aZMB
132	62112 11632	   	241.95	DCR|2LIT|3VULN|1DUR	189VULN|2BLASTR|3BEXP|45LIT|6RCR|7DUR|aZMB
133	62112 12632	   	241.95	DCR|2LIT|3VULN	189VULN|2BLASTR|3BEXP|45LIT|6RCR|7DUST|aZMB
134	63511 33211	   	241.64	DCR|4VULN|1MLV|1CDMG	145aVULN|2CGEN|3CDMG|6RPLT|7RCR|8MLV|9LWND
135	63511 33221	   	241.54	DCR|4VULN|1MLV|1CDMG	145aVULN|2CGEN|3CDMG|6RPLT|7RCR|8MLV|9MBVNT
136	63511 33251	   	241.54	DCR|4VULN|1MLV|1CDMG	145aVULN|2CGEN|3CDMG|6RPLT|7RCR|8MLV|9DUST
137	22111 11333	   	241.00	DCR|1LIT|2VULN|1MLV|2ASPD	1DUST|2CANARM|3BEXP|4LIT|59VULN|6MLV|78ASPD|aRCR
138	62156 31333	   	241.00	DCR|1LIT|2VULN|1MLV|2ASPD	19VULN|2BLASTR|3BEXP|4MLV|5LIT|6DUST|78ASPD|aRCR
139	36363 43213	   	240.58	DCR|1LIT|1FLTARM|1VULN|1MLV|1DUR	1LHND|2RPLT|3MULHEA|4DUR|5LIT|6RCR|7ZMB|8MLV|9FLTARM|aVULN
140	62112 13316	   	240.03	DCR|2LIT|2VULN|1ASPD|1CDMG|1SELL	18VULN|2BLASTR|3BEXP|45LIT|6RCR|7SELL|9ASPD|aCDMG
141	11152 35633	   	239.59	DCR|2LIT|2VULN|1DMG|1ASPD	1ERES|26LIT|3ASPD|4FRZICY|56TLV|6BPWR|79VULN|8DMG|aRCR
142	11363 31253	 * 	239.56	DCR|2LIT|1VULN|1MLV|2ASPD	1ERES|25LIT|3NUKE|45ASPD|5BPWR|6CGEN|7DMSP|8VULN|9RCR|aMLV
143	11363 41253	   	239.56	DCR|2LIT|1VULN|1MLV|2ASPD	1ERES|25LIT|3NUKE|45ASPD|5BPWR|6RMIN|7DMSP|8VULN|9RCR|aMLV
144	11152 62633	   	239.49	DCR|2LIT|2VULN|1DMG|1ASPD	1ERES|27LIT|3ASPD|4FRZICY|5TLV|69VULN|8DMG|aRCR
145	62111 13316	   	239.30	DCR|3VULN|1LIT|1ASPD|1CDMG|1SELL	158VULN|2BLASTR|3BEXP|4LIT|6RCR|7SELL|9ASPD|aCDMG
146	11313 26625	   	238.82	DCR|2LIT|1VULN|1MLV|1DMG	1ERES|2aLIT|3NUKE|4FEWX|5CGEN|6RCR|7VULN|8DMG|9MLV
147	62112 11165	   	238.72	DCR|2LIT|1VULN|1MLV|1DMG|1DUR	1VULN|2BLASTR|3BEXP|45LIT|6RCR|7DUR|8DUST|9MLV|aDMG
148	62112 14611	   	238.72	DCR|2LIT|1VULN|1MLV|1DMG	1VULN|2BLASTR|3BEXP|45LIT|6RCR|7NUKE|8DMG|9DUST|aMLV
149	62112 14621	   	238.72	DCR|2LIT|1VULN|1MLV|1DMG	1VULN|2BLASTR|3BEXP|45LIT|6RCR|7NUKE|8DMG|9MBVNT|aMLV
150	63413 23315	   	238.66	DCR|1LIT|2VULN|1MLV|1DMG	16VULN|2CGEN|3RCVC|4MLV|5SPLREG|7DMG|8RCR|9BEXP|aLIT
151	33511 41316	 * 	238.56	DCR|1LIT|2VULN|1MLV|2CDMG	1LHND|2CGEN|3aCDMG|47VULN|5TSLARM|6MLV|8RCR|9LIT
152	63413 23325	   	238.56	DCR|1LIT|2VULN|1MLV|1DMG	16VULN|2CGEN|3RCVC|4MLV|5SPLREG|7DMG|8RCR|9ERES|aLIT
153	63413 23335	   	238.56	DCR|1LIT|2VULN|1MLV|1DMG	16VULN|2CGEN|3RCVC|4MLV|5SPLREG|7DMG|8RCR|9DUST|aLIT
154	14133 52335	 * 	238.56	DCR|1LIT|1VULN|1MLV|2ASPD|1DMG	1ERES|29ASPD|3VULN|4FEWX|5BEXP|6MLV|7LIT|8RCR|aDMG
155	23511 41316	   	238.46	DCR|1LIT|2VULN|1MLV|2CDMG	1DUST|2CGEN|3aCDMG|47VULN|5TSLARM|6MLV|8RCR|9LIT
156	14131 52335	   	238.46	DCR|1LIT|1VULN|1MLV|2ASPD|1DMG	1ERES|29ASPD|3VULN|4FEWX|5DUST|6MLV|7LIT|8RCR|aDMG
157	62111 15632	   	238.34	DCR|4VULN|1LIT	1589VULN|2BLASTR|3BEXP|4LIT|6RCR|7LHND|aZMB
158	62111 11632	   	238.24	DCR|4VULN|1LIT|1DUR	1589VULN|2BLASTR|3BEXP|4LIT|6RCR|7DUR|aZMB
159	62111 12632	   	238.24	DCR|4VULN|1LIT	1589VULN|2BLASTR|3BEXP|4LIT|6RCR|7DUST|aZMB
