0	Index      	 *	Score 	Summary	Detail	
1	24321 23216	 * 	294.95	DCR|2LIT|2MLV|3VULN	1ZMB|29MLV|3BEXP|47LIT|56aVULN|8RCR
2	23321 23414	   	284.29	DCR|2LIT|3VULN|1MLV|1ASPD	1ZMB|2ASPD|3BEXP|47LIT|56aVULN|8RCR|9MLV
3	23521 23414	   	284.29	DCR|2LIT|3VULN|1MLV|1ASPD	1ZMB|2ASPD|3LHND|47LIT|56aVULN|8RCR|9MLV
4	23321 23416	   	275.35	DCR|2LIT|2MLV|2VULN|1ASPD	1ZMB|2ASPD|3BEXP|47LIT|56VULN|8RCR|9aMLV
5	23521 23416	   	275.35	DCR|2LIT|2MLV|2VULN|1ASPD	1ZMB|2ASPD|3LHND|47LIT|56VULN|8RCR|9aMLV
6	23213 42414	 * 	271.96	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG|2ZMB	17ZMB|27ASPD|3DMG|4LWND|5RMIN|67LIT|7BPWR|8RCR|9MLV|aVULN
7	22321 43214	   	270.64	DCR|2LIT|3VULN|1MLV	1ZMB|2CGEN|3BEXP|47LIT|56aVULN|8RCR|9MLV
8	24321 23256	   	270.64	DCR|2LIT|3VULN|1MLV	1ZMB|2MLV|3BEXP|47LIT|56aVULN|8RCR|9RCVC
9	24321 23266	   	270.64	DCR|2LIT|3VULN|1MLV	1ZMB|2MLV|39BEXP|47LIT|56aVULN|8RCR
10	24521 23234	   	270.64	DCR|2LIT|3VULN|1MLV	1ZMB|2MLV|3LHND|47LIT|56aVULN|8RCR|9TLV
11	24521 23253	   	270.64	DCR|2LIT|3VULN|1MLV	1ZMB|2MLV|3LHND|47LIT|56aVULN|8RCR|9BELT
12	53221 43214	   	270.64	DCR|2LIT|3VULN|1MLV	1FEWX|2ZMB|3CGEN|47LIT|56aVULN|8RCR|9MLV
13	63221 43214	   	270.64	DCR|2LIT|3VULN|1MLV	1LHND|2ZMB|3CGEN|47LIT|56aVULN|8RCR|9MLV
14	22621 43214	   	270.54	DCR|2LIT|3VULN|1MLV	1ZMB|2CGEN|3DUST|47LIT|56aVULN|8RCR|9MLV
15	23234 53523	   	270.27	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG	1ZMB|26ASPD|3DMG|4RPLT|5MLV|7RCR|89LIT|aVULN
16	22323 15336	 * 	268.57	DCR|2LIT|2VULN|1MLV|1DMG	1ZMB|2CGEN|3BEXP|45LIT|6DMG|79VULN|8RCR|aMLV
17	24321 23221	   	268.57	DCR|2LIT|2VULN|1MLV|1DMG	1ZMB|2MLV|3BEXP|47LIT|56VULN|8RCR|9AART|aDMG
18	23213 42115	   	268.36	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG|2ZMB	17ZMB|27ASPD|3DMG|4LWND|5RMIN|67LIT|7BPWR|8VULN|9MLV|aRCR
19	23253 42115	   	268.36	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG|2ZMB	17ZMB|27ASPD|3DMG|4LHND|5RMIN|67LIT|7BPWR|8VULN|9MLV|aRCR
20	23363 42115	   	268.36	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG|2ZMB	17ZMB|27ASPD|3BEXP|4DMG|5RMIN|67LIT|7BPWR|8VULN|9MLV|aRCR
21	63331 64333	 * 	265.90	DCR|3LIT|2VULN|1MLV	19LHND|2ZMB|3RCVC|4MBVNT|569LIT|79VULN|8RCR|9BPWR|aMLV
22	63531 64333	   	265.90	DCR|3LIT|2VULN|1MLV	19LHND|2ZMB|3DMSP|4MBVNT|569LIT|79VULN|8RCR|9BPWR|aMLV
23	24521 23225	   	265.70	DCR|3LIT|2VULN|1MLV|1DUR	1ZMB|2MLV|3LHND|47aLIT|56VULN|8RCR|9DUR
24	23321 23424	   	265.45	DCR|2LIT|2VULN|1MLV|1ASPD|2ZMB	19ZMB|2ASPD|3BEXP|47LIT|56VULN|8RCR|aMLV
25	23521 23424	   	265.45	DCR|2LIT|2VULN|1MLV|1ASPD|2ZMB	19ZMB|2ASPD|3LHND|47LIT|56VULN|8RCR|aMLV
