0	Index      	 *	Score 	Summary	Detail	
1	52223 11334	 * 	332.67	DCR|2LIT|4VULN|3DMG|1MLV	134DMG|2467VULN|4BPWR|58LIT|9MLV|aRCR
2	12221 44341	 * 	326.24	DCR|2MLV|3VULN|1LIT|3DMG	17MLV|24aVULN|346DMG|4BPWR|5LIT|8LWND|9RCR
3	52223 34341	   	326.24	DCR|2MLV|3VULN|1LIT|3DMG	134DMG|24aVULN|4BPWR|5LIT|67MLV|8LWND|9RCR
4	12321 24562	 * 	320.06	DCR|2LIT|3MLV|3VULN|3ZMB	167MLV|249VULN|349ZMB|49BPWR|59LIT|8RCR|aRMIN
5	12321 24563	   	319.91	DCR|2LIT|3MLV|3VULN|3ZMB	167MLV|249VULN|349ZMB|49BPWR|59LIT|8RCR|aDUR
6	12321 41244	 * 	319.12	DCR|3MLV|3VULN|1LIT|2DMG	178MLV|248VULN|34ZMB|48BPWR|5LIT|68DMG|9AART|aRCR
7	12221 44343	   	314.91	DCR|2MLV|1LIT|2VULN|3DMG|1CDMG	17MLV|24VULN|346DMG|4BPWR|5LIT|8LWND|9RCR|aCDMG
8	52223 34343	   	314.91	DCR|2MLV|1LIT|2VULN|3DMG|1CDMG	134DMG|24VULN|4BPWR|5LIT|67MLV|8LWND|9RCR|aCDMG
9	52223 14334	   	313.51	DCR|2LIT|3VULN|3DMG|1MLV	134DMG|246VULN|4BPWR|58LIT|7DMSP|9MLV|aRCR
10	52223 41334	   	313.51	DCR|2LIT|3VULN|3DMG|1MLV	134DMG|247VULN|4BPWR|58LIT|6RCVC|9MLV|aRCR
11	12221 24536	   	313.00	DCR|3MLV|1LIT|2VULN|2DMG|1CDMG|1ASPD	167MLV|24VULN|34DMG|4BPWR|5LIT|8RCR|9ASPD|aCDMG
12	12222 61423	 * 	312.39	DCR|3VULN|1LIT|1FLTARM|2DMG|1MLV	1MLV|249VULN|34DMG|4BPWR|5CGEN|6FLTARM|7FEWX|8RCR|aLIT
13	12222 63423	   	312.29	DCR|3VULN|1LIT|1FLTARM|2DMG|1MLV	1MLV|249VULN|34DMG|4BPWR|5CGEN|6FLTARM|7DUST|8RCR|aLIT
14	12221 24521	   	312.13	DCR|3MLV|3VULN|1LIT|2DMG	167MLV|24aVULN|34DMG|4BPWR|5LIT|8RCR|9BEXP
15	12221 24561	   	312.13	DCR|3MLV|3VULN|1LIT|2DMG	167MLV|24aVULN|34DMG|4BPWR|5LIT|8RCR|9LWND
16	12221 43541	   	311.60	DCR|4VULN|1LIT|3DMG|1MLV	1MLV|248aVULN|346DMG|4BPWR|5LIT|7FEWX|9RCR
17	52223 33541	   	311.60	DCR|4VULN|1LIT|3DMG|1MLV	134DMG|248aVULN|4BPWR|5LIT|6MLV|7FEWX|9RCR
18	12221 42541	   	311.50	DCR|4VULN|1LIT|3DMG|1MLV	1MLV|248aVULN|346DMG|4BPWR|5LIT|7DUST|9RCR
19	52223 32541	   	311.50	DCR|4VULN|1LIT|3DMG|1MLV	134DMG|248aVULN|4BPWR|5LIT|6MLV|7DUST|9RCR
20	52223 11134	   	309.80	DCR|4VULN|1LIT|3DMG|1MLV	134DMG|2467VULN|4BPWR|5LIT|8RCVC|9MLV|aRCR
21	12221 43542	   	308.69	DCR|3VULN|1LIT|3DMG|1MLV|1AART	1MLV|248VULN|346DMG|4BPWR|5LIT|7FEWX|9RCR|aAART
22	52223 33542	   	308.69	DCR|3VULN|1LIT|3DMG|1MLV|1AART	134DMG|248VULN|4BPWR|5LIT|6MLV|7FEWX|9RCR|aAART
23	12221 42542	   	308.59	DCR|3VULN|1LIT|3DMG|1MLV|1AART	1MLV|248VULN|346DMG|4BPWR|5LIT|7DUST|9RCR|aAART
24	52223 32542	   	308.59	DCR|3VULN|1LIT|3DMG|1MLV|1AART	134DMG|248VULN|4BPWR|5LIT|6MLV|7DUST|9RCR|aAART
25	52223 11314	   	307.52	DCR|2LIT|4VULN|3DMG	134DMG|2467VULN|4BPWR|58LIT|9ZMB|aRCR
26	12221 24543	   	305.53	DCR|3MLV|1LIT|2VULN|2DMG|1AART	167MLV|24VULN|34DMG|4BPWR|5LIT|8RCR|9ZMB|aAART
27	52223 12236	   	304.19	DCR|3VULN|1LIT|3DMG|1MLV|1ASPD	134DMG|246VULN|4BPWR|5LIT|7ASPD|8MLV|9MBVNT|aRCR
28	12221 24535	   	302.93	DCR|3MLV|1LIT|2VULN|2DMG|1ASPD	167MLV|24VULN|34DMG|4BPWR|5LIT|8RCR|9ASPD|aZMB
