0	Index      	 *	Score 	Summary	Detail	
1	21516 62331	 * 	293.70	DCR|2LIT|3VULN|1MLV|1AART|1CDMG	1BEXP|247VULN|34LIT|4BPWR|5RPLT|6MLV|8RCR|9CDMG|aAART
2	21511 62163	 * 	292.95	DCR|3LIT|3VULN|1MLV|1CDMG	1BEXP|24aVULN|347LIT|4BPWR|5CGEN|6MLV|8CDMG|9RCR
3	53653 22133	 * 	288.25	DCR|4VULN|1LIT|3DMG	1LHND|246DMG|356aVULN|6BPWR|7LIT|8RCR|9ZMB
4	21533 62361	 * 	283.77	DCR|2LIT|3VULN|1MLV|1DMG	1BEXP|27aVULN|35LIT|4RPLT|6MLV|8RCR|9DMG
5	21516 62311	 * 	282.97	DCR|2LIT|4VULN|1MLV	1BEXP|247aVULN|34LIT|4BPWR|5RPLT|6MLV|8RCR|9CGEN
6	11513 36335	   	282.80	DCR|3LIT|3VULN|1MLV	1FEWX|24aVULN|348LIT|4BPWR|5DUST|6RPLT|7RCR|9MLV
7	11515 31521	 * 	281.92	DCR|3LIT|4VULN|1ASPD	1FEWX|2459VULN|345LIT|45BPWR|6ASPD|7RCVC|8RCR|aCGEN
8	11515 31522	   	281.92	DCR|3LIT|4VULN|1ASPD	1FEWX|2459VULN|345LIT|45BPWR|6ASPD|7RCVC|8RCR|aLWND
9	11515 33521	   	281.92	DCR|3LIT|4VULN|1ASPD	17FEWX|2459VULN|345LIT|45BPWR|6ASPD|8RCR|aCGEN
10	11515 33522	   	281.92	DCR|3LIT|4VULN|1ASPD	17FEWX|2459VULN|345LIT|45BPWR|6ASPD|8RCR|aLWND
11	21515 31521	   	281.92	DCR|3LIT|4VULN|1ASPD	1BEXP|2459VULN|345LIT|45BPWR|6ASPD|7RCVC|8RCR|aCGEN
12	21515 31522	   	281.92	DCR|3LIT|4VULN|1ASPD	1BEXP|2459VULN|345LIT|45BPWR|6ASPD|7RCVC|8RCR|aLWND
13	53653 22123	   	281.31	DCR|4VULN|1LIT|3DMG	1LHND|246DMG|356aVULN|6BPWR|7LIT|8RCR|9RMIN
14	21515 11163	   	280.12	DCR|3LIT|4VULN|1CDMG	1BEXP|245aVULN|345LIT|45BPWR|6DMSP|7LWND|8CDMG|9RCR
15	21515 15123	   	280.02	DCR|3LIT|4VULN|1CDMG	1BEXP|245aVULN|345LIT|45BPWR|6DMSP|7MBVNT|8CDMG|9RCR
16	11253 43262	 * 	278.58	DCR|3VULN|1LIT|2DMG|1MLV	1FEWX|246VULN|3RPLT|56DMG|6BPWR|7LHND|8RCR|9MLV|aLIT
17	51515 12311	   	278.21	DCR|3LIT|3VULN|1CDMG|1ASPD	1LHND|245VULN|345LIT|45BPWR|6AART|7RCR|8LWND|9CDMG|aASPD
18	51515 12211	   	278.11	DCR|3LIT|3VULN|1CDMG|1ASPD|1DUR	1LHND|245VULN|345LIT|45BPWR|6AART|7RCR|8DUR|9CDMG|aASPD
19	11663 11321	   	277.55	DCR|2LIT|3VULN|1MLV|1ASPD	17FEWX|27aVULN|3MLV|4LHND|5RPLT|67LIT|7BPWR|8RCR|9ASPD
20	21516 62332	   	277.45	DCR|2LIT|3VULN|1MLV|1CDMG	1BEXP|247VULN|34LIT|4BPWR|5RPLT|6MLV|8RCR|9CDMG|aRCVC
21	21516 62333	   	277.35	DCR|2LIT|3VULN|1MLV|1CDMG	1BEXP|247VULN|34LIT|4BPWR|5RPLT|6MLV|8RCR|9CDMG|aLSRHEA
22	21533 62334	   	277.35	DCR|2LIT|3VULN|1MLV|1CDMG	1BEXP|27aVULN|35LIT|4RPLT|6MLV|8RCR|9CDMG
23	11512 32422	   	277.18	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1FEWX|24VULN|34LIT|4BPWR|5LHND|6RPLT|7RCR|8ASPD|9DMG|aMLV
24	11513 36422	   	277.08	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1FEWX|24VULN|34LIT|4BPWR|5DUST|6RPLT|7RCR|8ASPD|9DMG|aMLV
