0	Index      	 *	Score 	Summary	Detail	
1	35316 11324	 * 	329.08	DCR|3LIT|3VULN|2DMG|1MLV	17aVULN|2MLV|3aZMB|456LIT|8RCR|9aDMG|aBPWR
2	32517 11415	 * 	310.49	DCR|3LIT|2MLV|3VULN	17aVULN|2MBVNT|356LIT|4RCVC|8RCR|9aMLV|aBPWR
3	32717 11415	   	310.49	DCR|3LIT|2MLV|3VULN	17aVULN|2MBVNT|3DMSP|456LIT|8RCR|9aMLV|aBPWR
4	32532 71132	 * 	309.42	DCR|3LIT|4VULN|3ASPD	179aVULN|2MBVNT|379LIT|4NUKE|579ASPD|6RCR|79BPWR|8AART
5	34111 32334	 * 	308.04	ACR|3LIT|4VULN|2MLV	127aVULN|3RCR|468LIT|5aMLV|9aLWND|aBPWR
6	34111 32354	   	308.04	ACR|3LIT|4VULN|2MLV	127aVULN|3RCR|468LIT|5aMLV|9aBEXP|aBPWR
7	34111 32364	   	308.04	ACR|3LIT|4VULN|2MLV	127aVULN|3RCR|468LIT|5aMLV|9aFEWX|aBPWR
8	34116 11314	   	308.04	ACR|3LIT|4VULN|2MLV	127aVULN|3RCR|456LIT|8aFEWX|9aMLV|aBPWR
9	34111 31316	   	307.74	ACR|3LIT|4VULN|2MLV	129aVULN|3RCR|467LIT|5aMLV|8aSNITOX|aBPWR
10	34111 32316	   	307.74	ACR|3LIT|4VULN|2MLV	127aVULN|3RCR|468LIT|5aMLV|9aMULARM|aBPWR
11	34116 11214	   	307.74	ACR|3LIT|4VULN|2MLV	127aVULN|3RCR|456LIT|8LEGI|9aMLV|aBPWR
12	32534 32882	 * 	302.41	DCR|2LIT|2MLV|2VULN|2DMG	19VULN|2MBVNT|38LIT|4NUKE|59MLV|6RCVC|79DMG|9BPWR|aRCR
13	32531 65324	   	302.26	DCR|2LIT|2MLV|2VULN|2DMG	18VULN|2MBVNT|38LIT|4NUKE|5ERES|69MLV|78DMG|8BPWR|aRCR
14	34211 52252	   	301.11	DCR|2LIT|3VULN|2DMG|1MLV|1SELL	12aVULN|3DUR|4aLIT|5MLV|6ERES|7aDMG|8RCR|9SELL|aBPWR
15	34111 32563	 * 	300.42	ACR|2LIT|3VULN|1FLTARM|1MLV|1DMG	127VULN|3RCR|46LIT|5MLV|8CANARM|9DMG|aFLTARM
16	35316 11326	   	299.51	DCR|3LIT|2VULN|1MLV|1DMG|1CDMG	17VULN|2MLV|3ZMB|456LIT|8RCR|9DMG|aCDMG
17	34111 32322	   	299.46	ACR|3LIT|2MLV|3VULN|1CDMG	127VULN|3RCR|468LIT|5aMLV|9CDMG
