0	Index      	 *	Score 	Summary	Detail	
1	42223 16118	 * 	313.36	DCR|2LIT|2MLV|2VULN|2DMG	1aVULN|24LIT|3aDMG|5CGEN|6RCR|7MBVNT|8LWND|9aMLV|aBPWR
2	42155 12211	 * 	309.82	DCR|3LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	13VULN|29aLIT|4DMG|5ASPD|6RCR|7CDMG|8MLV
3	42245 12211	   	309.82	DCR|3LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	14VULN|29aLIT|3DMG|5ASPD|6RCR|7CDMG|8MLV
4	42225 12361	   	309.82	DCR|3LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	18VULN|24aLIT|3DMG|5ASPD|6RCR|7CDMG|9MLV
5	42155 12212	 * 	304.98	DCR|2LIT|2VULN|1MLV|2ASPD|1DMG|1CDMG	13VULN|29LIT|4DMG|5aASPD|6RCR|7CDMG|8MLV
6	42245 12212	   	304.98	DCR|2LIT|2VULN|1MLV|2ASPD|1DMG|1CDMG	14VULN|29LIT|3DMG|5aASPD|6RCR|7CDMG|8MLV
7	42225 12362	   	304.98	DCR|2LIT|2VULN|1MLV|2ASPD|1DMG|1CDMG	18VULN|24LIT|3DMG|5aASPD|6RCR|7CDMG|9MLV
8	42153 12361	 * 	301.02	DCR|2LIT|3VULN|1MLV|1DMG|1CDMG	138VULN|2aLIT|4DMG|5CGEN|6RCR|7CDMG|9MLV
9	42243 12361	   	301.02	DCR|2LIT|3VULN|1MLV|1DMG|1CDMG	148VULN|2aLIT|3DMG|5CGEN|6RCR|7CDMG|9MLV
10	32335 13523	   	300.43	DCR|2LIT|2MLV|2VULN|1DMG|1ASPD	13LIT|2LHND|47MLV|5ASPD|6RCR|89VULN|aDMG
11	43212 46122	 * 	299.49	ACR|2LIT|2MLV|2VULN|2DMG|1CDMG	13VULN|2RCR|3BPWR|48LIT|56DMG|79MLV|aCDMG
12	32113 52212	   	299.21	DCR|2LIT|2MLV|2VULN|1DMG|1CDMG	16LIT|2LHND|3aVULN|48MLV|5DMG|7CDMG|9RCR
13	41613 52212	   	299.21	DCR|2LIT|2MLV|2VULN|1DMG|1CDMG	1aVULN|2LHND|36LIT|48MLV|5DMG|7CDMG|9RCR
14	42223 13523	   	296.47	DCR|2LIT|2VULN|2DMG|1MLV|1ASPD	19VULN|24LIT|3aDMG|5CGEN|6RCR|7MLV|8ASPD
15	42221 13523	   	296.37	DCR|2LIT|2VULN|2DMG|1MLV|1ASPD	19VULN|24LIT|3aDMG|5ERES|6RCR|7MLV|8ASPD
