0	Index      	 *	Score 	Summary	Detail	
1	16322 33235	 * 	294.46	ACR|2LIT|2VULN|2DMG|1MLV|1CDMG|1ASPD	1BEXP|2RCR|3ASPD|4aLIT|5aDMG|6ZMB|7aVULN|8CDMG|9MLV|aBPWR
2	16523 32235	 * 	288.81	ACR|2MLV|1LIT|2VULN|3DMG|1CDMG	1BEXP|2RCR|37aDMG|4LIT|5DUST|6aVULN|8CDMG|9aMLV|aBPWR
3	23336 11252	   	286.26	ACR|2MLV|1LIT|2VULN|3DMG|1CDMG	178DMG|2LWND|3RCR|4DMSP|57MLV|67VULN|7BPWR|9LIT|aCDMG
4	23346 11252	   	286.26	ACR|2MLV|1LIT|2VULN|3DMG|1CDMG	178DMG|2LWND|3RCR|4RCVC|57MLV|67VULN|7BPWR|9LIT|aCDMG
5	13323 32235	   	286.11	ACR|2MLV|1LIT|2VULN|3DMG|1CDMG	1BEXP|27aDMG|3RCR|4LIT|5DUST|6aVULN|8CDMG|9aMLV|aBPWR
6	13323 53235	   	286.11	ACR|2MLV|1LIT|2VULN|3DMG|1CDMG	1BEXP|26aDMG|3RCR|4LIT|5DUST|7aVULN|8CDMG|9aMLV|aBPWR
7	13353 32235	   	286.11	ACR|2MLV|1LIT|2VULN|3DMG|1CDMG	1BEXP|27aDMG|3RCR|4DUST|5LIT|6aVULN|8CDMG|9aMLV|aBPWR
8	13353 53235	   	286.11	ACR|2MLV|1LIT|2VULN|3DMG|1CDMG	1BEXP|26aDMG|3RCR|4DUST|5LIT|7aVULN|8CDMG|9aMLV|aBPWR
9	33422 38535	 * 	285.09	DCR|2LIT|2VULN|1MLV|1DMG|1NUKE|1DUR	1DUR|2MBVNT|3MLV|49LIT|5DMG|6RCR|78VULN|aNUKE
10	53322 11442	 * 	283.29	ACR|2LIT|2MLV|3VULN|1DMG	1aCGEN|26aVULN|3RCR|49LIT|5DMG|7MBVNT|8aMLV|aBPWR
11	33422 38737	 * 	282.32	DCR|3LIT|2VULN|1MLV|1DMG|1DUR	1DUR|2MBVNT|3MLV|489LIT|5DMG|6RCR|7aVULN
12	13252 15122	 * 	282.26	DCR|3LIT|2DMG|1VULN|1MLV|1ASPD	1BEXP|24DMG|345LIT|4BPWR|6VULN|7FEWX|8ASPD|9RCR|aMLV
13	13252 21122	   	282.26	DCR|3LIT|2DMG|1VULN|1MLV|1ASPD	1BEXP|24DMG|345LIT|4BPWR|6FEWX|7VULN|8ASPD|9RCR|aMLV
14	13252 31122	   	282.26	DCR|3LIT|2DMG|1VULN|1MLV|1ASPD	1BEXP|24DMG|345LIT|4BPWR|6LWND|7VULN|8ASPD|9RCR|aMLV
15	13252 41122	   	282.26	DCR|3LIT|2DMG|1VULN|1MLV|1ASPD	1BEXP|24DMG|345LIT|4BPWR|6LHND|7VULN|8ASPD|9RCR|aMLV
16	22255 25122	 * 	281.77	DCR|2LIT|2VULN|3DMG|1ASPD	13aDMG|2ZMB|4aVULN|5ASPD|67LIT|8aTLV|9RCR|aBPWR
17	33422 38534	   	281.28	DCR|2LIT|2VULN|1MLV|1DMG|1AART|1DUR	1DUR|2MBVNT|3MLV|49LIT|5DMG|6RCR|78VULN|aAART
18	53232 11442	   	280.59	ACR|2LIT|2MLV|3VULN|1DMG	1aCGEN|26aVULN|39LIT|4RCR|5DMG|7MBVNT|8aMLV|aBPWR
19	33422 38168	 * 	279.91	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG|1DUR	1DUR|2MBVNT|3MLV|4LIT|5DMG|6RCR|79VULN|8AART|aFLTARM
20	13256 24131	 * 	279.22	DCR|2LIT|2VULN|2DMG|1MLV|1DUR	1BEXP|24DMG|34LIT|4BPWR|5RPLT|6DUR|7aVULN|8RCR|9MLV
21	13252 12216	 * 	278.37	DCR|3LIT|2VULN|3DMG	1BEXP|248DMG|345LIT|4BPWR|6aVULN|7CGEN|9RCR
22	16536 31233	 * 	278.21	ACR|2MLV|3VULN|1LIT|2DMG	17BEXP|2RCR|38DMG|4DMSP|579VULN|67MLV|7BPWR|aLIT
23	53322 21442	 * 	276.46	ACR|2LIT|2MLV|2VULN|2DMG	1aCGEN|2aVULN|3RCR|49LIT|56DMG|7MBVNT|8aMLV|aBPWR
24	53322 61442	   	276.46	ACR|2LIT|2MLV|2VULN|2DMG	1aCGEN|2aVULN|3RCR|49LIT|57DMG|6MBVNT|8aMLV|aBPWR
25	13252 15126	   	276.37	DCR|3LIT|2VULN|2DMG|1ASPD	1BEXP|24DMG|345LIT|4BPWR|6aVULN|7FEWX|8ASPD|9RCR
26	13252 21126	   	276.37	DCR|3LIT|2VULN|2DMG|1ASPD	1BEXP|24DMG|345LIT|4BPWR|6FEWX|7aVULN|8ASPD|9RCR
27	13252 31126	   	276.37	DCR|3LIT|2VULN|2DMG|1ASPD	1BEXP|24DMG|345LIT|4BPWR|6LWND|7aVULN|8ASPD|9RCR
28	13252 41126	   	276.37	DCR|3LIT|2VULN|2DMG|1ASPD	1BEXP|24DMG|345LIT|4BPWR|6LHND|7aVULN|8ASPD|9RCR
29	25336 31253	   	276.20	ACR|2MLV|1LIT|2VULN|3DMG	178DMG|2FEWX|3RCR|4DMSP|57VULN|67MLV|7BPWR|9LIT|aZMB
30	26336 11253	   	276.20	ACR|2MLV|1LIT|2VULN|3DMG	178DMG|2LHND|3RCR|4DMSP|57MLV|67VULN|7BPWR|9LIT|aZMB
31	53322 15411	   	275.51	ACR|2MLV|3VULN|1LIT|2DMG	19CGEN|269VULN|3RCR|4LIT|5aDMG|79MLV|8RPLT|9BPWR
32	13336 31233	   	275.51	ACR|2MLV|3VULN|1LIT|2DMG	17BEXP|28DMG|3RCR|4DMSP|579VULN|67MLV|7BPWR|aLIT
33	13346 31233	   	275.51	ACR|2MLV|3VULN|1LIT|2DMG	17BEXP|28DMG|3RCR|4RCVC|579VULN|67MLV|7BPWR|aLIT
34	16325 11122	 * 	274.51	ACR|4VULN|1LIT|1MLV|1DMG|1ASPD	1BEXP|2RCR|3ASPD|4LIT|5MLV|689aVULN|7DMG
35	23325 15325	 * 	274.07	ACR|2LIT|2VULN|3DMG|1MLV	18aDMG|2aLWND|3RCR|49LIT|5MLV|6aVULN|7RPLT|aBPWR
36	23325 32325	   	274.07	ACR|2LIT|2VULN|3DMG|1MLV	18aDMG|2aLWND|3RCR|49LIT|5MLV|6RPLT|7aVULN|aBPWR
37	23326 32325	   	274.07	ACR|2LIT|2VULN|3DMG|1MLV	18aDMG|2aLWND|3RCR|49LIT|5RPLT|6MLV|7aVULN|aBPWR
38	25325 11612	   	274.07	ACR|2LIT|2VULN|3DMG|1MLV	17aDMG|29aFEWX|3RCR|48LIT|5MLV|6aVULN|aBPWR
39	43325 32325	   	274.07	ACR|2LIT|2VULN|3DMG|1MLV	1aLWND|28aDMG|3RCR|49LIT|5MLV|6RPLT|7aVULN|aBPWR
40	43326 32325	   	274.07	ACR|2LIT|2VULN|3DMG|1MLV	1aLWND|28aDMG|3RCR|49LIT|5RPLT|6MLV|7aVULN|aBPWR
41	53232 21442	   	273.76	ACR|2LIT|2MLV|2VULN|2DMG	1aCGEN|2aVULN|39LIT|4RCR|56DMG|7MBVNT|8aMLV|aBPWR
42	53232 61442	   	273.76	ACR|2LIT|2MLV|2VULN|2DMG	1aCGEN|2aVULN|39LIT|4RCR|57DMG|6MBVNT|8aMLV|aBPWR
43	21516 32426	   	273.76	ACR|2LIT|2MLV|2VULN|2DMG	1aDMG|2RPLT|39LIT|4RCR|5MBVNT|6aMLV|7aVULN|8RCVC|aBPWR
