0	Index      	 *	Score 	Summary	Detail	
1	52362 33236	 * 	280.33	DCR|2MLV|3VULN|1LIT|1DMG	179VULN|2BEXP|34MLV|5DMG|6BELT|8RCR|aLIT
2	52352 33236	 * 	280.06	DCR|4VULN|1LIT|1MLV|1DMG	1479VULN|2BEXP|3MLV|5DMG|6BELT|8RCR|aLIT
3	42153 12361	 * 	276.11	DCR|3LIT|2VULN|1MLV|1ASPD	1BEXP|2FEWX|379LIT|4ASPD|5aVULN|6RCR|8MLV
4	52114 12361	   	276.01	DCR|3LIT|2VULN|1MLV|1ASPD	1aVULN|2BEXP|379LIT|4DUST|5ASPD|6RCR|8MLV
5	53114 12361	   	275.91	DCR|3LIT|2VULN|1MLV|1ASPD|1DUR	1aVULN|2DUR|379LIT|4DUST|5ASPD|6RCR|8MLV
6	53153 12361	   	275.91	DCR|3LIT|2VULN|1MLV|1ASPD|1DUR	1aVULN|2DUR|379LIT|4ASPD|5DUST|6RCR|8MLV
7	52356 22331	 * 	273.48	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG	14VULN|2BEXP|3MLV|5RPLT|6CDMG|7DMG|8aLIT|9RCR
8	52352 13114	   	272.75	DCR|3VULN|1LIT|1MLV|1DMG|1CDMG	14aVULN|2BEXP|3MLV|5DMG|6CDMG|7LIT|8CGEN|9RCR
9	26621 63231	 * 	271.69	DCR|1LIT|2VULN|2DMG|1MLV|1ASPD	1BASARM|2ASPD|3RPLT|46VULN|59DMG|7RCR|8LIT|aMLV
10	42153 12363	 * 	269.97	DCR|3LIT|1VULN|1MLV|1DMG|1ASPD	1BEXP|2FEWX|379LIT|4ASPD|5VULN|6RCR|8MLV|aDMG
11	52114 12363	   	269.87	DCR|3LIT|1VULN|1MLV|1DMG|1ASPD	1VULN|2BEXP|379LIT|4DUST|5ASPD|6RCR|8MLV|aDMG
12	53114 12363	   	269.77	DCR|3LIT|1VULN|1MLV|1DMG|1ASPD|1DUR	1VULN|2DUR|379LIT|4DUST|5ASPD|6RCR|8MLV|aDMG
13	53153 12363	   	269.77	DCR|3LIT|1VULN|1MLV|1DMG|1ASPD|1DUR	1VULN|2DUR|379LIT|4ASPD|5DUST|6RCR|8MLV|aDMG
14	53332 32661	 * 	267.89	DCR|3MLV|1LIT|2VULN|1DMG|2ZMB|1DUR	19VULN|2DUR|349MLV|5DMG|6CGEN|79ZMB|8RCR|9BPWR|aLIT
15	52356 32331	   	267.07	DCR|2LIT|2VULN|1MLV|1CDMG|1ASPD	14VULN|2BEXP|3MLV|5RPLT|6ASPD|7CDMG|8aLIT|9RCR
16	53443 22321	   	266.27	DCR|3LIT|1VULN|1MLV|1DMG|1ASPD|1DUR	1VULN|2DUR|3LWND|47aLIT|5DMG|6MLV|8RCR|9ASPD
17	54223 52131	   	265.13	DCR|2LIT|2VULN|1MLV|1DMG	14VULN|29LIT|3DMG|5DUST|6RCR|7AART|8TLV|aMLV
18	54223 52331	   	265.13	DCR|2LIT|2VULN|1MLV|1DMG	14VULN|29LIT|3DMG|5DUST|6RCR|7AART|8RMIN|aMLV
19	42153 12326	 * 	265.13	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG	1BEXP|2FEWX|37LIT|49ASPD|5VULN|6RCR|8MLV|aDMG
20	53133 12366	   	265.03	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	19VULN|2DUR|37LIT|4LHND|5DMG|6RCR|8MULHEA|aMLV
21	52114 12326	   	265.03	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG	1VULN|2BEXP|37LIT|4DUST|59ASPD|6RCR|8MLV|aDMG
22	53113 12366	   	264.93	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	19VULN|2DUR|37LIT|4DUST|5DMG|6RCR|8MULHEA|aMLV
23	52362 13114	   	264.90	DCR|2MLV|1LIT|2VULN|1DMG|1CDMG	1aVULN|2BEXP|34MLV|5DMG|6CDMG|7LIT|8CGEN|9RCR
24	54222 21263	 * 	264.76	DCR|5VULN|1LIT|1DMG	1479aVULN|2LIT|3DMG|5SNITOX|6BEXP|8RCR
25	53332 13114	   	264.75	DCR|2MLV|1LIT|2VULN|1DMG|1CDMG|1DUR	1aVULN|2DUR|34MLV|5DMG|6CDMG|7LIT|8CGEN|9RCR
26	52113 46123	 * 	264.58	DCR|2LIT|2VULN|3DMG	19VULN|26BEXP|3aLIT|4DUST|568DMG|6BPWR|7RCR
27	53113 46123	 * 	264.38	DCR|2LIT|2VULN|3DMG|2DUR	19VULN|26DUR|3aLIT|4DUST|568DMG|6BPWR|7RCR
28	52134 12126	   	264.37	DCR|2LIT|2VULN|2DMG|1ASPD	19VULN|2BEXP|37LIT|4LHND|5ASPD|6RCR|8aDMG
29	52151 12126	   	264.37	DCR|2LIT|2VULN|2DMG|1ASPD	19VULN|2BEXP|37LIT|4ASPD|5LHND|6RCR|8aDMG
30	53134 12126	   	264.27	DCR|2LIT|2VULN|2DMG|1ASPD|1DUR	19VULN|2DUR|37LIT|4LHND|5ASPD|6RCR|8aDMG
31	53151 12126	   	264.27	DCR|2LIT|2VULN|2DMG|1ASPD|1DUR	19VULN|2DUR|37LIT|4ASPD|5LHND|6RCR|8aDMG
32	52352 13113	   	264.26	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	14VULN|2BEXP|3MLV|5DMG|6CDMG|7LIT|8CGEN|9RCR|aASPD
33	52356 22332	   	264.26	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	14VULN|2BEXP|3MLV|5RPLT|6CDMG|7DMG|8LIT|9RCR|aASPD
34	53355 33113	   	264.16	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD|1DUR	18VULN|2DUR|3MLV|4CDMG|5CGEN|6ASPD|7LIT|9RCR|aDMG
35	56352 13113	   	264.16	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD|1CDMG	14VULN|2DUST|3MLV|5DMG|6CDMG|7LIT|8CGEN|9RCR|aASPD
36	42153 12161	 * 	264.08	DCR|3LIT|2VULN|1DMG|1ASPD	1BEXP|2FEWX|379LIT|4ASPD|5aVULN|6RCR|8DMG
37	52134 12161	   	264.08	DCR|3LIT|2VULN|1DMG|1ASPD	1aVULN|2BEXP|379LIT|4LHND|5ASPD|6RCR|8DMG
38	52151 12161	   	264.08	DCR|3LIT|2VULN|1DMG|1ASPD	1aVULN|2BEXP|379LIT|4ASPD|5LHND|6RCR|8DMG
39	52114 12161	   	263.98	DCR|3LIT|2VULN|1DMG|1ASPD	1aVULN|2BEXP|379LIT|4DUST|5ASPD|6RCR|8DMG
40	53134 12161	   	263.98	DCR|3LIT|2VULN|1DMG|1ASPD|1DUR	1aVULN|2DUR|379LIT|4LHND|5ASPD|6RCR|8DMG
41	53151 12161	   	263.98	DCR|3LIT|2VULN|1DMG|1ASPD|1DUR	1aVULN|2DUR|379LIT|4ASPD|5LHND|6RCR|8DMG
42	54221 12482	 * 	263.93	ACR|2LIT|4VULN|2DMG	149aVULN|29LIT|39DMG|5RCR|6MBVNT|7AART|8RPLT|9BPWR
43	53114 12161	   	263.88	DCR|3LIT|2VULN|1DMG|1ASPD|1DUR	1aVULN|2DUR|379LIT|4DUST|5ASPD|6RCR|8DMG
44	53153 12161	   	263.88	DCR|3LIT|2VULN|1DMG|1ASPD|1DUR	1aVULN|2DUR|379LIT|4ASPD|5DUST|6RCR|8DMG
45	52352 33235	 * 	263.84	DCR|4VULN|2DMG|1MLV	1479VULN|2BEXP|3MLV|5aDMG|6BELT|8RCR
46	53334 13433	   	263.69	DCR|2MLV|3VULN|1LIT|1ASPD|1DUR	179VULN|2DUR|34MLV|5BELT|6ASPD|8RCR|aLIT
47	33362 33463	   	261.63	DCR|2LIT|2VULN|1MLV|1DMG	1TLV|2CGEN|34LIT|5LHND|6MLV|7DMG|8RCR|9aVULN
48	54225 23233	   	261.63	DCR|2LIT|2VULN|1MLV|1DMG	14VULN|2aLIT|3DMG|5BELT|6MLV|7BEXP|8RCR|9DMSP
49	54225 21233	   	261.53	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	14VULN|2aLIT|3DMG|5BELT|6MLV|7DUR|8RCR|9DMSP
