0	Index      	 *	Score 	Summary	Detail	
1	32221 41433	 * 	313.49	DCR|3LIT|2MLV|3VULN	12aLIT|3TLV|45aVULN|6aMLV|7RCR|8RPLT|9BELT|aBPWR
2	32221 43462	   	311.94	DCR|2LIT|2MLV|3VULN|1DMG	12LIT|3TLV|457VULN|68MLV|9RCR|aDMG
3	32121 41563	 * 	305.35	DCR|3LIT|2VULN|1FLTARM|1MLV	128LIT|3ZMB|45VULN|6MLV|7RCR|9TLV|aFLTARM
4	32521 24513	 * 	299.04	DCR|3LIT|2FLTARM|2VULN|1ASPD	128LIT|38VULN|4FEWX|5CGEN|6DLOT|78FLTARM|8BPWR|9RCR|aASPD
5	32532 24513	   	298.94	DCR|3LIT|2FLTARM|2VULN|1ASPD	128LIT|38VULN|4ERES|5LHND|6DLOT|78FLTARM|8BPWR|9RCR|aASPD
6	32533 24513	   	298.94	DCR|3LIT|2FLTARM|2VULN|1ASPD	128LIT|38VULN|4ERES|5AART|6FEWX|78FLTARM|8BPWR|9RCR|aASPD
7	32533 34513	   	298.84	DCR|3LIT|2FLTARM|2VULN|1ASPD	128LIT|38VULN|4ERES|5AART|6DUST|78FLTARM|8BPWR|9RCR|aASPD
8	31311 24514	 * 	298.56	DCR|3LIT|2FLTARM|1VULN|1MLV	148LIT|28LHND|3VULN|5CGEN|6DLOT|78FLTARM|8BPWR|9RCR|aMLV
9	32222 24514	   	298.56	DCR|3LIT|2FLTARM|1VULN|1MLV	128LIT|38TLV|4VULN|5LHND|6DLOT|78FLTARM|8BPWR|9RCR|aMLV
10	32311 24514	   	298.56	DCR|3LIT|2FLTARM|1VULN|1MLV	128LIT|38LHND|4VULN|5CGEN|6DLOT|78FLTARM|8BPWR|9RCR|aMLV
11	33311 24514	   	298.56	DCR|3LIT|2FLTARM|1VULN|1MLV	148LIT|28FEWX|3VULN|5CGEN|6DLOT|78FLTARM|8BPWR|9RCR|aMLV
12	32211 24514	   	298.46	DCR|3LIT|2FLTARM|1VULN|1MLV	128LIT|38TLV|4DUST|5VULN|6DLOT|78FLTARM|8BPWR|9RCR|aMLV
13	32121 41224	   	297.65	DCR|2LIT|2MLV|3VULN	12LIT|3ZMB|45aVULN|68MLV|7RCR|9CGEN
14	32121 41221	   	294.54	DCR|2LIT|2MLV|2VULN|1DMG	12LIT|3ZMB|45VULN|68MLV|7RCR|9CGEN|aDMG
15	32513 51223	   	292.70	DCR|2LIT|3VULN|1MLV|1CDMG|1ASPD	12LIT|346VULN|5DUST|7RCR|8MLV|9CDMG|aASPD
