0	Index      	 *	Score 	Summary	Detail	
1	12356 43132	 * 	330.39	DCR|3LIT|2FLTARM|1VULN|1MLV|1DMG|1ASPD	13FLTARM|238LIT|3BPWR|4TLV|5VULN|6RCR|7MLV|9ASPD|aDMG
2	12356 43113	 * 	330.07	DCR|3LIT|2FLTARM|2VULN|1MLV	13FLTARM|238LIT|3BPWR|4TLV|5aVULN|6RCR|7MLV|9DUST
3	13643 43122	 * 	324.22	DCR|2LIT|4VULN|1FLTARM|1MLV	1FLTARM|2CGEN|38LIT|459aVULN|6RCR|7MLV
4	13616 43122	 * 	323.98	DCR|2LIT|3VULN|2FLTARM|1MLV	14FLTARM|2CGEN|38LIT|59aVULN|6RCR|7MLV
5	12356 43322	   	311.60	DCR|2LIT|2FLTARM|2VULN|1MLV	13FLTARM|23LIT|3BPWR|4TLV|59VULN|6RCR|7MLV|8BEXP|aDUR
6	12356 43133	   	310.33	DCR|3LIT|2FLTARM|1VULN|1MLV|1ASPD	13FLTARM|238LIT|3BPWR|4TLV|5VULN|6RCR|7MLV|9ASPD|aCGEN
7	12356 43121	   	310.23	DCR|3LIT|2FLTARM|1VULN|1MLV|1ASPD	13FLTARM|238LIT|3BPWR|4TLV|5VULN|6RCR|7MLV|9ERES|aASPD
8	12356 43131	 * 	310.23	DCR|3LIT|2FLTARM|1VULN|1MLV|2ASPD	13FLTARM|238LIT|3BPWR|4TLV|5VULN|6RCR|7MLV|9aASPD
9	14212 33221	 * 	309.50	DCR|2MLV|3VULN|1LIT|1FLTARM|1CDMG	1FLTARM|237VULN|49MLV|5ZMB|6RCR|8CDMG|aLIT
10	12356 43333	   	305.46	DCR|2LIT|2FLTARM|1VULN|1MLV|1DMG	13FLTARM|23LIT|3BPWR|4TLV|5VULN|6RCR|7MLV|8BEXP|9DUR|aDMG
11	12256 43122	   	305.05	DCR|2LIT|3VULN|1FLTARM|1MLV	1FLTARM|28LIT|3DMSP|4TLV|59aVULN|6RCR|7MLV
12	13643 43121	   	304.95	DCR|2LIT|3VULN|1FLTARM|1MLV	1FLTARM|2CGEN|38LIT|459VULN|6RCR|7MLV|aBASICY
13	13643 43123	   	304.95	DCR|2LIT|3VULN|1FLTARM|1MLV	1FLTARM|2CGEN|38LIT|459VULN|6RCR|7MLV|aERES
14	14212 35126	 * 	304.80	DCR|2LIT|2MLV|2VULN|1FLTARM	1FLTARM|23VULN|48MLV|5ZMB|6RCR|7AART|9aLIT
15	14212 32126	   	304.70	DCR|2LIT|2MLV|2VULN|1FLTARM	1FLTARM|23VULN|48MLV|5ZMB|6RCR|7DLOT|9aLIT
16	12356 43112	   	303.86	DCR|3LIT|2FLTARM|1VULN|1MLV	13FLTARM|238LIT|3BPWR|4TLV|5VULN|6RCR|7MLV|9DUST|aBEXP
17	12351 43115	   	303.86	DCR|3LIT|2FLTARM|1VULN|1MLV	13FLTARM|238LIT|3BPWR|4TLV|5BEXP|6RCR|7MLV|9DUST|aVULN
18	12353 41433	   	303.86	DCR|3LIT|2FLTARM|1VULN|1MLV	13FLTARM|239LIT|3BPWR|4TLV|5DUST|6RCR|7FEWX|8MLV|aVULN
19	12353 43335	   	303.86	DCR|3LIT|2FLTARM|1VULN|1MLV	13FLTARM|239LIT|3BPWR|4TLV|5DUST|6RCR|7MLV|8BEXP|aVULN
