0	Index      	 *	Score 	Summary	Detail	
1	42211 22163	 * 	324.22	DCR|3LIT|2VULN|3DMG|1MLV|1ASPD	1RCVC|245DMG|345LIT|45BPWR|6MLV|7aVULN|8ASPD|9RCR
2	64241 11113	 * 	313.58	DCR|2LIT|2MLV|2VULN|1FLTARM|1DMG	179DUST|27MLV|35VULN|4DMG|67LIT|7BPWR|8FLTARM|aRCR
3	34241 11242	 * 	312.24	DCR|2LIT|2MLV|3VULN|1DMG	17LHND|27MLV|358VULN|4DMG|67LIT|7BPWR|9RCR|aDMSP
4	34241 11241	   	312.09	DCR|2LIT|2MLV|3VULN|1DMG	17LHND|27MLV|358VULN|4DMG|67LIT|7BPWR|9RCR|aERES
5	34241 11243	   	312.09	DCR|2LIT|2MLV|3VULN|1DMG	17LHND|27MLV|358VULN|4DMG|67LIT|7BPWR|9RCR|aDUST
6	14241 11243	   	311.94	DCR|2LIT|2MLV|3VULN|1DMG|2DUR	17DUR|27MLV|358VULN|4DMG|67LIT|7BPWR|9RCR|aBEXP
7	14241 11241	   	311.79	DCR|2LIT|2MLV|3VULN|1DMG|2DUR	17DUR|27MLV|358VULN|4DMG|67LIT|7BPWR|9RCR|aERES
8	14241 11242	   	311.79	DCR|2LIT|2MLV|3VULN|1DMG|2DUR	17DUR|27MLV|358VULN|4DMG|67LIT|7BPWR|9RCR|aLEGI
9	34243 11242	 * 	305.41	DCR|2LIT|2MLV|2VULN|2DMG	17LHND|27MLV|38VULN|45DMG|67LIT|7BPWR|9RCR|aDMSP
10	34243 11241	   	305.26	DCR|2LIT|2MLV|2VULN|2DMG	17LHND|27MLV|38VULN|45DMG|67LIT|7BPWR|9RCR|aERES
11	34243 11243	   	305.26	DCR|2LIT|2MLV|2VULN|2DMG	17LHND|27MLV|38VULN|45DMG|67LIT|7BPWR|9RCR|aDUST
12	42261 21243	   	305.26	DCR|2LIT|2MLV|2VULN|2DMG	1RCVC|27DMG|37LIT|4DUST|58VULN|67MLV|7BPWR|9RCR|aBEXP
13	14243 11243	   	305.11	DCR|2LIT|2MLV|2VULN|2DMG|2DUR	17DUR|27MLV|38VULN|45DMG|67LIT|7BPWR|9RCR|aBEXP
14	42261 21241	   	305.11	DCR|2LIT|2MLV|2VULN|2DMG	1RCVC|27DMG|37LIT|4DUST|58VULN|67MLV|7BPWR|9RCR|aERES
15	42261 21242	   	305.11	DCR|2LIT|2MLV|2VULN|2DMG	1RCVC|27DMG|37LIT|4DUST|58VULN|67MLV|7BPWR|9RCR|aLEGI
16	14243 11241	   	304.96	DCR|2LIT|2MLV|2VULN|2DMG|2DUR	17DUR|27MLV|38VULN|45DMG|67LIT|7BPWR|9RCR|aERES
17	14243 11242	   	304.96	DCR|2LIT|2MLV|2VULN|2DMG|2DUR	17DUR|27MLV|38VULN|45DMG|67LIT|7BPWR|9RCR|aLEGI
18	42241 21242	 * 	304.16	DCR|2MLV|3VULN|1LIT|2DMG	1RCVC|27DMG|3LIT|4LEGI|578VULN|67MLV|7BPWR|9RCR|aDMSP
19	42241 21241	   	304.01	DCR|2MLV|3VULN|1LIT|2DMG	1RCVC|27DMG|3LIT|4LEGI|578VULN|67MLV|7BPWR|9RCR|aERES
20	42241 21243	   	304.01	DCR|2MLV|3VULN|1LIT|2DMG	1RCVC|27DMG|3LIT|4LEGI|578VULN|67MLV|7BPWR|9RCR|aDUST
21	64243 11113	 * 	300.66	DCR|2LIT|2MLV|1FLTARM|2DMG|1VULN	179DUST|27MLV|3VULN|45DMG|67LIT|7BPWR|8FLTARM|aRCR
22	42211 22161	   	298.01	DCR|3LIT|3DMG|1VULN|1MLV|1ASPD	1RCVC|245DMG|345LIT|45BPWR|6MLV|7VULN|8ASPD|9RCR|aTLV
23	42211 22162	   	298.01	DCR|3LIT|3DMG|1VULN|1MLV|1ASPD	1RCVC|245DMG|345LIT|45BPWR|6MLV|7VULN|8ASPD|9RCR|aBEXP
24	42211 22164	   	298.01	DCR|3LIT|3DMG|1VULN|1MLV|1ASPD	1RCVC|245DMG|345LIT|45BPWR|6MLV|7VULN|8ASPD|9RCR|aLWND
25	42211 22165	   	298.01	DCR|3LIT|3DMG|1VULN|1MLV|1ASPD	1RCVC|245DMG|345LIT|45BPWR|6MLV|7VULN|8ASPD|9RCR|aFEWX
26	42211 25161	   	298.01	DCR|3LIT|3DMG|1VULN|1MLV|1ASPD	1RCVC|245DMG|345LIT|45BPWR|6MLV|7LHND|8ASPD|9RCR|aVULN
27	42211 26161	   	298.01	DCR|3LIT|3DMG|1VULN|1MLV|1ASPD	1RCVC|245DMG|345LIT|45BPWR|6MLV|7FEWX|8ASPD|9RCR|aVULN
28	42211 24161	   	297.91	DCR|3LIT|3DMG|1VULN|1MLV|1ASPD	1RCVC|245DMG|345LIT|45BPWR|6MLV|7DUR|8ASPD|9RCR|aVULN
