0	Index      	 *	Score 	Summary	Detail	
1	13621 36342	 * 	204.98	DCR|3DMG|2VULN|1AART|2FLTHEA|1CDMG	1CGEN|24VULN|34FLTHEA|4BPWR|578DMG|6AART|9CDMG|aRCR
2	13621 36331	   	202.33	DCR|3DMG|2VULN|1AART|2FLTHEA|1ZMB	1CGEN|24VULN|34FLTHEA|4BPWR|578DMG|6AART|9ZMB|aRCR
3	63621 36331	   	202.33	DCR|3DMG|2VULN|1AART|2FLTHEA|1ZMB	1MLV|24VULN|34FLTHEA|4BPWR|578DMG|6AART|9ZMB|aRCR
4	13651 36331	   	195.92	DCR|3DMG|2VULN|1AART|1FLTHEA|1ZMB	1CGEN|24VULN|3FLTHEA|578DMG|6AART|9ZMB|aRCR
5	13621 36311	   	191.23	DCR|3DMG|2VULN|1AART|2FLTHEA	1CGEN|24VULN|34FLTHEA|4BPWR|578DMG|6AART|9ERES|aRCR
6	13621 36351	   	191.23	DCR|3DMG|2VULN|1AART|2FLTHEA	1CGEN|24VULN|34FLTHEA|4BPWR|578DMG|6AART|9TLV|aRCR
7	63621 36311	   	191.23	DCR|3DMG|2VULN|1AART|2FLTHEA	1MLV|24VULN|34FLTHEA|4BPWR|578DMG|6AART|9ERES|aRCR
8	43235 26223	 * 	190.32	DCR|3DMG|2VULN|1AART|2ZMB	16ZMB|2aVULN|3AART|4LSRREG|567DMG|6BPWR|8RMIN|9RCR
9	42221 63631	 * 	189.39	ACR|3DMG|3ZMB|1AART|1VULN	189ZMB|2NUKE|3VULN|4RCR|589CGEN|689DMG|7AART|89BPWR|aRMIN
10	42221 63632	   	189.39	ACR|3DMG|3ZMB|1AART|1VULN	189ZMB|2NUKE|3VULN|4RCR|589CGEN|689DMG|7AART|89BPWR|aLWND
11	42221 63633	   	189.39	ACR|3DMG|3ZMB|1AART|1VULN	189ZMB|2NUKE|3VULN|4RCR|589CGEN|689DMG|7AART|89BPWR|aMLV
12	43322 23635	 * 	188.83	DCR|3VULN|2DMG|1AART|2ZMB	18ZMB|247VULN|38LWND|58DMG|6RCVC|8BPWR|9RCR|aAART
13	43235 21311	   	187.82	DCR|3DMG|2VULN|1AART|2ZMB	16ZMB|27VULN|3AART|4LSRREG|568DMG|6BPWR|9ERES|aRCR
14	43235 21351	   	187.82	DCR|3DMG|2VULN|1AART|2ZMB	16ZMB|27VULN|3AART|4LSRREG|568DMG|6BPWR|9TLV|aRCR
15	26523 12132	 * 	187.10	ACR|3VULN|2AART|2CDMG|2ZMB	18RMIN|2aZMB|35aVULN|4RCR|6aCDMG|79AART|aBPWR
16	13235 16342	   	186.72	DCR|3DMG|2VULN|1AART|1CDMG	14CGEN|24VULN|3AART|4BPWR|5AIRHEL|678DMG|9CDMG|aRCR
17	26523 12331	 * 	185.35	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1RMIN|2ZMB|35aVULN|4RCR|6CDMG|7AART|8CGEN|9DMG
18	26523 12231	   	185.25	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1RMIN|2ZMB|35aVULN|4RCR|6CDMG|7AART|8TLV|9DMG
19	42223 12131	   	185.25	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2NUKE|35aVULN|4RCR|6CDMG|7AART|8RMIN|9DMG
20	42223 12231	   	185.25	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2NUKE|35aVULN|4RCR|6CDMG|7AART|8CGEN|9DMG
21	13651 36311	   	184.82	DCR|3DMG|2VULN|1AART|1FLTHEA	1CGEN|24VULN|3FLTHEA|578DMG|6AART|9ERES|aRCR
22	26523 11131	   	184.65	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1RMIN|2ZMB|35aVULN|4RCR|6CDMG|7ERES|8AART|9DMG
