0	Index      	 *	Score 	Summary	Detail	
1	24423 11241	 * 	191.74	ACR|3DMG|2VULN|1AART|1CDMG	16DUST|247DMG|3AART|5RCR|89VULN|aCDMG
2	24412 41213	 * 	190.75	ACR|4VULN|1AART|1DMG|1CDMG	1DUST|2DMG|3AART|4RCR|5LWND|6CDMG|789aVULN
3	24415 21213	   	190.75	ACR|4VULN|1AART|1DMG|1CDMG	1DUST|2DMG|3AART|4RCR|5CDMG|6LWND|789aVULN
4	13622 14412	   	185.95	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB	1LIT|2AART|3VULN|4CDMG|5RCR|6LHND|789DMG|aZMB
5	46223 33152	 * 	184.40	ACR|3VULN|3DMG|1ZMB|1SELL	1SELL|2RCR|345DMG|6LSRREG|7ZMB|89aVULN
6	46222 13511	 * 	183.82	ACR|3DMG|2VULN|2ASPD|2DUR|1SELL	1SELL|2RCR|348DMG|5BEXP|68DUR|78ASPD|8BPWR|9aVULN
7	13622 14411	   	181.89	ACR|3DMG|1AART|1VULN|1CDMG|1DUR	1LIT|2AART|3VULN|4CDMG|5RCR|6LHND|789DMG|aDUR
8	21436 61213	   	181.83	ACR|4VULN|1AART|1CDMG|1DUR	1DUST|2RCR|3MLV|4AART|5DUR|6CDMG|789aVULN
9	46223 62321	   	181.04	ACR|3DMG|2VULN|1AART|1SELL	1SELL|2RCR|345DMG|6FEWX|79VULN|8RPLT|aAART
10	13612 45223	 * 	180.81	DCR|3VULN|2DMG|1AART|1DUR	158LIT|2AART|389VULN|4DUR|6BEXP|78DMG|8BPWR|aRCR
11	13612 55223	   	180.81	DCR|3VULN|2DMG|1AART|1DUR	158LIT|2AART|389VULN|4DUR|6FEWX|78DMG|8BPWR|aRCR
12	24413 12633	   	180.59	ACR|3DMG|2VULN|1AART	156DUST|258DMG|3AART|4RCR|5aBPWR|7aFEWX|9aVULN
