0	Index      	 *	Score 	Summary	Detail	
1	22211 43251	 * 	192.39	DCR|2VULN|2DMG|1AART|2DUR|1ZMB|1ASPD	1RCVC|29DMG|3BEXP|49DUR|5ZMB|6ASPD|79VULN|8RCR|9BPWR|aAART
2	34341 23253	 * 	190.83	DCR|5VULN|3ZMB|1AART	178DUST|25678VULN|3AART|478ZMB|78BPWR|9LHND|aRCR
3	34341 23263	   	190.83	DCR|5VULN|3ZMB|1AART	178DUST|25678VULN|3AART|478ZMB|78BPWR|9LWND|aRCR
4	34341 53212	   	190.83	DCR|5VULN|3ZMB|1AART	178DUST|25789VULN|3AART|478ZMB|6DMSP|78BPWR|aRCR
5	44134 43411	 * 	189.82	DCR|3VULN|2DMG|1AART|1CDMG	137LWND|279VULN|47DMG|5MBVNT|6AART|7BPWR|8RCR|aCDMG
6	44134 43123	 * 	189.42	DCR|3VULN|3DMG|1AART	137LWND|27aVULN|47aDMG|5MBVNT|6AART|7aBPWR|8aERES|9RCR
7	21143 13416	 * 	184.46	ACR|2VULN|2DMG|1AART|2ASPD|2RCVC	12RCVC|37VULN|4RCR|57ASPD|6AART|7BPWR|8aDMG|9LHND
8	21143 13436	   	184.46	ACR|2VULN|2DMG|1AART|2ASPD|2RCVC	12RCVC|37VULN|4RCR|57ASPD|6AART|7BPWR|8aDMG|9LWND
9	21143 13216	 * 	184.33	ACR|4VULN|1AART|3ASPD|3RCVC	129RCVC|378aVULN|4RCR|578ASPD|6AART|78BPWR
10	22323 43251	 * 	184.01	DCR|2VULN|2DMG|1AART|2ZMB|1ASPD	1RCVC|29DMG|3LHND|49ZMB|5ASPD|6BEXP|79VULN|8RCR|9BPWR|aAART
11	21143 13211	 * 	183.88	ACR|3VULN|1AART|3ASPD|1CDMG|3RCVC	129RCVC|378VULN|4RCR|578ASPD|6AART|78BPWR|aCDMG
12	54311 26231	 * 	183.23	DCR|4VULN|1AART|1DMG|1CDMG	1BEXP|2679VULN|3AART|4LWND|5DMG|8CDMG|aRCR
13	44134 43414	   	183.11	DCR|3VULN|2DMG|1AART|1ASPD	137LWND|279VULN|47DMG|5MBVNT|6AART|7BPWR|8RCR|aASPD
14	34331 23451	 * 	183.03	DCR|4VULN|1AART|1DMG|2ASPD	17DUST|2567VULN|3AART|47ASPD|7BPWR|8DMG|9NUKE|aRCR
15	34331 23461	   	183.03	DCR|4VULN|1AART|1DMG|2ASPD	17DUST|2567VULN|3AART|47ASPD|7BPWR|8DMG|9ERES|aRCR
