0	Index      	 *	Score 	Summary	Detail	
1	25323 62483	 * 	177.12	DCR|3VULN|3DMG|2ASPD|1SELL	1RMIN|2MBVNT|38aDMG|48ASPD|568VULN|7SELL|8BPWR|9RCR
2	25251 38342	 * 	172.65	DCR|2VULN|2DMG|1AART|1DUR	1RMIN|2MBVNT|3DUR|48VULN|5AART|6RCR|7LHND|9aDMG
3	25251 33342	   	172.55	DCR|2VULN|2DMG|1AART|1DUR	1RMIN|2MBVNT|3DUR|48VULN|5AART|6RCR|7LEGI|9aDMG
4	25251 34342	   	172.55	DCR|2VULN|2DMG|1AART|1DUR	1RMIN|2MBVNT|3DUR|48VULN|5AART|6RCR|7DUST|9aDMG
5	25253 11163	 * 	172.14	DCR|3VULN|2DMG|2DUR|1ASPD	1RMIN|2MBVNT|39DUR|49aVULN|5BEXP|6ASPD|7RCR|89DMG|9BPWR
6	25252 11163	   	172.04	DCR|3VULN|2DMG|2DUR|1ASPD	1RMIN|2MBVNT|39DUR|49aVULN|5DUST|6ASPD|7RCR|89DMG|9BPWR
7	62151 31335	 * 	171.96	DCR|3VULN|3DMG|1ASPD	1ERES|2RCVC|357DMG|458VULN|5BPWR|6LWND|9ASPD|aRCR
8	23335 63212	 * 	171.95	ACR|2DMG|1AART|1VULN|2CDMG|1DUR	1RMIN|2aTLV|3AART|4LHND|5RCR|6aCDMG|7DUR|8VULN|9aDMG|aBPWR
9	23336 22532	 * 	171.53	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	1RMIN|2aTLV|3AART|4LHND|5aCDMG|6DUR|7DMG|8RCR|9aVULN|aBPWR
10	25425 74342	   	171.45	DCR|2VULN|2DMG|1AART|1DUR	1RMIN|2MBVNT|3AART|4LHND|58VULN|6DUR|7RCR|9aDMG
11	33142 61153	   	170.81	DCR|3VULN|2DMG|1ZMB|1DUR	19BEXP|2NUKE|3DUR|49aVULN|5DUST|6ZMB|7RCR|89DMG|9BPWR
12	25251 33371	 * 	170.62	DCR|3VULN|1AART|1DMG|1DUR	1RMIN|2MBVNT|3DUR|489VULN|5AART|6RCR|7LEGI|aDMG
13	25251 34371	   	170.62	DCR|3VULN|1AART|1DMG|1DUR	1RMIN|2MBVNT|3DUR|489VULN|5AART|6RCR|7DUST|aDMG
14	16116 23324	 * 	170.26	DCR|3VULN|2AART|1CDMG|1ASPD	1LHND|2ASPD|3RCVC|49AART|5CDMG|678VULN|aRCR
15	25251 14342	   	170.25	DCR|2VULN|2DMG|1AART|1DUR	1RMIN|2MBVNT|3DUR|48VULN|5AART|6LWND|7RCR|9aDMG
16	25251 24342	   	170.25	DCR|2VULN|2DMG|1AART|1DUR	1RMIN|2MBVNT|3DUR|48VULN|5AART|6LHND|7RCR|9aDMG
17	53335 34231	 * 	170.04	ACR|2VULN|2DMG|1AART|1ZMB	1DMSP|2MLV|3ZMB|47DMG|5RCR|6BELT|8aVULN|9AART
18	25323 28463	 * 	169.66	DCR|2VULN|2DMG|3CDMG|2ASPD	1RMIN|2MBVNT|38DMG|46ASPD|58VULN|789CDMG|8BPWR|aRCR
19	16642 31133	 * 	169.13	DCR|4VULN|1DMG|2ASPD|1ZMB	1LHND|2aASPD|3478VULN|5DMG|6ZMB|9RCR
20	25251 38344	   	168.71	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RMIN|2MBVNT|3DUR|48VULN|5AART|6RCR|7LHND|9DMG|aCDMG
