0	Index      	 *	Score 	Summary	Detail	
1	25352 22141	 * 	210.65	ACR|4VULN|2DMG|1AART|2CDMG	1579VULN|27CDMG|37DMG|4RCR|6RCVC|7BPWR|8ERES|aAART
2	25352 22341	 * 	210.23	ACR|3VULN|2DMG|3CDMG|1AART|1DUR	157VULN|27aCDMG|37DMG|4RCR|6RCVC|7BPWR|8DUR|9AART
3	25352 22326	 * 	207.04	ACR|3VULN|3DMG|2CDMG|1ZMB|1DUR	157VULN|27CDMG|37aDMG|4RCR|6RCVC|7BPWR|8DUR|9ZMB
4	25352 22324	   	205.49	ACR|4VULN|2DMG|2CDMG|1ZMB|1DUR	157aVULN|27CDMG|37DMG|4RCR|6RCVC|7BPWR|8DUR|9ZMB
5	25352 22342	   	204.19	ACR|3VULN|2DMG|1AART|2CDMG|1DUR	157VULN|27CDMG|37DMG|4RCR|6aRCVC|7BPWR|8DUR|9AART
6	25352 22343	   	204.19	ACR|3VULN|2DMG|1AART|2CDMG|1DUR	157VULN|27CDMG|37DMG|4RCR|6RCVC|7BPWR|8DUR|9AART|aBEXP
7	25352 22335	   	203.49	ACR|3VULN|2DMG|1AART|2CDMG|1DUR	157VULN|27CDMG|37DMG|4RCR|6RCVC|7BPWR|8DUR|9LEGI|aAART
8	25352 22241	   	203.29	ACR|3VULN|2DMG|3CDMG|1AART	157VULN|27aCDMG|37DMG|4RCR|6RCVC|7BPWR|8BEXP|9AART
9	25352 14321	   	201.14	ACR|3VULN|2DMG|1AART|1CDMG|1ZMB	158VULN|2CDMG|37DMG|4RCR|6LHND|9ZMB|aAART
10	25352 22311	 * 	200.53	ACR|4VULN|2DMG|3CDMG|1DUR	157aVULN|279CDMG|37DMG|4RCR|6RCVC|7BPWR|8DUR
11	21355 51331	 * 	200.15	ACR|3VULN|2AART|1DMG|2ZMB|2ASPD	18aVULN|28ASPD|3LIT|49AART|5RCR|6DMG|78ZMB|8BPWR
12	25352 22226	   	200.10	ACR|3VULN|3DMG|2CDMG|1ZMB	157VULN|27CDMG|37aDMG|4RCR|6RCVC|7BPWR|8BEXP|9ZMB
13	25352 22224	   	198.55	ACR|4VULN|2DMG|2CDMG|1ZMB	157aVULN|27CDMG|37DMG|4RCR|6RCVC|7BPWR|8BEXP|9ZMB
14	25352 22242	   	197.25	ACR|3VULN|2DMG|1AART|2CDMG	157VULN|27CDMG|37DMG|4RCR|6aRCVC|7BPWR|8BEXP|9AART
15	25352 22243	   	197.25	ACR|3VULN|2DMG|1AART|2CDMG	157VULN|27CDMG|37DMG|4RCR|6RCVC|7BPWR|8aBEXP|9AART
16	25352 22235	   	196.55	ACR|3VULN|2DMG|1AART|2CDMG	157VULN|27CDMG|37DMG|4RCR|6RCVC|7BPWR|8BEXP|9LEGI|aAART
17	25352 22116	   	195.94	ACR|3VULN|3DMG|2CDMG|1DUR	157VULN|27CDMG|37aDMG|4RCR|6RCVC|7BPWR|8ERES|9DUR
18	25362 23326	 * 	194.94	DCR|4VULN|1AART|1DMG|2CDMG	158aVULN|24CDMG|3DMG|6AART|7RCR|9CGEN
19	25362 23316	   	194.84	DCR|4VULN|1AART|2CDMG|1DMG	158aVULN|24CDMG|3DMG|6AART|7RCR|9ERES
20	25362 23344	   	194.84	DCR|4VULN|1AART|1DMG|2CDMG	158aVULN|24CDMG|3DMG|6AART|7RCR|9MBVNT
21	25352 22114	   	194.39	ACR|4VULN|2DMG|2CDMG|1DUR	157aVULN|27CDMG|37DMG|4RCR|6RCVC|7BPWR|8ERES|9DUR
22	25362 23211	 * 	193.82	DCR|3VULN|3CDMG|1AART|1DMG|1DUR	159VULN|24aCDMG|3DMG|6AART|7RCR|8DUR
23	25352 22211	   	193.59	ACR|4VULN|2DMG|3CDMG	157aVULN|279CDMG|37DMG|4RCR|6RCVC|7BPWR|8BEXP
24	25352 22511	   	193.59	ACR|4VULN|2DMG|3CDMG	157aVULN|279CDMG|37DMG|4RCR|6RCVC|7BPWR|8FEWX
25	25352 35222	   	193.37	ACR|4VULN|2DMG|1CDMG|2DUR	158aVULN|2CDMG|3aDMG|4RCR|6FEWX|7ERES|9aDUR|aBPWR
26	22632 23533	 * 	191.62	DCR|3VULN|2DMG|3CDMG|2ZMB	15aVULN|2aZMB|3CGEN|456CDMG|5aBPWR|7FEWX|8RCR|9aDMG
27	21355 51333	   	191.44	ACR|2AART|2VULN|1DMG|2ZMB|2ASPD|1DUR	18VULN|28ASPD|3LIT|49AART|5RCR|6DMG|78ZMB|8BPWR|aDUR
28	25352 22321	   	191.39	ACR|3VULN|2DMG|2CDMG|1ZMB|1DUR	157VULN|27CDMG|37DMG|4RCR|6RCVC|7BPWR|8DUR|9ZMB|aDMSP
29	25352 22323	   	191.39	ACR|3VULN|2DMG|2CDMG|1ZMB|1DUR	157VULN|27CDMG|37DMG|4RCR|6RCVC|7BPWR|8DUR|9ZMB|aLWND
30	25352 22322	   	191.29	ACR|3VULN|2DMG|2CDMG|1ZMB|1DUR	157VULN|27CDMG|37DMG|4RCR|6RCVC|7BPWR|8DUR|9ZMB|aDUST
31	25352 22325	   	191.29	ACR|3VULN|2DMG|2CDMG|1ZMB|1DUR	157VULN|27CDMG|37DMG|4RCR|6RCVC|7BPWR|8DUR|9ZMB|aMBVNT
32	62124 23363	 * 	190.24	ACR|3VULN|3DMG|1AART	128ERES|38aVULN|4LWND|5RCR|6aTLV|78aDMG|8aBPWR|9AART
33	25352 11161	   	189.87	ACR|3VULN|1AART|2CDMG|1DMG|1ZMB	159VULN|27CDMG|3DMG|4RCR|6LHND|8ZMB|aAART
34	25352 11321	   	189.87	ACR|3VULN|1AART|2CDMG|1DMG|1ZMB	158VULN|27CDMG|3DMG|4RCR|6LHND|9ZMB|aAART
35	25352 22126	   	189.00	ACR|3VULN|3DMG|2CDMG	157VULN|27CDMG|37aDMG|4RCR|6RCVC|7BPWR|8ERES|9FEWX
36	25352 22136	   	189.00	ACR|3VULN|3DMG|2CDMG	157VULN|27CDMG|37aDMG|4RCR|6RCVC|7BPWR|8ERES|9BEXP
37	21355 51311	   	188.70	ACR|3VULN|1AART|1DMG|2ZMB|2ASPD	18aVULN|28ASPD|3LIT|4AART|5RCR|6DMG|78ZMB|8BPWR|9RCVC
38	25316 22531	   	187.80	DCR|3VULN|2DMG|1CDMG|1FLTHEA|2DUR	17aVULN|2CDMG|37DMG|47DUR|56RCVC|7BPWR|8FLTHEA|9RCR
39	25362 23212	   	187.78	DCR|3VULN|1AART|1DMG|2CDMG|1DUR	159VULN|24CDMG|3DMG|6AART|7RCR|8DUR|aRCVC
40	25362 23213	   	187.78	DCR|3VULN|1AART|1DMG|2CDMG|1DUR	159VULN|24CDMG|3DMG|6AART|7RCR|8DUR|aBEXP
41	25362 23215	   	187.78	DCR|3VULN|1AART|1DMG|2CDMG|1DUR	159VULN|24CDMG|3DMG|6AART|7RCR|8DUR|aFEWX
42	25362 23216	   	187.78	DCR|3VULN|1AART|1DMG|2CDMG|1DUR	159VULN|24CDMG|3DMG|6AART|7RCR|8DUR|aLWND
43	25662 23211	   	187.78	DCR|3VULN|1AART|1DMG|2CDMG|1DUR	159VULN|2aCDMG|3RCVC|4DMG|6AART|7RCR|8DUR
44	25352 22124	   	187.45	ACR|4VULN|2DMG|2CDMG	157aVULN|27CDMG|37DMG|4RCR|6RCVC|7BPWR|8ERES|9FEWX
45	25352 22134	   	187.45	ACR|4VULN|2DMG|2CDMG	157aVULN|27CDMG|37DMG|4RCR|6RCVC|7BPWR|8ERES|9BEXP
46	25352 22142	   	187.45	ACR|4VULN|2DMG|2CDMG	1579VULN|27CDMG|37DMG|4RCR|6RCVC|7BPWR|8ERES|aBEXP
47	25352 22143	   	187.45	ACR|4VULN|2DMG|2CDMG	1579VULN|27CDMG|37DMG|4RCR|6RCVC|7BPWR|8ERES|aLIT
48	25352 22333	   	187.22	ACR|3VULN|2DMG|2CDMG|1ASPD|1DUR	157VULN|27CDMG|37DMG|4RCR|6RCVC|7BPWR|8DUR|9LEGI|aASPD
49	25352 22353	   	187.22	ACR|3VULN|2DMG|2CDMG|1DUR|1ASPD	157VULN|27CDMG|37DMG|4RCR|6RCVC|7BPWR|8DUR|9DUST|aASPD
50	25362 23111	   	186.88	DCR|3VULN|3CDMG|1AART|1DMG	159VULN|24aCDMG|3DMG|6AART|7RCR|8LWND
51	25362 23341	   	186.78	DCR|3VULN|3CDMG|1AART|1DMG	158VULN|24aCDMG|3DMG|6AART|7RCR|9MBVNT
52	25362 23351	   	186.78	DCR|3VULN|3CDMG|1AART|1DMG	158VULN|24aCDMG|3DMG|6AART|7RCR|9DUST
53	23163 12222	   	186.52	ACR|3VULN|2DMG|1AART|2DUR	179VULN|29LIT|36DUR|4BEXP|5RCR|89DMG|9BPWR|aAART
54	23163 16423	   	186.52	ACR|3DMG|2VULN|1AART|2DUR	19VULN|29LIT|36DUR|4BEXP|5RCR|789DMG|9BPWR|aAART
55	25352 22312	   	186.43	ACR|3VULN|2DMG|3CDMG|1DUR	157VULN|279CDMG|37DMG|4RCR|6RCVC|7BPWR|8DUR|aCGEN
56	25352 22315	   	186.43	ACR|3VULN|2DMG|3CDMG|1DUR	157VULN|279CDMG|37DMG|4RCR|6RCVC|7BPWR|8DUR|aLIT
57	26133 22222	   	186.42	ACR|3VULN|2DMG|1AART|2DUR	179VULN|29DUR|3DUST|4LIT|5RCR|6RCVC|89DMG|9BPWR|aAART
58	26133 42222	   	186.42	ACR|3VULN|2DMG|1AART|2DUR	179VULN|29DUR|3DUST|46LIT|5RCR|89DMG|9BPWR|aAART
59	25352 22313	   	186.33	ACR|3VULN|2DMG|3CDMG|1DUR	157VULN|279CDMG|37DMG|4RCR|6RCVC|7BPWR|8DUR|aTLV
60	25352 22314	   	186.33	ACR|3VULN|2DMG|3CDMG|1DUR	157VULN|279CDMG|37DMG|4RCR|6RCVC|7BPWR|8DUR|aDUST
61	25352 11141	 * 	186.26	ACR|2VULN|2AART|2CDMG|1DMG|1ZMB	15VULN|27CDMG|3DMG|4RCR|6LHND|8ZMB|9aAART
62	23143 12135	 * 	186.21	DCR|3VULN|2DMG|1AART|1DUR	17aVULN|2aLIT|3DUR|4RPLT|5MLV|6RCR|8aDMG|9AART|aBPWR
63	23133 12135	   	186.11	DCR|3VULN|2DMG|1AART|1DUR	17aVULN|2aLIT|3DUR|4ERES|5RPLT|6RCR|8aDMG|9AART|aBPWR
64	24124 31234	 * 	185.73	ACR|5VULN|1AART|1DMG	15678VULN|2FEWX|3DUST|4RCR|9DMG|aAART
65	25352 11622	   	185.68	ACR|3VULN|2DMG|2CDMG|2DUR	15aVULN|27CDMG|3aDMG|4RCR|6LHND|8CGEN|9aDUR|aBPWR
66	25352 31622	   	185.68	ACR|3VULN|2DMG|2CDMG|2DUR	15aVULN|27CDMG|3aDMG|4RCR|6FEWX|8CGEN|9aDUR|aBPWR
67	15352 24321	   	185.49	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1LHND|2CDMG|37DMG|4RCR|58VULN|6RCVC|9ZMB|aAART
68	25362 43322	   	185.26	DCR|3VULN|2DMG|2CDMG|2DUR	15aVULN|24CDMG|3aDMG|6MLV|7RCR|8BEXP|9aDUR|aBPWR
69	26123 24513	   	185.23	ACR|4VULN|2DMG|1ZMB|1DUR	167aVULN|2DUR|3DUST|4RCR|5ZMB|89DMG
70	22262 34163	 * 	184.67	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB|1DUR	17VULN|2ZMB|3BEXP|45AART|6DUR|8DMG|9RCR|aCDMG
71	21355 51332	   	184.50	ACR|2AART|2VULN|1DMG|2ZMB|2ASPD	18VULN|28ASPD|3aLIT|49AART|5RCR|6DMG|78ZMB|8BPWR
72	25352 22221	   	184.45	ACR|3VULN|2DMG|2CDMG|1ZMB	157VULN|27CDMG|37DMG|4RCR|6RCVC|7BPWR|8BEXP|9ZMB|aDMSP
73	25352 22223	   	184.45	ACR|3VULN|2DMG|2CDMG|1ZMB	157VULN|27CDMG|37DMG|4RCR|6RCVC|7BPWR|8BEXP|9ZMB|aLWND
74	25352 22521	   	184.45	ACR|3VULN|2DMG|2CDMG|1ZMB	157VULN|27CDMG|37DMG|4RCR|6RCVC|7BPWR|8FEWX|9ZMB|aDMSP
75	25352 22523	   	184.45	ACR|3VULN|2DMG|2CDMG|1ZMB	157VULN|27CDMG|37DMG|4RCR|6RCVC|7BPWR|8FEWX|9ZMB|aLWND
76	25352 22222	   	184.35	ACR|3VULN|2DMG|2CDMG|1ZMB	157VULN|27CDMG|37DMG|4RCR|6RCVC|7BPWR|8BEXP|9ZMB|aDUST
77	25352 22225	   	184.35	ACR|3VULN|2DMG|2CDMG|1ZMB	157VULN|27CDMG|37DMG|4RCR|6RCVC|7BPWR|8BEXP|9ZMB|aMBVNT
78	25352 22522	   	184.35	ACR|3VULN|2DMG|2CDMG|1ZMB	157VULN|27CDMG|37DMG|4RCR|6RCVC|7BPWR|8FEWX|9ZMB|aDUST
79	25352 11326	   	184.25	ACR|3VULN|2DMG|2CDMG|1ZMB	158VULN|27CDMG|3aDMG|4RCR|6LHND|9ZMB
80	25313 11331	   	183.76	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	18VULN|2CDMG|3DMG|4DUR|5BEXP|6RCR|7ZMB|9ASPD|aAART
