0	Index      	 *	Score 	Summary	Detail	
1	31421 73427	 * 	207.02	DCR|4VULN|3DMG|1AART	179aVULN|27aDMG|3RPLT|4AART|5MBVNT|67aTLV|7aBPWR|8RCR
2	31425 13122	 * 	191.54	ACR|3VULN|2DMG|1AART|1CDMG	179VULN|27DMG|3RPLT|4AART|5RCR|67MLV|7BPWR|8LWND|aCDMG
3	31425 13322	   	191.54	ACR|3VULN|2DMG|1AART|1CDMG	179VULN|27DMG|3RPLT|4AART|5RCR|67MLV|7BPWR|8FEWX|aCDMG
4	31421 31427	   	191.27	DCR|4VULN|2DMG|1AART	169aVULN|2aDMG|3RPLT|4AART|5MBVNT|7aTLV|8RCR|aBPWR
5	31614 32141	 * 	191.19	ACR|4VULN|2DMG|1AART	158aVULN|26DMG|3aERES|4RCR|7aCGEN|9AART|aBPWR
6	33614 32141	   	191.19	ACR|4VULN|2DMG|1AART	158aVULN|2MLV|3aERES|4RCR|6aDMG|7RCVC|9AART|aBPWR
7	31421 13422	   	191.02	DCR|3VULN|2DMG|1AART|1CDMG	179VULN|27DMG|3RPLT|4AART|5MBVNT|67MLV|7BPWR|8RCR|aCDMG
8	31614 31236	   	190.04	ACR|3VULN|2DMG|1AART|1CDMG	159VULN|26DMG|3ERES|4RCR|7RPLT|8CDMG|aAART
9	31425 33122	 * 	189.13	ACR|3VULN|2AART|2DMG	179VULN|27DMG|3RPLT|4aAART|5RCR|67ERES|7BPWR|8LWND
10	31425 63122	   	189.13	ACR|3VULN|2AART|2DMG	179VULN|27DMG|3RPLT|4aAART|5RCR|67TLV|7BPWR|8LWND
11	31212 46261	   	188.07	DCR|2VULN|2DMG|1AART|2ASPD|1ZMB	1aVULN|2aDMG|3ZMB|4RMIN|5AART|6LSRHEA|7RCR|8BELT|9aASPD|aBPWR
12	31425 13236	   	186.89	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	17VULN|27DMG|3RPLT|4AART|5RCR|67MLV|7BPWR|8LIT|9ZMB|aCDMG
13	31425 33236	   	186.69	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	17VULN|27DMG|3RPLT|4AART|5RCR|67ERES|7BPWR|8LIT|9ZMB|aCDMG
14	31614 11236	   	186.55	ACR|4VULN|1AART|1DMG|1CDMG	1569VULN|2DMG|3ERES|4RCR|7RPLT|8CDMG|aAART
15	31614 12141	 * 	186.43	ACR|5VULN|1AART|1DMG	1568aVULN|2DMG|3aERES|4RCR|7aCGEN|9AART|aBPWR
16	31212 32652	 * 	184.92	DCR|2VULN|2DMG|1AART|2ZMB|1CDMG	17VULN|29DMG|37ZMB|4RMIN|5AART|67LIT|7BPWR|8CDMG|aRCR
17	31234 61314	 * 	184.58	DCR|2DMG|1AART|1VULN|2CDMG|2ZMB|1ASPD	1VULN|28DMG|39ZMB|45CDMG|6ASPD|7RCR|aAART
18	31421 13448	   	184.31	DCR|3VULN|2DMG|1AART|1DUR	17aVULN|27DMG|3RPLT|4AART|5MBVNT|67MLV|7BPWR|8RCR|9DUR
19	31421 53448	   	184.11	DCR|3VULN|2DMG|1AART|1DUR	17aVULN|27DMG|3RPLT|4AART|5MBVNT|67ERES|7BPWR|8RCR|9DUR
20	31421 73448	   	184.11	DCR|3VULN|2DMG|1AART|1DUR	17aVULN|27DMG|3RPLT|4AART|5MBVNT|67TLV|7BPWR|8RCR|9DUR
21	31315 13315	 * 	183.79	ACR|3VULN|3DMG|2ZMB	16aVULN|27aDMG|3MLV|4RCR|5BASHEA|8aZMB|9NUKE|aBPWR
22	31315 13415	 * 	183.14	ACR|4VULN|3DMG	168aVULN|27aDMG|3MLV|4RCR|5BASHEA|9aLHND|aBPWR
23	31212 32152	 * 	182.99	DCR|3VULN|1AART|1DMG|2ZMB|1CDMG	178VULN|2DMG|37ZMB|4RMIN|5AART|67LIT|7BPWR|9CDMG|aRCR
24	31315 13215	   	182.94	ACR|4VULN|3DMG	169aVULN|27aDMG|3MLV|4RCR|5BASHEA|8aDUST|aBPWR
25	31614 31262	   	182.49	ACR|3VULN|3DMG|1CDMG	15aVULN|269DMG|3ERES|4RCR|7RPLT|8CDMG
26	31316 53236	   	181.04	ACR|4VULN|2DMG|1CDMG	179aVULN|28DMG|3MLV|4RCR|5LWND|6CDMG
27	31614 31234	   	180.94	ACR|4VULN|2DMG|1CDMG	159aVULN|26DMG|3ERES|4RCR|7RPLT|8CDMG
28	31212 31652	   	180.87	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	17VULN|29DMG|3ZMB|4RMIN|5AART|6LIT|8CDMG|aRCR
29	31262 31652	   	180.87	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	17VULN|29DMG|3ZMB|4MLV|5AART|6LIT|8CDMG|aRCR
30	31522 32122	   	180.81	DCR|4VULN|1AART|1DMG|2DUR	1789VULN|2DMG|37DUR|4RCVC|5AART|67LIT|7BPWR|aRCR
31	31425 13233	   	180.17	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	17VULN|27DMG|3RPLT|4AART|5RCR|67MLV|7BPWR|8LIT|9ZMB|aDUR
32	31425 13252	   	180.17	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	17VULN|27DMG|3RPLT|4AART|5RCR|67MLV|7BPWR|8LIT|9ASPD|aZMB
33	31234 66123	   	180.13	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB|1ASPD	1VULN|2aDMG|3ZMB|45CDMG|6ASPD|7AART|8RCR|9FEWX
34	31425 33233	   	179.97	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	17VULN|27DMG|3RPLT|4AART|5RCR|67ERES|7BPWR|8LIT|9ZMB|aDUR
35	31425 33252	   	179.97	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	17VULN|27DMG|3RPLT|4AART|5RCR|67ERES|7BPWR|8LIT|9ASPD|aZMB
36	31425 63233	   	179.97	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	17VULN|27DMG|3RPLT|4AART|5RCR|67TLV|7BPWR|8LIT|9ZMB|aDUR
37	31421 13443	   	179.66	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	17VULN|27DMG|3RPLT|4AART|5MBVNT|67MLV|7BPWR|8RCR|9DUR|aZMB
38	31421 53443	   	179.46	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	17VULN|27DMG|3RPLT|4AART|5MBVNT|67ERES|7BPWR|8RCR|9DUR|aZMB
39	31421 73443	   	179.46	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	17VULN|27DMG|3RPLT|4AART|5MBVNT|67TLV|7BPWR|8RCR|9DUR|aZMB
40	31262 31122	   	179.38	DCR|4VULN|1AART|1DMG|1ZMB	1789VULN|2DMG|3ZMB|4MLV|5AART|6LIT|aRCR
41	31243 23135	   	178.95	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	18VULN|28DMG|3ZMB|4BEXP|5BELT|6AART|78DUR|8BPWR|9DUST|aRCR
