0	Index      	 *	Score 	Summary	Detail	
1	66151 32333	 * 	204.96	ACR|4VULN|2DMG|2DUR|1ZMB|1ASPD	1RCR|278aVULN|3RPLT|4ASPD|58DUR|68DMG|8BPWR|9ZMB
2	62331 31526	 * 	198.93	ACR|2VULN|2DMG|1AART|1CDMG|1FLTHEA	1RCR|2LHND|3BEXP|4AART|5CDMG|69VULN|7FLTHEA|8aDMG
3	63526 22212	 * 	197.94	ACR|3VULN|2DMG|1AART|1CDMG	1RCR|28TLV|358VULN|4CDMG|6FEWX|78DMG|8BPWR|9AART|aLWND
4	63526 22211	   	197.84	ACR|3VULN|2DMG|1AART|1CDMG	1RCR|28TLV|358VULN|4CDMG|6FEWX|78DMG|8BPWR|9AART|aBASHEA
5	63526 22213	   	197.84	ACR|3VULN|2DMG|1AART|1CDMG	1RCR|28TLV|358VULN|4CDMG|6FEWX|78DMG|8BPWR|9AART|aVENICY
6	66231 11523	 * 	197.00	ACR|3VULN|1AART|1DMG|1CDMG|1FLTHEA	1RCR|29aVULN|3LHND|4AART|5CDMG|6LWND|7FLTHEA|8DMG
7	66331 11523	   	197.00	ACR|3VULN|1AART|1DMG|1CDMG|1FLTHEA	1RCR|29aVULN|3FEWX|4AART|5CDMG|6LWND|7FLTHEA|8DMG
8	62331 31523	   	197.00	ACR|3VULN|1AART|1DMG|1CDMG|1FLTHEA	1RCR|2LHND|3BEXP|4AART|5CDMG|69aVULN|7FLTHEA|8DMG
9	62531 31523	   	196.90	ACR|3VULN|1AART|1DMG|1CDMG|1FLTHEA	1RCR|2LHND|3DUST|4AART|5CDMG|69aVULN|7FLTHEA|8DMG
10	16526 22212	   	195.54	ACR|3VULN|2DMG|1AART|1CDMG	18TLV|2RCR|358VULN|4CDMG|6FEWX|78DMG|8BPWR|9AART|aLWND
11	16526 22211	   	195.44	ACR|3VULN|2DMG|1AART|1CDMG	18TLV|2RCR|358VULN|4CDMG|6FEWX|78DMG|8BPWR|9AART|aBASHEA
12	16526 22213	   	195.44	ACR|3VULN|2DMG|1AART|1CDMG	18TLV|2RCR|358VULN|4CDMG|6FEWX|78DMG|8BPWR|9AART|aVENICY
13	66151 32332	 * 	194.67	ACR|3VULN|2DMG|3DUR|1ZMB|1ASPD	1RCR|278VULN|3RPLT|4ASPD|58aDUR|68DMG|8BPWR|9ZMB
14	64532 12333	 * 	194.05	ACR|4VULN|2AART|1DMG	1RCR|2CGEN|3478VULN|5LWND|69AART|aDMG
15	61526 11211	 * 	192.10	ACR|3VULN|3CDMG|1AART|1DMG	1RCR|2MLV|359VULN|467CDMG|8DMG|aAART
16	63526 11211	   	192.00	ACR|3VULN|3CDMG|1AART|1DMG	1RCR|2TLV|359VULN|467CDMG|8DMG|aAART
17	46532 12333	   	191.65	ACR|4VULN|2AART|1DMG	1CGEN|2RCR|3478VULN|5LWND|69AART|aDMG
18	66151 32331	   	190.86	ACR|3VULN|2DMG|2DUR|1ZMB|1ASPD	1RCR|278VULN|3RPLT|4ASPD|58DUR|68DMG|8BPWR|9ZMB|aRMIN
19	66153 32321	   	190.73	ACR|3VULN|2DMG|1AART|1ASPD	1RCR|278VULN|3RPLT|4ASPD|58FEWX|68DMG|8BPWR|9AIRHEL|aAART
20	66231 31533	   	190.29	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1RCR|269VULN|3LHND|4AART|5CDMG|7LWND|8DMG|aDUR
21	66153 32312	 * 	190.21	ACR|3VULN|3DMG|1DUR|1ASPD	1RCR|278VULN|3RPLT|4ASPD|58FEWX|68aDMG|8BPWR|9DUR
22	16526 11211	   	189.60	ACR|3VULN|3CDMG|1AART|1DMG	1TLV|2RCR|359VULN|467CDMG|8DMG|aAART
23	26526 11211	   	189.60	ACR|3VULN|3CDMG|1AART|1DMG	1ERES|2RCR|359VULN|467CDMG|8DMG|aAART
24	66153 32313	   	188.66	ACR|4VULN|2DMG|1DUR|1ASPD	1RCR|278aVULN|3RPLT|4ASPD|58FEWX|68DMG|8BPWR|9DUR
25	66231 11522	   	188.28	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1DUR	1RCR|29VULN|3LHND|4AART|5CDMG|6LWND|7FLTHEA|8DMG|aDUR
26	66331 11522	   	188.28	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1DUR	1RCR|29VULN|3FEWX|4AART|5CDMG|6LWND|7FLTHEA|8DMG|aDUR
27	62331 31522	   	188.28	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1DUR	1RCR|2LHND|3BEXP|4AART|5CDMG|69VULN|7FLTHEA|8DMG|aDUR
28	63526 22231	 * 	188.24	ACR|4VULN|2DMG|1CDMG	1RCR|28TLV|3589VULN|4CDMG|6FEWX|78DMG|8BPWR|aRPLT
29	63526 22232	   	188.24	ACR|4VULN|2DMG|1CDMG	1RCR|28TLV|3589VULN|4CDMG|6FEWX|78DMG|8BPWR|aMLV
30	62531 31522	   	188.18	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1DUR	1RCR|2LHND|3DUST|4AART|5CDMG|69VULN|7FLTHEA|8DMG|aDUR
31	63526 22233	   	188.14	ACR|4VULN|2DMG|1CDMG	1RCR|28TLV|3589VULN|4CDMG|6FEWX|78DMG|8BPWR|aERES
32	66231 11521	 * 	187.66	ACR|2VULN|1AART|1DMG|2CDMG|1FLTHEA	1RCR|29VULN|3LHND|4AART|5aCDMG|6LWND|7FLTHEA|8DMG
33	66331 11521	   	187.66	ACR|2VULN|1AART|1DMG|2CDMG|1FLTHEA	1RCR|29VULN|3FEWX|4AART|5aCDMG|6LWND|7FLTHEA|8DMG
34	62331 31521	   	187.66	ACR|2VULN|1AART|1DMG|2CDMG|1FLTHEA	1RCR|2LHND|3BEXP|4AART|5aCDMG|69VULN|7FLTHEA|8DMG
35	61532 12333	 * 	187.64	ACR|4VULN|2AART|1CDMG	1RCR|2MLV|3478VULN|5LWND|69AART|aCDMG
36	62531 31521	   	187.56	ACR|2VULN|1AART|1DMG|2CDMG|1FLTHEA	1RCR|2LHND|3DUST|4AART|5aCDMG|69VULN|7FLTHEA|8DMG
37	63532 12333	   	187.54	ACR|4VULN|2AART|1CDMG	1RCR|2TLV|3478VULN|5LWND|69AART|aCDMG
38	66632 12333	   	187.54	ACR|4VULN|2AART|1CDMG	1RCR|2478VULN|3ERES|5LWND|69AART|aCDMG
39	66361 13214	   	186.92	ACR|4VULN|2DMG|2DUR	1RCR|269aVULN|3FEWX|4aDUR|5RCVC|7MBVNT|8aDMG|aBPWR
40	61522 33233	   	186.57	ACR|3VULN|2DMG|1CDMG|2DUR	1RCR|2MLV|37aVULN|4CDMG|5LHND|6aDUR|8LIT|9aDMG|aBPWR
41	63522 33233	   	186.47	ACR|3VULN|2DMG|1CDMG|2DUR	1RCR|2TLV|37aVULN|4CDMG|5LHND|6aDUR|8LIT|9aDMG|aBPWR
42	66212 14311	 * 	186.24	ACR|4VULN|3CDMG|1AART	1RCR|2689VULN|35LHND|457CDMG|5BPWR|aAART
43	62331 33553	 * 	186.08	ACR|2AART|2DMG|1VULN|1CDMG|1DUR	1RCR|2LHND|3BEXP|48AART|5CDMG|6VULN|79DMG|aDUR
44	62531 33533	 * 	185.98	ACR|2AART|2VULN|1DMG|1CDMG|1DUR	1RCR|2LHND|3DUST|48AART|5CDMG|69VULN|7DMG|aDUR
45	66531 32333	   	185.88	ACR|2AART|2VULN|1DMG|1CDMG|1ASPD	1RCR|26VULN|37DUST|4aAART|5CDMG|8DMG|9ASPD
46	16526 22231	   	185.84	ACR|4VULN|2DMG|1CDMG	18TLV|2RCR|3589VULN|4CDMG|6FEWX|78DMG|8BPWR|aRPLT
47	16526 22232	   	185.84	ACR|4VULN|2DMG|1CDMG	18TLV|2RCR|3589VULN|4CDMG|6FEWX|78DMG|8BPWR|aMLV
48	16526 22233	   	185.74	ACR|4VULN|2DMG|1CDMG	18TLV|2RCR|3589VULN|4CDMG|6FEWX|78DMG|8BPWR|aERES
49	66231 33613	   	185.64	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RCR|26VULN|3LHND|4AART|5CDMG|7CGEN|8DMG|9ZMB|aDUR
