0	Index      	 *	Score 	Summary	Detail	
1	52326 22436	 * 	215.21	DCR|3DMG|2VULN|1AART|3CDMG	13aCDMG|23aDMG|3aBPWR|4AART|5DUR|6RCR|7MBVNT|8CGEN|9aVULN
2	52326 21135	   	204.95	DCR|2VULN|2DMG|1AART|3CDMG|2DUR	13aCDMG|23DMG|3aBPWR|4AART|5aDUR|6RCR|7CGEN|8LHND|9aVULN
3	52321 62631	 * 	202.93	DCR|3DMG|2AART|1VULN|2CDMG	13CDMG|239DMG|3BPWR|4aAART|5BELT|6RCR|7ASPD|8VULN
4	52135 22436	   	202.03	DCR|3DMG|2VULN|1AART|2CDMG	1aCDMG|25aDMG|3DUST|4AART|6RCR|7MBVNT|8CGEN|9aVULN|aBPWR
5	52326 52444	 * 	201.77	DCR|3VULN|2DMG|1AART|2CDMG	13CDMG|23DMG|3BPWR|4AART|5DUR|68aVULN|7MBVNT|9RCR
6	52311 21151	   	200.57	DCR|3DMG|2VULN|3CDMG|1AART	134CDMG|234DMG|34aBPWR|5BELT|6aLHND|7aVULN|8RCR|9AART
7	52326 52244	 * 	197.56	DCR|2AART|2VULN|2DMG|2CDMG	13CDMG|23DMG|3BPWR|48AART|5DUR|6aVULN|7MBVNT|9RCR
8	52326 22742	   	196.68	DCR|3DMG|1AART|1VULN|2CDMG|2DUR	13CDMG|238DMG|3BPWR|4AART|59DUR|6RCR|7MBVNT|aVULN
9	52322 25632	   	195.99	DCR|3DMG|2AART|1VULN|2CDMG	13CDMG|238DMG|3BPWR|49AART|5FEWX|6RCR|7BEXP|aVULN
10	52322 26632	   	195.89	DCR|3DMG|2AART|1VULN|2CDMG	13CDMG|238DMG|3BPWR|49AART|5FEWX|6RCR|7DUST|aVULN
11	52322 52444	   	194.83	DCR|3VULN|2DMG|1AART|2CDMG	13CDMG|23DMG|3BPWR|4AART|5FEWX|68aVULN|7MBVNT|9RCR
12	52326 52314	   	193.81	DCR|2VULN|2DMG|1AART|2CDMG|2DUR	13CDMG|23DMG|3BPWR|4AART|59DUR|6aVULN|7MBVNT|8RCR
13	52322 52344	   	193.02	DCR|2AART|2VULN|2DMG|2CDMG	13CDMG|23DMG|3BPWR|49AART|5FEWX|6aVULN|7MBVNT|8RCR
14	52311 12161	   	191.62	DCR|3DMG|3CDMG|1AART|1VULN	134CDMG|234DMG|34BPWR|56BELT|7RCR|8ASPD|9VULN|aAART
15	52311 52161	   	191.62	DCR|3DMG|3CDMG|1AART|1VULN	134CDMG|234DMG|34BPWR|5BELT|6DMSP|7RCR|8ASPD|9VULN|aAART
16	52321 62612	   	191.48	DCR|3DMG|1AART|1VULN|2CDMG	13CDMG|23aDMG|3BPWR|4AART|5BELT|6RCR|7ASPD|8VULN|9LHND
17	52321 62633	   	191.48	DCR|3DMG|1AART|1VULN|2CDMG	13CDMG|239DMG|3BPWR|4AART|5BELT|6RCR|7ASPD|8VULN|aCGEN
18	52322 22744	   	191.38	DCR|3DMG|1AART|1VULN|2CDMG	13CDMG|238DMG|3BPWR|4AART|5FEWX|6RCR|7MBVNT|9DUR|aVULN
19	52321 62632	   	191.38	DCR|3DMG|1AART|1VULN|2CDMG	13CDMG|239DMG|3BPWR|4AART|5BELT|6RCR|7ASPD|8VULN|aERES
20	52322 52336	   	190.65	DCR|3DMG|1AART|1VULN|2CDMG|1ZMB	13CDMG|239DMG|3BPWR|4AART|5FEWX|6VULN|7MBVNT|8RCR|aZMB
21	52322 52244	   	190.62	DCR|2AART|2VULN|2DMG|2CDMG	13CDMG|23DMG|3BPWR|48AART|5FEWX|6aVULN|7MBVNT|9RCR
22	52322 22737	   	190.48	DCR|3DMG|1AART|3CDMG|1VULN	139CDMG|238DMG|3BPWR|4AART|5FEWX|6RCR|7MBVNT|aVULN
