0	Index      	 *	Score 	Summary	Detail	
1	33112 14321	 * 	181.65	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ASPD	1MGNLIT|2VULN|38DUR|4AART|5ASPD|6RCR|7CDMG|9aDMG
2	13152 51422	 * 	180.84	ACR|4VULN|3DMG	18CGEN|2RPLT|3DMSP|489DMG|5RCR|678aVULN|8BPWR
3	33112 14531	 * 	176.35	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1MGNLIT|29VULN|3DUR|4AART|5ASPD|6RCR|7CDMG|8CGEN|aDMG
4	33112 14324	 * 	175.51	DCR|2AART|1VULN|1DMG|1CDMG|2DUR|1ASPD	1MGNLIT|2VULN|38DUR|4aAART|5ASPD|6RCR|7CDMG|9DMG
5	21524 11135	   	174.28	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1MLV|2LIT|3VULN|48AART|5DUR|6RCR|7DMG|9CDMG|aZMB
6	33112 11331	   	173.46	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD|1SELL	1MGNLIT|29VULN|3DUR|4AART|5ASPD|6RCR|7ZMB|8SELL|aDMG
7	33212 13424	 * 	172.96	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	1MGNLIT|28aVULN|3LWND|4DUR|5DMG|6ASPD|7RCR|9AART
8	11524 12631	 * 	172.40	DCR|4VULN|1AART|1ASPD|1DUR	1CGEN|2LIT|3789VULN|4AART|5DUR|6RCR|aASPD
9	42324 12631	   	172.40	DCR|4VULN|1AART|1ASPD|1DUR	1LIT|2789VULN|3CGEN|4AART|5DUR|6RCR|aASPD
10	33663 31115	   	171.88	DCR|3VULN|1AART|1DMG|1ZMB	1MGNLIT|248VULN|3LIT|5LSRICY|6AART|7RCR|9ZMB|aDMG
11	45412 31233	 * 	171.83	DCR|2DMG|1AART|3CDMG|1VULN	1LIT|249CDMG|3VULN|5AART|6aDMG|7RCR|8RPLT
12	33212 13435	   	170.35	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1MGNLIT|28VULN|3LWND|4DUR|5DMG|6ASPD|7RCR|9CDMG|aAART
13	33112 14224	   	170.21	DCR|2AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1MGNLIT|2VULN|3DUR|4aAART|5ASPD|6RCR|7CDMG|8LHND|9DMG
14	33112 14624	   	170.21	DCR|2AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1MGNLIT|2VULN|3DUR|4aAART|5ASPD|6RCR|7CDMG|8FEWX|9DMG
15	33112 15323	   	170.21	DCR|2AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1MGNLIT|2VULN|3DUR|48AART|5ASPD|6RCR|7RPLT|9DMG|aCDMG
16	13333 15532	 * 	170.00	DCR|3DMG|3AART|1VULN	1CGEN|2RPLT|3VULN|478DMG|569AART|aRCR
17	23333 15532	   	170.00	DCR|3DMG|3AART|1VULN	1MLV|2RPLT|3VULN|478DMG|569AART|aRCR
18	53333 15532	   	169.90	DCR|3DMG|3AART|1VULN	1ERES|2RPLT|3VULN|478DMG|569AART|aRCR
