0	Index      	 *	Score 	Summary	Detail	
1	53223 13143	 * 	228.71	ACR|4VULN|3DMG|1AART|3ASPD	1489VULN|249DMG|3RCR|49BPWR|579ASPD|6LEGI|aAART
2	51326 31353	 * 	222.71	DCR|3VULN|3DMG|3ZMB|1AART	149VULN|2MBVNT|349DMG|49BPWR|5DMSP|6RCR|789ZMB|aAART
3	53226 11112	   	222.39	ACR|4VULN|3DMG|1AART|1CDMG	1469VULN|245DMG|3RCR|4BPWR|7MLV|8CDMG|aAART
4	53223 31141	   	221.69	ACR|4VULN|2DMG|1AART|2ZMB|2ASPD	1489VULN|24DMG|3RCR|49BPWR|59ASPD|6RMIN|79ZMB|aAART
5	51533 42321	 * 	221.19	ACR|4VULN|2DMG|1AART|2CDMG	159aVULN|2MBVNT|3RCR|4ASPD|69CDMG|79DMG|8AART|9BPWR
6	53222 62432	   	220.09	ACR|3VULN|3DMG|1AART|1CDMG|1ZMB	148VULN|248DMG|3RCR|48BPWR|5LIT|6CDMG|78FEWX|9AART|aZMB
7	53223 13146	 * 	218.33	ACR|5VULN|3DMG|3ASPD	1489aVULN|249DMG|3RCR|49BPWR|579ASPD|6LEGI
8	51533 42323	   	218.09	ACR|3VULN|2DMG|1AART|2CDMG|1ZMB	159VULN|2MBVNT|3RCR|4ASPD|69CDMG|79DMG|8AART|9BPWR|aZMB
9	12333 53324	 * 	217.86	ACR|5VULN|2AART|2DMG	19AART|2678aVULN|34DMG|5RCR
10	53223 51315	   	215.53	ACR|3VULN|2DMG|1AART|2ASPD|1CDMG	148VULN|24DMG|3RCR|48BPWR|58ASPD|6AART|78TLV|9DUR|aCDMG
11	51573 42321	   	214.25	ACR|4VULN|2DMG|1AART|2CDMG	159aVULN|2MBVNT|3RCR|4RMIN|69CDMG|79DMG|8AART|9BPWR
12	51533 42326	   	214.03	ACR|3VULN|2DMG|1AART|2CDMG	159VULN|2MBVNT|3RCR|4ASPD|69CDMG|79DMG|8AART|9BPWR|aDUR
13	12153 24315	   	213.83	ACR|3VULN|2DMG|1AART|2ASPD|1CDMG	1AART|238VULN|4MLV|5RCR|68ASPD|78DMG|8BPWR|9DUR|aCDMG
14	12113 24315	   	213.73	ACR|3VULN|2DMG|1AART|2ASPD|1CDMG	1AART|238VULN|4TLV|5RCR|68ASPD|78DMG|8BPWR|9DUR|aCDMG
15	12333 53352	   	213.36	ACR|5VULN|2DMG|1AART	1AART|26789VULN|34DMG|5RCR|aDUR
16	12333 53365	   	213.36	ACR|5VULN|2DMG|1AART	1AART|2678aVULN|34DMG|5RCR|9DUR
17	53223 51312	   	212.88	ACR|3VULN|2DMG|1AART|2ASPD|1ZMB	148VULN|24DMG|3RCR|48BPWR|58ASPD|6AART|78TLV|9DUR|aZMB
18	53223 53412	   	212.88	ACR|3VULN|2DMG|1AART|2ASPD|1ZMB	148VULN|24DMG|3RCR|48BPWR|58ASPD|6AART|78ERES|9DUR|aZMB
19	53223 31142	 * 	212.02	ACR|4VULN|2DMG|3ZMB|2ASPD	1489VULN|24DMG|3RCR|49BPWR|59ASPD|6RMIN|79aZMB
20	12333 53322	   	211.97	ACR|4VULN|2AART|2DMG	19AART|2678VULN|34DMG|5RCR|aDUR
21	12333 53363	   	211.53	ACR|4VULN|2DMG|1AART|1ZMB	1AART|2678VULN|34DMG|5RCR|9DUR|aZMB
22	12143 24125	 * 	211.43	ACR|4VULN|1AART|3ZMB|1DMG	1AART|239aVULN|49aZMB|5RCR|6ASPD|7DMG|89aERES|9aBPWR
23	53223 31143	   	211.32	ACR|5VULN|2DMG|2ZMB|2ASPD	1489aVULN|24DMG|3RCR|49BPWR|59ASPD|6RMIN|79ZMB
24	12153 24312	   	211.18	ACR|3VULN|2DMG|1AART|2ASPD|1ZMB	1AART|238VULN|4MLV|5RCR|68ASPD|78DMG|8BPWR|9DUR|aZMB
25	51573 42323	   	211.15	ACR|3VULN|2DMG|1AART|2CDMG|1ZMB	159VULN|2MBVNT|3RCR|4RMIN|69CDMG|79DMG|8AART|9BPWR|aZMB
26	12113 24312	   	211.08	ACR|3VULN|2DMG|1AART|2ASPD|1ZMB	1AART|238VULN|4TLV|5RCR|68ASPD|78DMG|8BPWR|9DUR|aZMB
27	53262 33162	   	211.08	ACR|3VULN|2DMG|1AART|2ASPD|1ZMB	178VULN|27DMG|3RCR|4ERES|5DUR|67ASPD|7BPWR|9AART|aZMB
28	53421 31151	 * 	210.93	DCR|4VULN|2DMG|1AART|2ZMB	1489VULN|29DMG|3RCVC|5MBVNT|6RCR|79ZMB|9BPWR|aAART
29	53226 11131	   	210.19	ACR|4VULN|3DMG|1CDMG|1ZMB	146aVULN|245DMG|3RCR|4BPWR|7MLV|8CDMG|9ZMB
30	53226 11122	   	209.90	ACR|3VULN|3DMG|1AART|1CDMG	146VULN|245DMG|3RCR|4BPWR|7MLV|8CDMG|9RCVC|aAART
31	12333 36126	   	209.54	ACR|4VULN|3DMG|1AART	1AART|289aVULN|34aDMG|5RCR|689TLV|789aLHND|89aBPWR
32	53222 62431	   	209.09	ACR|3VULN|3DMG|1AART|1CDMG	148VULN|248DMG|3RCR|48BPWR|5LIT|6CDMG|78FEWX|9AART|aLHND
33	53223 51215	   	208.81	ACR|3VULN|2DMG|1AART|1CDMG	148VULN|24DMG|3RCR|4BPWR|5ASPD|6AART|7TLV|9DUR|aCDMG
34	53223 53115	   	208.81	ACR|3VULN|2DMG|1AART|1CDMG	148VULN|24DMG|3RCR|4BPWR|5ASPD|6AART|7ERES|9DUR|aCDMG
35	53223 51325	   	208.49	ACR|3VULN|2DMG|1AART|2ASPD|1CDMG	148VULN|24DMG|3RCR|48BPWR|58ASPD|6AART|78TLV|9DUST|aCDMG
36	53223 53233	   	208.49	ACR|3VULN|2DMG|1AART|2ASPD|1CDMG	14aVULN|24DMG|3RCR|4BPWR|59ASPD|6AART|7ERES|8CDMG
37	12334 33122	   	208.37	DCR|3VULN|3DMG|1AART|1CDMG	1AART|27aVULN|349DMG|5CGEN|6CDMG|8RCR
38	53223 13361	   	208.32	ACR|3VULN|3DMG|2ASPD|2DUR|1ZMB	14aVULN|24aDMG|3RCR|4aBPWR|57ASPD|6LEGI|8ZMB|9aDUR
39	53226 52112	   	208.09	ACR|3VULN|3DMG|1AART|1CDMG	149VULN|245DMG|3RCR|4BPWR|67ERES|8CDMG|aAART
40	11143 32537	   	207.45	DCR|3VULN|2DMG|1AART|1CDMG|2DUR	1AART|2aDUR|39aVULN|4CDMG|5MBVNT|6LWND|7RCR|8aDMG|aBPWR
41	53223 22351	   	207.43	ACR|4VULN|3DMG|2ZMB	148aVULN|24aDMG|3RCR|4aBPWR|5ASPD|6FEWX|7MBVNT|9aZMB
42	12153 24335	   	207.34	ACR|4VULN|2DMG|1AART|2ASPD	1AART|238aVULN|49MLV|5RCR|68ASPD|78DMG|8BPWR
43	53125 32143	 * 	207.27	DCR|3VULN|2DMG|1AART|3DUR|2ZMB	189VULN|24DMG|349DUR|49BPWR|5DMSP|69ZMB|7RCR|aAART
44	12113 24365	   	207.14	ACR|4VULN|2DMG|1AART|2ASPD	1AART|238aVULN|49TLV|5RCR|68ASPD|78DMG|8BPWR
45	12333 53311	   	207.14	ACR|4VULN|2DMG|1AART|1CDMG	1AART|2678VULN|34DMG|5RCR|9ERES|aCDMG
