0	Index      	 *	Score 	Summary	Detail	
1	11131 53615	 * 	198.03	DCR|2VULN|2DMG|1AART|2CDMG|3DUR	17aDUR|27LHND|3aCDMG|4AART|5FEWX|67DMG|7aBPWR|8RCR|9aVULN
2	15232 14347	 * 	197.25	DCR|3VULN|2DMG|1AART|1CDMG|2DUR	17DUR|2LIT|3MBVNT|457VULN|67DMG|7BPWR|8CDMG|9RCR|aAART
3	31136 53115	 * 	195.37	ACR|2VULN|2DMG|1AART|3CDMG|1DUR	17aBEXP|2LHND|37aCDMG|4AART|5RCR|67DMG|7aBPWR|8DUR|9aVULN
4	31136 53116	   	189.13	ACR|2VULN|2DMG|1AART|2CDMG|1DUR	17BEXP|2LHND|37CDMG|4AART|5RCR|67DMG|7BPWR|8DUR|9aVULN
5	11131 53616	   	187.70	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	17DUR|27LHND|3CDMG|4AART|5FEWX|67DMG|7BPWR|8RCR|9aVULN
6	31136 53111	 * 	187.20	ACR|3DMG|1AART|1VULN|2CDMG|1DUR	17BEXP|2LHND|37CDMG|4AART|5RCR|67aDMG|7BPWR|8DUR|9VULN
7	11131 53611	 * 	185.76	DCR|3DMG|1AART|1VULN|1CDMG|2DUR	17DUR|27LHND|3CDMG|4AART|5FEWX|67aDMG|7BPWR|8RCR|9VULN
8	11135 53611	   	185.76	DCR|3DMG|1AART|1VULN|1CDMG|2DUR	17DUR|27LHND|3CDMG|4AART|5BEXP|67aDMG|7BPWR|8RCR|9VULN
9	31136 51311	   	182.62	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1BEXP|2LHND|3CDMG|4AART|5RCR|6aDMG|79VULN|8DUR
10	31136 53532	   	182.55	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB|1DUR	17BEXP|2LHND|37CDMG|4AART|5RCR|67DMG|7BPWR|8ZMB|9VULN|aDUR
11	12626 21263	 * 	182.49	ACR|3VULN|2AART|1DMG|1DUR	1DUR|2ERES|3RCR|4DUST|58AART|6DMG|79aVULN
12	15283 34383	   	182.10	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	18DUR|2LIT|3MBVNT|48DMG|5AART|6NUKE|78VULN|8BPWR|9CDMG|aRCR
13	31136 51316	 * 	180.69	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|2LHND|3CDMG|4AART|5RCR|6DMG|79aVULN|8DUR
14	12626 21262	 * 	180.48	ACR|2AART|2VULN|1DMG|1CDMG|1DUR	1DUR|2ERES|3RCR|4DUST|58AART|6DMG|79VULN|aCDMG
15	11133 33615	   	180.44	DCR|2VULN|1AART|1DMG|2CDMG|3DUR	17aDUR|27LHND|3aCDMG|4AART|5DMG|67LWND|7aBPWR|8RCR|9aVULN
16	11133 63615	   	180.44	DCR|2VULN|1AART|1DMG|2CDMG|3DUR	17aDUR|27LHND|3aCDMG|4AART|5DMG|67FEWX|7aBPWR|8RCR|9aVULN
17	15232 14348	 * 	180.36	DCR|3VULN|2DMG|2CDMG|2DUR	17DUR|2LIT|3MBVNT|457VULN|67DMG|7BPWR|8aCDMG|9RCR
18	31136 53211	   	180.26	ACR|3DMG|1AART|1VULN|2CDMG	17BEXP|2LHND|37CDMG|4AART|5RCR|67aDMG|7BPWR|8LWND|9VULN
19	31136 53411	   	180.26	ACR|3DMG|1AART|1VULN|2CDMG	17BEXP|2LHND|37CDMG|4AART|5RCR|678DMG|7BPWR|9VULN|aBELT
20	31136 53412	   	180.26	ACR|3DMG|1AART|1VULN|2CDMG	17BEXP|2LHND|37CDMG|4AART|5RCR|678DMG|7BPWR|9VULN|aCGEN
21	31136 53413	   	180.26	ACR|3DMG|1AART|1VULN|2CDMG	17BEXP|2LHND|37CDMG|4AART|5RCR|678DMG|7BPWR|9VULN|aMLV
22	11133 36615	   	180.24	DCR|2VULN|1AART|1DMG|2CDMG|3DUR	17aDUR|2LHND|3aCDMG|4AART|5DMG|6LWND|8RCR|9aVULN|aBPWR
23	31136 51411	 * 	180.06	ACR|3VULN|1AART|1DMG|2CDMG	1BEXP|2LHND|38CDMG|4AART|5RCR|6DMG|79aVULN
24	12652 32412	   	179.88	ACR|2VULN|2AART|1DMG|1CDMG|1DUR	1DUR|2ERES|3RCR|4TLV|5DMG|6aAART|79VULN|8CDMG
25	12642 31352	   	179.86	ACR|3VULN|2AART|1ZMB|1DUR|1ASPD	1DUR|2ERES|3RCR|479VULN|5ASPD|68AART|aZMB
26	12632 32414	   	179.54	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|2ERES|3RCR|4CGEN|5DMG|6AART|79VULN|8CDMG|aZMB
27	12652 32413	   	179.44	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|2ERES|3RCR|4TLV|5DMG|6AART|79VULN|8CDMG|aZMB
28	11133 34615	   	178.63	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	1aDUR|2LHND|3aCDMG|4AART|5DMG|6LWND|7RCVC|8RCR|9aVULN|aBPWR
29	23256 31512	 * 	178.40	DCR|3VULN|1AART|1DMG|2CDMG|1SELL	1SELL|2aCGEN|3DMG|49aVULN|5aCDMG|6AART|7RPLT|8RCR|aBPWR
30	51223 31512	 * 	177.87	DCR|2VULN|2DMG|1AART|2ASPD	1aCGEN|2RCVC|39VULN|4aASPD|5aDMG|6AART|7RPLT|8RCR|aBPWR
31	15232 14345	 * 	177.86	DCR|3VULN|2DMG|3DUR|1CDMG	17aDUR|2LIT|3MBVNT|457VULN|67DMG|7BPWR|8CDMG|9RCR
32	12626 21261	   	177.83	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1DUR|2ERES|3RCR|4DUST|58AART|6DMG|79VULN|aZMB
33	31136 53522	 * 	177.24	ACR|3DMG|1AART|3CDMG|1ZMB	17BEXP|2LHND|37aCDMG|4AART|5RCR|679DMG|7BPWR|8ZMB
34	31136 53114	   	176.84	ACR|2DMG|1AART|1VULN|2CDMG|2DUR	17BEXP|2LHND|37CDMG|4AART|5RCR|67DMG|7BPWR|8aDUR|9VULN
35	31136 51315	   	176.84	ACR|2VULN|1AART|1DMG|2CDMG|2DUR	1aBEXP|2LHND|3aCDMG|4AART|5RCR|6DMG|79VULN|8aDUR|aBPWR
36	31136 56111	 * 	176.48	ACR|2AART|2DMG|1VULN|1CDMG|1DUR	1BEXP|2LHND|3CDMG|47AART|5RCR|6aDMG|8DUR|9VULN
37	15232 15347	   	176.10	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|2LIT|3MBVNT|45VULN|67DMG|8CDMG|9RCR|aAART
38	62212 33453	   	176.10	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1FEWX|2ERES|39VULN|4ASPD|58DMG|6AART|7CDMG|aRCR
39	11131 56611	 * 	176.06	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	1DUR|2LHND|3CDMG|47AART|5FEWX|6aDMG|8RCR|9VULN
40	11133 66611	   	176.06	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	1DUR|2LHND|3CDMG|47AART|5aDMG|6FEWX|8RCR|9VULN
41	15232 14141	 * 	176.05	DCR|3VULN|3DMG|2DUR	17DUR|2LIT|3MBVNT|457VULN|67aDMG|7BPWR|8LWND|9RCR
42	15232 14541	   	176.05	DCR|3VULN|3DMG|2DUR	17DUR|2LIT|3MBVNT|457VULN|67aDMG|7BPWR|8FEWX|9RCR
43	14652 32311	   	176.03	ACR|3VULN|1AART|1DMG|2DUR	19DUR|29CGEN|3RCR|4TLV|5DMG|6AART|79aVULN|8BELT|9BPWR
44	12652 32311	   	175.83	ACR|3VULN|1AART|1DMG|2DUR	19DUR|29ERES|3RCR|4TLV|5DMG|6AART|79aVULN|8BELT|9BPWR
45	32612 36242	   	175.78	ACR|3DMG|1AART|1VULN|1DUR|1ASPD	16BEXP|2ERES|3RCR|4ASPD|567DMG|6BPWR|8VULN|9AART|aDUR
46	31136 51111	   	175.68	ACR|2VULN|2DMG|1AART|1CDMG	1BEXP|2LHND|3CDMG|4AART|5RCR|6aDMG|79VULN|8LWND
