0	Index      	 *	Score 	Summary	Detail	
1	16251 31134	 * 	201.38	ACR|3DMG|2VULN|1AART|2ZMB|1DUR	18VULN|25ZMB|3RCR|45aDMG|5BPWR|6LIT|7DUR|9AART
2	16251 16222	 * 	199.76	ACR|2VULN|2DMG|3ZMB|1AART|1ASPD	19VULN|257ZMB|3RCR|45DMG|5BPWR|6MBVNT|8AART|aASPD
3	16251 31136	 * 	199.38	ACR|2VULN|2DMG|1AART|2ZMB|1CDMG|1DUR	18VULN|25ZMB|3RCR|45DMG|5BPWR|6LIT|7DUR|9AART|aCDMG
4	16251 31132	   	199.26	ACR|2VULN|2DMG|3ZMB|1AART|1DUR	18VULN|25aZMB|3RCR|45DMG|5BPWR|6LIT|7DUR|9AART
5	16253 16421	 * 	197.72	ACR|3VULN|2DMG|3ZMB|1CDMG	158VULN|278ZMB|3RCR|48DMG|6MBVNT|8BPWR|9ERES|aCDMG
6	16251 12722	 * 	197.64	ACR|3DMG|2VULN|2CDMG|2ZMB|1ASPD	1aVULN|25ZMB|3RCR|45aDMG|5aBPWR|6MBVNT|7CGEN|8ASPD|9aCDMG
7	16251 17422	   	197.64	ACR|3DMG|2VULN|2CDMG|2ZMB|1ASPD	1aVULN|25ZMB|3RCR|45aDMG|5aBPWR|6MBVNT|7ASPD|8MLV|9aCDMG
8	16253 31134	 * 	197.43	ACR|3VULN|2DMG|1AART|1ZMB|1DUR	158VULN|2ZMB|3RCR|4aDMG|6LIT|7DUR|9AART
9	16251 31421	 * 	197.33	ACR|3DMG|3ZMB|1AART|1VULN|1DUR	1VULN|25aZMB|3RCR|458DMG|5BPWR|6LIT|7DUR|9AART
10	16251 13524	   	196.62	ACR|3DMG|2VULN|2ZMB|1CDMG|2DUR	1aVULN|25ZMB|3RCR|45aDMG|5aBPWR|6MBVNT|7LHND|8CDMG|9aDUR
11	16251 16231	 * 	195.82	ACR|2DMG|3ZMB|1AART|1VULN|1CDMG|1DUR	1VULN|257ZMB|3RCR|45DMG|5BPWR|6MBVNT|8AART|9DUR|aCDMG
12	11451 52322	 * 	195.67	DCR|3VULN|3DMG|1FLTHEA|1ZMB	159VULN|2BEXP|3ZMB|45aDMG|5BPWR|6RCR|7CGEN|8FLTHEA
13	11451 52331	   	195.67	DCR|3VULN|3DMG|1FLTHEA|1ZMB	15aVULN|2BEXP|3ZMB|459DMG|5BPWR|6RCR|7CGEN|8FLTHEA
14	16351 52322	   	195.67	DCR|3VULN|3DMG|1FLTHEA|1ZMB	159VULN|2ZMB|3BEXP|45aDMG|5BPWR|6RCR|7CGEN|8FLTHEA
15	16351 52331	   	195.67	DCR|3VULN|3DMG|1FLTHEA|1ZMB	15aVULN|2ZMB|3BEXP|459DMG|5BPWR|6RCR|7CGEN|8FLTHEA
16	16251 14634	   	194.94	ACR|3DMG|2VULN|1AART|2ZMB	19VULN|25ZMB|3RCR|45aDMG|5BPWR|6MBVNT|7BEXP|8AART
17	16251 11634	   	194.84	ACR|3DMG|2VULN|1AART|2ZMB	19VULN|25ZMB|3RCR|45aDMG|5BPWR|6MBVNT|7DUST|8AART
18	16251 32134	   	194.44	ACR|3DMG|2VULN|1AART|2ZMB	18VULN|25ZMB|3RCR|45aDMG|5BPWR|6LIT|7FEWX|9AART
19	16223 52312	 * 	194.09	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	14aVULN|2ZMB|3RCR|5LHND|6CDMG|7DMG|8AART|9ASPD
20	16221 52312	   	193.99	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	14aVULN|2ZMB|3RCR|5DUST|6CDMG|7DMG|8AART|9ASPD
21	16225 52312	   	193.99	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	14aVULN|2ZMB|3RCR|5LEGI|6CDMG|7DMG|8AART|9ASPD
22	16253 12722	 * 	193.69	ACR|3VULN|2DMG|2CDMG|1ZMB|1ASPD	15aVULN|2ZMB|3RCR|4aDMG|6MBVNT|7CGEN|8ASPD|9aCDMG|aBPWR
23	16253 17422	   	193.69	ACR|3VULN|2DMG|2CDMG|1ZMB|1ASPD	15aVULN|2ZMB|3RCR|4aDMG|6MBVNT|7ASPD|8MLV|9aCDMG|aBPWR
24	11451 52332	 * 	193.67	DCR|3DMG|2VULN|1CDMG|1FLTHEA|1ZMB	15VULN|2BEXP|3ZMB|459DMG|5BPWR|6RCR|7CGEN|8FLTHEA|aCDMG
25	16351 52332	   	193.67	DCR|3DMG|2VULN|1CDMG|1FLTHEA|1ZMB	15VULN|2ZMB|3BEXP|459DMG|5BPWR|6RCR|7CGEN|8FLTHEA|aCDMG
26	16253 31136	   	193.49	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	158VULN|2ZMB|3RCR|4DMG|6LIT|7DUR|9AART|aCDMG
