0	Index      	 *	Score 	Summary	Detail	
1	35321 16612	 * 	183.31	DCR|3VULN|3DMG|2ZMB|1DUR	1RMIN|248DMG|3FEWX|58ZMB|678VULN|8BPWR|9DUR|aRCR
2	31341 35521	 * 	183.10	DCR|2AART|2VULN|2DMG|1DUR	1RMIN|2aCGEN|36AART|4aVULN|5DUST|7RCR|8DUR|9aDMG|aBPWR
3	31342 44121	 * 	182.87	DCR|3VULN|2DMG|1AART	1RMIN|2aCGEN|3AART|47aVULN|5LHND|6RCR|8LWND|9aDMG|aBPWR
4	31342 46121	   	182.87	DCR|3VULN|2DMG|1AART	1RMIN|2aCGEN|3AART|48aVULN|5LHND|6RCR|7FEWX|9aDMG|aBPWR
5	32325 16225	 * 	182.86	DCR|3DMG|2VULN|2CDMG|2DUR	1RMIN|2aDUR|3CGEN|459DMG|6aVULN|7aCDMG|8RCR|aBPWR
6	31341 44121	   	182.77	DCR|3VULN|2DMG|1AART	1RMIN|2aCGEN|3AART|47aVULN|5DUST|6RCR|8LWND|9aDMG|aBPWR
7	31341 46121	   	182.77	DCR|3VULN|2DMG|1AART	1RMIN|2aCGEN|3AART|48aVULN|5DUST|6RCR|7FEWX|9aDMG|aBPWR
8	31341 46221	 * 	182.77	DCR|3DMG|2VULN|1AART	1RMIN|2aCGEN|3AART|4aVULN|5DUST|6RCR|7FEWX|89aDMG|aBPWR
9	31342 44321	   	182.77	DCR|3VULN|2DMG|1AART	1RMIN|2aCGEN|3AART|47aVULN|5LHND|6RCR|8DUST|9aDMG|aBPWR
10	53312 14332	   	182.77	DCR|3DMG|2VULN|1AART	148MLV|248DMG|3AART|48BPWR|58DUST|6RCR|7DMSP|9aVULN
11	32225 16225	   	182.76	DCR|3DMG|2VULN|2CDMG|2DUR	1RMIN|2aDUR|3TLV|459DMG|6aVULN|7aCDMG|8RCR|aBPWR
12	44112 11352	   	182.27	DCR|3VULN|2DMG|1AART	189BEXP|29DMG|3RCVC|4AART|5RMIN|6RCR|79aVULN|9BPWR
13	24323 11126	   	181.47	DCR|3DMG|2VULN|1AART	1LHND|249DMG|3CGEN|5AART|6RCR|7aVULN|8LWND
14	24323 11326	   	181.47	DCR|3DMG|2VULN|1AART	1LHND|249DMG|3CGEN|5AART|6RCR|7aVULN|8BEXP
15	14321 16225	 * 	180.73	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB	1LWND|249DMG|3CGEN|5ZMB|6VULN|7CDMG|8RCR|aAART
16	24321 16225	   	180.73	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB	1LHND|249DMG|3CGEN|5ZMB|6VULN|7CDMG|8RCR|aAART
17	14221 16225	   	180.63	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB	1LWND|249DMG|3TLV|5ZMB|6VULN|7CDMG|8RCR|aAART
18	24221 16225	   	180.63	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB	1LHND|249DMG|3TLV|5ZMB|6VULN|7CDMG|8RCR|aAART
19	53312 11246	 * 	180.56	DCR|2VULN|2DMG|1AART|1CDMG	14MLV|24DMG|3AART|4BPWR|5DUST|6RCR|7aVULN|8NUKE|9CDMG
20	35621 23232	   	180.02	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1RMIN|249DMG|3DUR|5ZMB|6RCR|7LWND|8AART|aVULN
21	31352 44121	 * 	179.45	DCR|2VULN|2DMG|1AART|2DUR	1RMIN|2aCGEN|3AART|4aDUR|5LHND|6RCR|78VULN|9aDMG|aBPWR
22	24323 11246	   	179.36	DCR|2VULN|2DMG|1AART|1CDMG	1LHND|24DMG|3CGEN|5AART|6RCR|7aVULN|8NUKE|9CDMG
23	31351 44121	   	179.35	DCR|2VULN|2DMG|1AART|2DUR	1RMIN|2aCGEN|3AART|4aDUR|5DUST|6RCR|78VULN|9aDMG|aBPWR
24	24223 11246	   	179.26	DCR|2VULN|2DMG|1AART|1CDMG	1LHND|24DMG|3TLV|5AART|6RCR|7aVULN|8NUKE|9CDMG
25	11411 44232	 * 	179.18	DCR|4VULN|1AART|1DMG	1LWND|2LHND|3AART|457aVULN|6RCR|8CGEN|9DMG
26	35621 21236	   	178.60	DCR|3DMG|2VULN|2DUR|1ZMB	1RMIN|24aDMG|3aDUR|5ZMB|6RCR|7NUKE|8LWND|9aVULN|aBPWR
27	35621 22511	   	178.60	DCR|3DMG|2VULN|2DUR|1ZMB	1RMIN|24aDMG|3aDUR|5ZMB|6RCR|7ERES|8DMSP|9aVULN|aBPWR
28	53314 11132	   	178.56	DCR|2AART|2VULN|2DMG	14MLV|24DMG|39AART|4BPWR|5FEWX|6RCR|7aVULN|8LWND
29	31346 14121	 * 	178.49	ACR|3VULN|2DMG|1AART	1RMIN|2aCGEN|3AART|47aVULN|5RCR|6BEXP|8LWND|9aDMG|aBPWR
30	31346 16121	   	178.49	ACR|3VULN|2DMG|1AART	1RMIN|2aCGEN|3AART|48aVULN|5RCR|6BEXP|7FEWX|9aDMG|aBPWR
31	31346 36121	   	178.49	ACR|3VULN|2DMG|1AART	1RMIN|2aCGEN|3AART|48aVULN|5RCR|6LWND|7FEWX|9aDMG|aBPWR
32	53312 11132	   	178.46	DCR|2AART|2VULN|2DMG	14MLV|24DMG|39AART|4BPWR|5DUST|6RCR|7aVULN|8LWND
33	31346 14321	   	178.39	ACR|3VULN|2DMG|1AART	1RMIN|2aCGEN|3AART|47aVULN|5RCR|6BEXP|8DUST|9aDMG|aBPWR
34	31346 24121	   	178.39	ACR|3VULN|2DMG|1AART	1RMIN|2aCGEN|3AART|47aVULN|5RCR|6DUST|8LWND|9aDMG|aBPWR
35	31346 26121	   	178.39	ACR|3VULN|2DMG|1AART	1RMIN|2aCGEN|3AART|48aVULN|5RCR|6DUST|7FEWX|9aDMG|aBPWR
