0	Index      	 *	Score 	Summary	Detail	
1	63325 61332	 * 	201.16	DCR|4VULN|2DMG|2ASPD|1ZMB|1DUR	139aVULN|23ASPD|3aBPWR|4aDMG|5DUR|6RCR|7ZMB|8aBEXP
2	31354 81532	 * 	197.52	DCR|3VULN|2DMG|1AART|3DUR	137DUR|2MBVNT|48aVULN|5AART|6RCR|9aDMG|aBPWR
3	15313 62361	 * 	197.48	DCR|4VULN|3ZMB|1AART|1DUR|1ASPD	139ZMB|2379VULN|39BPWR|4DUR|5ASPD|6RCR|89LWND|aAART
4	15325 14842	 * 	197.14	DCR|3VULN|2DMG|3ZMB|2ASPD|1DUR	13aZMB|23aVULN|3aBPWR|48DMG|5DUR|6MBVNT|7aASPD|9RCR
5	31253 51173	 * 	196.99	ACR|4VULN|3DMG|3DUR	19aDUR|2MBVNT|389aVULN|49aDMG|5RCR|6DMSP|7RMIN|9aBPWR
6	63321 62622	 * 	196.04	DCR|4VULN|1AART|3ASPD|1DMG	137aVULN|23aASPD|3aBPWR|4DMG|5DUST|6RCR|8AART|9aTLV
7	15313 61263	 * 	195.89	DCR|3VULN|3ZMB|1AART|2ASPD|2DUR	13aZMB|238VULN|3aBPWR|4aDUR|5aASPD|6RCR|7RPLT|9AART
8	63321 62361	   	195.04	DCR|4VULN|1AART|3ASPD|1DMG	1379VULN|239ASPD|39BPWR|4DMG|5DUST|6RCR|89LWND|aAART
9	63321 61332	   	194.12	DCR|4VULN|2DMG|2ASPD|1ZMB	139aVULN|23ASPD|3aBPWR|4aDMG|5DUST|6RCR|7ZMB|8aBEXP
10	15325 18442	 * 	193.66	DCR|4VULN|3ZMB|1DMG|2ASPD|1DUR	13aZMB|237aVULN|3aBPWR|4DMG|5DUR|6MBVNT|8aASPD|9RCR
11	15313 63311	 * 	193.45	DCR|2VULN|2DMG|1AART|2ZMB|1DUR|1ASPD	13ZMB|23VULN|3BPWR|4DUR|5ASPD|6RCR|7AART|8LHND|9aDMG
12	15313 63411	   	193.35	DCR|2VULN|2DMG|1AART|2ZMB|1ASPD|1DUR	13ZMB|23VULN|3BPWR|4DUR|5ASPD|6RCR|7AART|8DUST|9aDMG
13	31354 81832	 * 	193.31	DCR|2AART|2VULN|2DMG|3DUR	137DUR|2MBVNT|4aVULN|58AART|6RCR|9aDMG|aBPWR
14	61257 41443	 * 	192.35	DCR|5VULN|2DMG|2ZMB	1345aVULN|2MBVNT|6LHND|7aDMG|8RCR|9aZMB|aBPWR
15	61471 43842	 * 	192.32	DCR|2AART|2DMG|2VULN|2ZMB	1aVULN|2MBVNT|3CGEN|49AART|5aZMB|6aDMG|7RCR|8RCVC|aBPWR
16	63322 54332	   	191.72	DCR|4VULN|2DMG|2ASPD|1ZMB	139aVULN|23ASPD|3aBPWR|4aDMG|5ZMB|6DUST|7RCR|8aBEXP
17	15333 62161	   	190.34	DCR|4VULN|3ZMB|1AART|1ASPD	139ZMB|2379VULN|39BPWR|4LWND|5ASPD|6RCR|89DUST|aAART
18	15321 14842	   	190.10	DCR|3VULN|2DMG|3ZMB|2ASPD	13aZMB|23aVULN|3aBPWR|48DMG|5DUST|6MBVNT|7aASPD|9RCR
19	63325 11842	 * 	189.92	DCR|3VULN|2DMG|3ASPD|2ZMB|1DUR	13aVULN|23aASPD|3aBPWR|48DMG|5DUR|6MBVNT|7aZMB|9RCR
20	15313 63252	 * 	189.51	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG|1DUR|1ASPD	13ZMB|23VULN|3BPWR|4DUR|5ASPD|6RCR|7AART|8LIT|9CDMG|aDMG
21	64213 63311	   	189.49	DCR|2VULN|2DMG|1AART|1ZMB|1DUR|1ASPD	12VULN|3ZMB|4DUR|5ASPD|6RCR|7AART|8LHND|9aDMG
22	63321 62212	 * 	189.16	DCR|5VULN|1DMG|2ASPD|1ZMB	13789VULN|23ASPD|3BPWR|4DMG|5DUST|6RCR|aZMB
23	63325 61312	   	188.66	DCR|3VULN|2DMG|2ASPD|1ZMB|1DUR	13aVULN|23ASPD|3aBPWR|4aDMG|5DUR|6RCR|7ZMB|8aBEXP|9RCVC
24	15321 54332	   	188.39	DCR|3VULN|2DMG|3ZMB|1ASPD	13aZMB|239VULN|3aBPWR|4aDMG|5DUST|6ASPD|7RCR|8aBEXP
25	15363 12121	 * 	188.37	DCR|4VULN|2DMG|2ZMB|1CDMG	13ZMB|2369VULN|3BPWR|4CDMG|58DMG|7LHND|aRCR
26	15363 14121	   	188.37	DCR|4VULN|2DMG|2ZMB|1CDMG	13ZMB|2369VULN|3BPWR|4CDMG|58DMG|7LWND|aRCR
27	15321 24512	 * 	188.27	DCR|3VULN|3ZMB|1AART|1DMG	13aZMB|23aVULN|3aBPWR|4DMG|5DUST|69aCGEN|7RCR|8AART
28	15321 24532	   	188.17	DCR|3VULN|3ZMB|1AART|1DMG	13aZMB|23aVULN|3aBPWR|4DMG|59DUST|6aCGEN|7RCR|8AART
29	15361 11223	 * 	188.16	DCR|4VULN|3ZMB|1AART|1CDMG	138ZMB|2368VULN|38BPWR|4CDMG|5ERES|78CGEN|9AART|aRCR
30	31253 44172	 * 	188.13	ACR|2VULN|2DMG|1AART|3DUR|2ASPD	179DUR|2MBVNT|38VULN|49DMG|5RCR|69ASPD|9BPWR|aAART
31	15313 62163	   	187.73	DCR|4VULN|3ZMB|1CDMG|1DUR|1ASPD	139ZMB|2379VULN|39BPWR|4DUR|5ASPD|6RCR|89DUST|aCDMG
32	15322 41511	 * 	187.45	DCR|3VULN|3ZMB|1DMG|1FLTHEA|2DUR	139ZMB|239VULN|39BPWR|4DMG|5RPLT|6FLTHEA|79DUR|8RCR|aBELT
33	15322 41512	   	187.45	DCR|3VULN|3ZMB|1DMG|1FLTHEA|2DUR	139ZMB|239VULN|39BPWR|4DMG|5RPLT|6FLTHEA|79DUR|8RCR|aFEWX
34	15322 41513	   	187.35	DCR|3VULN|3ZMB|1DMG|1FLTHEA|2DUR	139ZMB|239VULN|39BPWR|4DMG|5RPLT|6FLTHEA|79DUR|8RCR|aDUST
35	63321 61532	   	186.63	DCR|3VULN|1AART|1DMG|2ASPD|1ZMB	13aVULN|23ASPD|3BPWR|4DMG|5DUST|6RCR|7ZMB|8AART|9LIT
36	15333 63311	   	186.51	DCR|2VULN|2DMG|1AART|2ZMB|1ASPD	13ZMB|23VULN|3BPWR|4LWND|5ASPD|6RCR|7AART|8LHND|9aDMG
37	32243 41531	   	186.49	DCR|2VULN|2DMG|1AART|1ZMB|1DUR|1ASPD	1DUR|2LWND|39VULN|4aDMG|5ZMB|6ASPD|7RCR|8AART
38	15333 63411	   	186.41	DCR|2VULN|2DMG|1AART|2ZMB|1ASPD	13ZMB|23VULN|3BPWR|4LWND|5ASPD|6RCR|7AART|8DUST|9aDMG
39	61583 41332	 * 	186.33	ACR|3VULN|2DMG|2ZMB|2ASPD|1DUR	19aVULN|2MBVNT|3aASPD|4DUR|5RCR|68DMG|7aZMB|aBPWR
40	63322 34351	 * 	186.27	DCR|2VULN|2DMG|1AART|2ASPD|1ZMB	13VULN|23ASPD|3BPWR|4aDMG|5ZMB|6LWND|7RCR|8AART|9LHND
41	63322 34341	   	186.17	DCR|2VULN|2DMG|1AART|2ASPD|1ZMB	13VULN|23ASPD|3BPWR|4aDMG|5ZMB|6LWND|7RCR|8AART|9DUST
42	63321 62252	 * 	185.92	DCR|4VULN|1DMG|2ASPD|1CDMG|1DUR	1378VULN|23ASPD|3BPWR|4DMG|5DUST|6RCR|9DUR|aCDMG
43	34253 61332	   	185.64	DCR|3VULN|2DMG|2DUR|1ZMB|1ASPD	1aDUR|239VULN|4aDMG|5ASPD|6RCR|7ZMB|8aBEXP|aBPWR
44	61184 32842	 * 	185.61	DCR|3VULN|3DMG|2ZMB|1DUR	17aVULN|2MBVNT|3RMIN|4DUR|5aZMB|68aDMG|9RCR|aBPWR
45	61263 41442	   	185.61	DCR|3VULN|3DMG|2ZMB|1ASPD	13aVULN|2MBVNT|48aDMG|5ASPD|6BEXP|7aZMB|9RCR|aBPWR
46	63321 51334	   	185.28	DCR|3VULN|1AART|3ASPD|1DMG|1DUR	139VULN|236ASPD|3BPWR|4DMG|5DUST|7RCR|8DUR|aAART
47	15313 63612	   	185.18	DCR|3VULN|3ZMB|1AART|1DUR|1ASPD	13aZMB|23aVULN|3aBPWR|4DUR|5ASPD|6RCR|7AART|89aCGEN
48	63325 63311	   	185.10	DCR|2VULN|2DMG|1AART|2ASPD|1DUR	13VULN|23ASPD|3BPWR|49DMG|5DUR|6RCR|7AART|8LHND|aERES
49	63325 63312	   	185.10	DCR|2VULN|2DMG|1AART|2ASPD|1DUR	13VULN|23ASPD|3BPWR|49DMG|5DUR|6RCR|7AART|8LHND|aDUST
50	63325 63313	   	185.10	DCR|2VULN|2DMG|1AART|2ASPD|1DUR	13VULN|23ASPD|3BPWR|49DMG|5DUR|6RCR|7AART|8LHND|aDLOT
