0	Index      	 *	Score 	Summary	Detail	
1	32622 64132	 * 	203.49	DCR|2VULN|2DMG|1AART|1ASPD	149BEXP|2aDMG|3AART|5ASPD|6aVULN|7RCR|8aLWND|aBPWR
2	33534 12325	 * 	198.12	DCR|3VULN|2AART|1ZMB|1DUR	1BEXP|2ZMB|3CGEN|48aVULN|59AART|6DUR|7RCR
3	15422 43331	 * 	196.81	ACR|3ASPD|2VULN|2DMG|1CDMG	1RPLT|239ASPD|39BPWR|4RCR|59VULN|6BEXP|7LIT|89DMG|aCDMG
4	15422 53331	   	196.81	ACR|3ASPD|2VULN|2DMG|1CDMG	1RPLT|239ASPD|39BPWR|4RCR|59VULN|6FEWX|7LIT|89DMG|aCDMG
5	15422 23331	   	196.71	ACR|3ASPD|2VULN|2DMG|1CDMG	1RPLT|239ASPD|39BPWR|4RCR|59VULN|6LIT|7DUST|89DMG|aCDMG
6	32625 33138	 * 	195.58	DCR|2VULN|2DMG|1AART|1CDMG	14aBEXP|2aDMG|3AART|5LIT|6CDMG|7MBVNT|8aVULN|9RCR|aBPWR
7	32345 13612	 * 	195.38	DCR|2VULN|2DMG|1MDPS|1AART|1CDMG	1BEXP|24DMG|3FEWX|5aVULN|6MDPS|7AART|8CDMG|9RCR
8	14113 61361	 * 	195.33	DCR|3VULN|3DMG	1RPLT|279BEXP|39aVULN|4LHND|5aAME|6RCR|89aDMG|9aBPWR
9	14112 61361	   	195.13	DCR|3VULN|3DMG	1RPLT|279BEXP|39aVULN|4LHND|5aTLV|6RCR|89aDMG|9aBPWR
10	32345 53123	 * 	193.93	DCR|2DMG|2ASPD|1VULN|1CDMG|1ZMB	1BEXP|24DMG|3FEWX|5VULN|69ASPD|7ZMB|8CDMG|aRCR
11	32534 32231	   	193.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1BEXP|2DMG|3CGEN|4aVULN|5AART|6DLOT|7RCR|8DUR|9ASPD
12	46232 22623	 * 	192.98	DCR|3DMG|2VULN|2CDMG	1AME|29CDMG|3LHND|4LWND|59VULN|6LIT|789DMG|9BPWR|aRCR
13	32624 23442	 * 	192.88	DCR|2VULN|2DMG|1AART|2ZMB	147BEXP|2aDMG|3AART|5MBVNT|6aZMB|8aVULN|9RCR|aBPWR
14	12532 15228	 * 	192.66	DCR|2VULN|3CDMG|1ASPD|1DMG	1RPLT|2MLV|368CDMG|46VULN|5MBVNT|6BPWR|7RCR|9ASPD|aDMG
15	13532 15228	   	192.56	DCR|2VULN|3CDMG|1ASPD|1DMG	1RPLT|2TLV|368CDMG|46VULN|5MBVNT|6BPWR|7RCR|9ASPD|aDMG
16	22221 32612	   	191.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1FEWX|2DMG|3DUR|4DUST|5SNIFST|6AART|7ASPD|8RCR|9aVULN
17	22413 32612	   	191.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1FEWX|2DMG|3SPLJET|4DUST|5DUR|6AART|7ASPD|8RCR|9aVULN
