0	Index      	 *	Score 	Summary	Detail	
1	36132 33523	 * 	231.37	DCR|5VULN|2DMG|1AART	1359aVULN|2aLHND|4AART|6aDMG|7RCR|8BELT|aBPWR
2	35161 16112	 * 	224.09	DCR|3VULN|1MDPS|3ZMB|2CDMG|2DUR	179VULN|27CDMG|39DUR|49LWND|578ZMB|6RCR|79BPWR|aMDPS
3	35311 13441	 * 	220.26	DCR|3VULN|1MDPS|1AART|1ASPD|1CDMG|1ZMB|1DUR	138VULN|2CDMG|4MDPS|5ZMB|6RCR|7DUR|9ASPD|aAART
4	36132 33336	 * 	219.38	DCR|4VULN|1AART|1ASPD|1DMG	1359VULN|2LHND|4AART|6DMG|7RCR|8BEXP|aASPD
5	36132 33216	 * 	217.65	DCR|3VULN|2ASPD|1AART|1DMG	135VULN|2LHND|4AART|6DMG|7RCR|8ERES|9aASPD
6	36132 33416	   	217.65	DCR|3VULN|2ASPD|1AART|1DMG	135VULN|2LHND|4AART|6DMG|7RCR|8TLV|9aASPD
7	32232 33523	   	217.11	DCR|4VULN|2DMG|1AART	159aVULN|2RCVC|3aLHND|4AART|6aDMG|7RCR|8BELT|aBPWR
8	36432 33523	   	217.11	DCR|4VULN|2DMG|1AART	159aVULN|2aLHND|3RCVC|4AART|6aDMG|7RCR|8BELT|aBPWR
9	32244 21623	 * 	217.04	DCR|2VULN|2DMG|1AART|1ASPD|2SPLREG	1aVULN|2RCVC|3LHND|4aSPLREG|5ASPD|6AART|7RCR|8BEXP|9aDMG|aBPWR
10	36132 33433	   	216.91	DCR|4VULN|2DMG|1AART	135aVULN|2LHND|4AART|6aDMG|7RCR|8aTLV|9RPLT|aBPWR
11	35311 14133	 * 	215.17	DCR|3VULN|1MDPS|1AART|1DMG|1CDMG|2ZMB	137VULN|2CDMG|4MDPS|58ZMB|6RCR|9AART|aDMG
12	31114 52116	 * 	214.92	DCR|3VULN|2DMG|1AART|1ASPD	138VULN|2DUST|48DMG|58TLV|6AART|7MBVNT|8BPWR|9ASPD|aRCR
13	36132 33211	   	213.77	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	135VULN|2LHND|4AART|6DMG|7RCR|8ERES|9ASPD|aZMB
14	36132 33411	   	213.77	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	135VULN|2LHND|4AART|6DMG|7RCR|8TLV|9ASPD|aZMB
15	36132 33524	   	213.58	DCR|5VULN|1AART|1DMG	1359aVULN|2LHND|4AART|6DMG|7RCR|8BELT
16	35311 12441	   	211.95	DCR|3VULN|1MDPS|1AART|1ASPD|1CDMG|1ZMB	138VULN|2CDMG|4MDPS|5ZMB|6RCR|7FEWX|9ASPD|aAART
17	35311 14333	   	211.95	DCR|3VULN|1MDPS|1AART|1DMG|1CDMG|1ZMB	137VULN|2CDMG|4MDPS|5ZMB|6RCR|8AELBLL|9AART|aDMG
18	35311 14633	   	211.95	DCR|3VULN|1MDPS|1AART|1DMG|1CDMG|1ZMB	137VULN|2CDMG|4MDPS|5ZMB|6RCR|8DMSP|9AART|aDMG
19	35311 14241	   	211.85	DCR|3VULN|1MDPS|1AART|1ASPD|1CDMG|1ZMB	137VULN|2CDMG|4MDPS|5ZMB|6RCR|8DUST|9ASPD|aAART
20	35311 15125	   	211.85	DCR|3VULN|1MDPS|1AART|1DMG|1CDMG|1ZMB	13aVULN|2CDMG|4MDPS|5ZMB|6RCR|7AART|8DUST|9DMG
21	35311 15126	 * 	211.61	DCR|2VULN|1MDPS|2DMG|1AART|1CDMG|1ZMB	13VULN|2CDMG|4MDPS|5ZMB|6RCR|7AART|8DUST|9aDMG
