0	Index      	 *	Score 	Summary	Detail	
1	66126 21122	 * 	211.11	DCR|1SPLARM|2VULN|2ASPD|1AART|1AAC	1aASPD|2LWND|3AAC|4aVULN|5LIT|6RCR|7AART|8SPLARM|9aFEWX|aBPWR
2	63321 11542	 * 	203.91	DCR|4VULN|1ASPD|1DMG|1DUR	1ASPD|2RMIN|3DUR|468aVULN|5FEWX|7RCR|9DMG
3	63322 11542	   	203.81	DCR|4VULN|1ASPD|1DMG|1DUR	1ASPD|2RMIN|3DUR|468aVULN|5DUST|7RCR|9DMG
4	63421 48322	 * 	201.31	DCR|3VULN|1ASPD|1DMG|1CDMG	1ASPD|2RMIN|3RCVC|49aVULN|5MBVNT|6RCR|7CDMG|8DMG
5	33418 42644	 * 	201.10	DCR|2VULN|2AART|2DMG|1AAC	1BEXP|2AAC|3MBVNT|45AART|6RCR|78DMG|9aVULN
6	63531 48322	   	201.01	DCR|3VULN|1ASPD|1DMG|1CDMG	1ASPD|2RMIN|39aVULN|4RCVC|5MBVNT|6RCR|7CDMG|8DMG
7	63146 22112	 * 	200.47	DCR|3VULN|2ASPD|1AART|1AAC	17ASPD|2RMIN|37ERES|467VULN|5AART|7BPWR|8DMSP|9RCR|aAAC
8	63522 11422	 * 	200.10	DCR|4VULN|1ASPD|1CDMG|1DUR	1ASPD|2RMIN|359aVULN|4CDMG|6AME|7RCR|8DUR
9	63522 43321	 * 	199.95	DCR|5VULN|1ASPD|1CDMG|1AAC	1ASPD|2RMIN|35789VULN|4CDMG|6AAC|aRCR
10	63522 11324	 * 	199.72	DCR|3VULN|1AART|1ASPD|1CDMG	1ASPD|28RMIN|359VULN|4CDMG|6AME|7RCR|aAART
11	63325 52113	 * 	199.41	DCR|4VULN|1MDPS|2ASPD|2DUR	17ASPD|2RMIN|37DUR|467aVULN|5MDPS|7BPWR|8LWND|9RCR
12	63325 52313	   	199.41	DCR|4VULN|1MDPS|2ASPD|2DUR	17ASPD|2RMIN|37DUR|467aVULN|5MDPS|7BPWR|8LHND|9RCR
13	63341 52113	   	199.41	DCR|4VULN|1MDPS|2ASPD|2DUR	17ASPD|2RMIN|37DUR|4MDPS|567aVULN|7BPWR|8LWND|9RCR
14	63341 52313	   	199.41	DCR|4VULN|1MDPS|2ASPD|2DUR	17ASPD|2RMIN|37DUR|4MDPS|567aVULN|7BPWR|8LHND|9RCR
15	63323 11533	   	198.40	DCR|3VULN|1ASPD|1DMG|1ZMB|1DUR	1ASPD|2RMIN|3DUR|468VULN|5LHND|7RCR|9DMG|aZMB
16	63522 11521	 * 	197.59	DCR|3VULN|2ASPD|2CDMG	18ASPD|2RMIN|359VULN|4aCDMG|6AME|7RCR
17	63551 44332	   	197.50	DCR|4VULN|1ASPD|1DMG	1ASPD|2RMIN|347aVULN|5MBVNT|6RCR|8LWND|9DMG
18	45413 43434	 * 	197.15	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	19TLV|29DUR|3MBVNT|4AART|5DMG|6LHND|79VULN|8RCR|9BPWR|aASPD
19	63325 52111	 * 	196.49	DCR|3VULN|3ASPD|1MDPS|2DUR	17aASPD|2RMIN|37DUR|467VULN|5MDPS|7BPWR|8LWND|9RCR
20	63325 52311	   	196.49	DCR|3VULN|3ASPD|1MDPS|2DUR	17aASPD|2RMIN|37DUR|467VULN|5MDPS|7BPWR|8LHND|9RCR
21	63341 52111	   	196.49	DCR|3VULN|3ASPD|1MDPS|2DUR	17aASPD|2RMIN|37DUR|4MDPS|567VULN|7BPWR|8LWND|9RCR
22	63341 52311	   	196.49	DCR|3VULN|3ASPD|1MDPS|2DUR	17aASPD|2RMIN|37DUR|4MDPS|567VULN|7BPWR|8LHND|9RCR
23	63221 11542	   	195.60	DCR|4VULN|1ASPD|1DMG	1ASPD|2RMIN|3LWND|468aVULN|5FEWX|7RCR|9DMG
24	62623 11532	   	195.50	DCR|4VULN|1ASPD|1DMG	1ASPD|2DUST|3RMIN|468aVULN|5LHND|7RCR|9DMG
25	63222 11532	   	195.50	DCR|4VULN|1ASPD|1DMG	1ASPD|2RMIN|3LWND|468aVULN|5DUST|7RCR|9DMG
26	63323 11534	   	194.84	DCR|3VULN|1ASPD|1DMG|1AAC|1DUR	1ASPD|2RMIN|3DUR|468VULN|5LHND|7RCR|9DMG|aAAC
27	63522 11411	   	194.58	DCR|3VULN|1ASPD|1CDMG|1ZMB|1DUR	1ASPD|2RMIN|35aVULN|4CDMG|6AME|7RCR|8DUR|9ZMB
28	63522 11423	   	194.58	DCR|3VULN|1ASPD|1CDMG|1ZMB|1DUR	1ASPD|2RMIN|359VULN|4CDMG|6AME|7RCR|8DUR|aZMB
29	33418 42732	   	194.47	DCR|2AART|2DMG|1VULN|2ZMB|1AAC	19BEXP|2AAC|3MBVNT|45AART|6RCR|79DMG|89ZMB|9BPWR|aVULN
30	63321 11522	   	194.18	DCR|4VULN|1ASPD|1ZMB|1DUR	1ASPD|2RMIN|3DUR|468aVULN|5FEWX|7RCR|9ZMB
31	63421 48323	   	193.81	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1ASPD|2RMIN|3RCVC|49VULN|5MBVNT|6RCR|7CDMG|8DMG|aZMB
32	63146 22113	   	193.69	DCR|3VULN|2ASPD|1AART	17ASPD|2RMIN|37ERES|467VULN|5AART|7BPWR|8DMSP|9RCR|aLIT
33	63551 44341	   	193.69	DCR|4VULN|1ASPD|1CDMG	1ASPD|2RMIN|347aVULN|5MBVNT|6RCR|8LWND|9CDMG
34	63146 22111	   	193.59	DCR|3VULN|2ASPD|1AART|1MSE	17ASPD|2RMIN|37ERES|467VULN|5AART|7BPWR|8DMSP|9RCR|aMSE
35	63531 48323	   	193.51	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1ASPD|2RMIN|39VULN|4RCVC|5MBVNT|6RCR|7CDMG|8DMG|aZMB
36	11448 42812	   	193.50	DCR|4VULN|1ASPD|1DMG	1AME|2FEWX|3MBVNT|4DMG|579aVULN|6ASPD|8RCR
37	12448 42812	   	193.40	DCR|4VULN|1ASPD|1DMG	1AME|2DUST|3MBVNT|4DMG|579aVULN|6ASPD|8RCR
38	11448 42112	 * 	193.24	DCR|3VULN|2DMG|1ASPD	1AME|2FEWX|3MBVNT|48DMG|57aVULN|6ASPD|9RCR
39	14448 42112	   	193.24	DCR|3VULN|2DMG|1ASPD	1AME|2BEXP|3MBVNT|48DMG|57aVULN|6ASPD|9RCR
40	12448 42112	   	193.14	DCR|3VULN|2DMG|1ASPD	1AME|2DUST|3MBVNT|48DMG|57aVULN|6ASPD|9RCR
41	33448 42116	   	193.14	DCR|3VULN|2DMG|1ASPD|1AAC	1BEXP|2AAC|3MBVNT|48DMG|57aVULN|6ASPD|9RCR
42	41448 42112	   	193.14	DCR|3VULN|2DMG|1ASPD	1TLV|2FEWX|3MBVNT|48DMG|57aVULN|6ASPD|9RCR
43	42448 42112	   	193.04	DCR|3VULN|2DMG|1ASPD	1TLV|2DUST|3MBVNT|48DMG|57aVULN|6ASPD|9RCR
44	63521 32215	 * 	192.21	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG	17ASPD|2RMIN|37VULN|4CDMG|5LWND|67FEWX|7BPWR|8MDPS|9RCR|aAART
45	33611 61343	 * 	192.09	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1DUR	1BEXP|2AAC|39VULN|4DUR|5LIT|6RCR|7CDMG|8DMG|aAART
46	11448 43844	   	191.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1AME|2FEWX|3MBVNT|4DMG|5aVULN|6ASPD|7DUR|8RCR|9AART
47	33418 42454	   	191.82	DCR|2VULN|2AART|1DMG|1AAC|1DUR	1BEXP|2AAC|3MBVNT|45AART|6RCR|7DMG|8aVULN|9DUR
48	12448 43844	   	191.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1AME|2DUST|3MBVNT|4DMG|5aVULN|6ASPD|7DUR|8RCR|9AART
49	45413 43444	   	191.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1TLV|2DUR|3MBVNT|4AART|5DMG|6LHND|79VULN|8RCR|aASPD
50	63522 11222	   	191.79	DCR|4VULN|1ASPD|1CDMG	1ASPD|2RMIN|359aVULN|4CDMG|6AME|7RCR|8LHND
51	63323 11561	   	191.78	DCR|3VULN|1AART|1ASPD|1DUR	1ASPD|2RMIN|3DUR|468VULN|5LHND|7RCR|9RPLT|aAART
52	63522 11122	   	191.69	DCR|4VULN|1ASPD|1CDMG	1ASPD|2RMIN|359aVULN|4CDMG|6AME|7RCR|8LEGI
53	36411 61313	 * 	191.43	DCR|2DMG|1VULN|1AART|1CDMG|1ZMB	1BEXP|2VULN|3LHND|4ZMB|5LIT|6RCR|7CDMG|89DMG|aAART
54	64324 31221	 * 	191.37	DCR|3ASPD|2VULN|1DMG|1DUR	148ASPD|2BEXP|3DMSP|5DMG|67VULN|9DUR|aRCR
55	36611 61313	   	191.33	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1BEXP|2VULN|3DUST|4ZMB|5LIT|6RCR|7CDMG|89DMG|aAART
56	33418 42483	   	191.05	DCR|2AART|2DMG|1VULN|1AAC|1ZMB	1BEXP|2AAC|3MBVNT|45AART|6RCR|7aDMG|8VULN|9ZMB
57	33448 47111	 * 	191.03	DCR|2VULN|2DMG|2ASPD|1AAC	17BEXP|2AAC|3MBVNT|48DMG|57VULN|67ASPD|7BPWR|9RCR|aRCVC
58	12448 14452	 * 	190.93	DCR|4VULN|2DMG	1AME|2DUST|3MBVNT|49DMG|567aVULN|8RCR
59	63421 44253	   	190.91	DCR|2VULN|1AART|1ASPD|1DMG	1ASPD|2RMIN|3RCVC|47VULN|5MBVNT|6RCR|8DUST|9DMG|aAART
60	33418 42731	 * 	190.75	DCR|2AART|2DMG|1ASPD|2ZMB|1AAC	19BEXP|2AAC|3MBVNT|45AART|6RCR|79DMG|89ZMB|9BPWR|aASPD
61	33418 42734	 * 	190.75	DCR|2AART|2DMG|1NUKE|2ZMB|1AAC	19BEXP|2AAC|3MBVNT|45AART|6RCR|79DMG|89ZMB|9BPWR|aNUKE
62	63531 44253	   	190.61	DCR|2VULN|1AART|1ASPD|1DMG	1ASPD|2RMIN|37VULN|4RCVC|5MBVNT|6RCR|8DUST|9DMG|aAART
63	46633 11332	 * 	190.41	DCR|1AART|1VULN|1DMG|1ASPD|1CDMG|1SPLREG	1TLV|2LWND|3VULN|4SPLREG|5ASPD|6RCR|7CGEN|8DMG|9AART|aCDMG
64	36116 24131	 * 	190.37	DCR|2VULN|1MDPS|3CDMG|1AART|1DMG	18BEXP|28VULN|3MDPS|4TLV|5AART|6DMG|789CDMG|8BPWR|aRCR
65	46633 13332	   	190.31	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1SPLREG	1TLV|2LWND|3VULN|4SPLREG|5ASPD|6RCR|7ERES|8DMG|9AART|aCDMG
66	63522 11522	   	190.16	DCR|3VULN|2ASPD|1CDMG	18ASPD|2RMIN|359VULN|4CDMG|6AME|7RCR|aFEWX
67	63522 11523	   	190.06	DCR|3VULN|2ASPD|1CDMG|1MSE	18ASPD|2RMIN|359VULN|4CDMG|6AME|7RCR|aMSE
68	34421 11313	   	189.99	DCR|3VULN|1AART|1CDMG|1ZMB	1BEXP|2LHND|3LWND|456VULN|7RCR|8AART|9CDMG|aZMB
69	63551 44422	 * 	189.96	DCR|3VULN|1ASPD|1NUKE|1DUR	1ASPD|2RMIN|347VULN|5MBVNT|6RCR|8RPLT|9DUR|aNUKE
70	11448 47112	   	189.83	DCR|2VULN|2DMG|2ASPD	17AME|27FEWX|3MBVNT|48DMG|5aVULN|67ASPD|7BPWR|9RCR
71	33448 43484	   	189.81	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1DUR	1BEXP|2AAC|3MBVNT|4DMG|5aVULN|6ASPD|7DUR|8AART|9RCR
72	36432 11532	 * 	189.80	DCR|5VULN|1DMG	1BEXP|2468aVULN|34LHND|4BPWR|5DUST|7RCR|9DMG
73	33448 47112	   	189.73	DCR|2VULN|2DMG|2ASPD|1AAC	17BEXP|2AAC|3MBVNT|48DMG|57VULN|67ASPD|7BPWR|9RCR|aRMIN
74	33448 47113	   	189.73	DCR|2VULN|2DMG|2ASPD|1AAC	17aBEXP|2AAC|3MBVNT|48DMG|57VULN|67ASPD|7BPWR|9RCR
75	33448 47114	   	189.73	DCR|2VULN|2DMG|2ASPD|1AAC	17BEXP|2AAC|3MBVNT|48DMG|57VULN|67ASPD|7BPWR|9RCR|aLHND
76	34621 11532	   	189.70	DCR|5VULN|1DMG	1BEXP|2LHND|3DUST|4568aVULN|7RCR|9DMG
77	36422 11532	   	189.70	DCR|5VULN|1DMG	1BEXP|2468aVULN|3LHND|5DUST|7RCR|9DMG
78	63541 11212	 * 	189.70	DCR|5VULN|1MDPS|1ASPD	1ASPD|2RMIN|3569aVULN|4MDPS|7RCR|8MLV
79	11448 42118	   	189.63	DCR|2VULN|2DMG|2ASPD	1AME|2FEWX|3MBVNT|48DMG|57VULN|6aASPD|9RCR
80	12448 47112	   	189.63	DCR|2VULN|2DMG|2ASPD	17AME|27DUST|3MBVNT|48DMG|5aVULN|67ASPD|7BPWR|9RCR
81	12448 42118	   	189.53	DCR|2VULN|2DMG|2ASPD	1AME|2DUST|3MBVNT|48DMG|57VULN|6aASPD|9RCR
82	33611 61313	   	189.30	DCR|2DMG|1AART|1VULN|1CDMG|1AAC|1DUR	1BEXP|2AAC|3VULN|4DUR|5LIT|6RCR|7CDMG|89DMG|aAART
83	33418 42641	   	189.03	DCR|2AART|2DMG|1VULN|1AAC|1DUR	1BEXP|2AAC|3MBVNT|45AART|6RCR|78DMG|9VULN|aDUR
84	63321 11541	   	188.06	DCR|3VULN|1ASPD|1DMG|1DUR	1ASPD|2RMIN|3DUR|468VULN|5FEWX|7RCR|9DMG|aBELT
85	63321 11543	   	188.06	DCR|3VULN|1ASPD|1DMG|1DUR	1ASPD|2RMIN|3DUR|468VULN|5FEWX|7RCR|9DMG|aLIT
86	63321 11562	   	188.06	DCR|3VULN|1ASPD|1NUKE|1DUR	1ASPD|2RMIN|3DUR|468VULN|5FEWX|7RCR|9RPLT|aNUKE
87	63323 11531	   	188.06	DCR|3VULN|1ASPD|1DMG|1DUR	1ASPD|2RMIN|3DUR|468VULN|5LHND|7RCR|9DMG|aFEWX
88	63323 11532	   	188.06	DCR|3VULN|1ASPD|1DMG|1DUR	1ASPD|2RMIN|3DUR|468VULN|5LHND|7RCR|9DMG|aBEXP
89	63323 11535	   	188.06	DCR|3VULN|1ASPD|1DMG|1DUR	1ASPD|2RMIN|3DUR|468VULN|5LHND|7RCR|9DMG|aLIT
90	36411 61312	 * 	188.03	DCR|2VULN|2DMG|1CDMG|1ZMB	1BEXP|2aVULN|3LHND|4ZMB|5LIT|6RCR|7CDMG|89DMG
91	63322 11541	   	187.96	DCR|3VULN|1ASPD|1DMG|1DUR	1ASPD|2RMIN|3DUR|468VULN|5DUST|7RCR|9DMG|aBELT
92	63322 11543	   	187.96	DCR|3VULN|1ASPD|1DMG|1DUR	1ASPD|2RMIN|3DUR|468VULN|5DUST|7RCR|9DMG|aLIT
93	63322 11562	   	187.96	DCR|3VULN|1ASPD|1NUKE|1DUR	1ASPD|2RMIN|3DUR|468VULN|5DUST|7RCR|9RPLT|aNUKE
94	63323 11536	   	187.96	DCR|3VULN|1ASPD|1DMG|1DUR|1MSE	1ASPD|2RMIN|3DUR|468VULN|5LHND|7RCR|9DMG|aMSE
95	36611 61312	   	187.93	DCR|2VULN|2DMG|1CDMG|1ZMB	1BEXP|2aVULN|3DUST|4ZMB|5LIT|6RCR|7CDMG|89DMG
96	13522 31636	   	187.86	DCR|3VULN|1AART|1CDMG|1AAC|1DUR	1AME|2RMIN|35aVULN|4CDMG|6AAC|7RCR|8AART|9DUR
97	63322 11642	   	187.86	DCR|3VULN|1ASPD|1DMG|1DUR	1ASPD|2RMIN|3DUR|46aVULN|58DUST|7RCR|9DMG
98	33416 42644	   	187.83	DCR|2VULN|2DMG|1AART|1AAC	1BEXP|2AAC|3MBVNT|4AART|5RCVC|6RCR|78DMG|9aVULN
99	63522 31312	   	187.69	DCR|4VULN|1ASPD|1CDMG	1ASPD|2RMIN|358aVULN|4CDMG|6LEGI|7RPLT|9RCR
100	63161 11352	   	187.60	DCR|3VULN|1AART|1ASPD|1ZMB	1ASPD|2RMIN|3ERES|4ZMB|5MBVNT|6AART|789VULN|aRCR
101	15413 51234	 * 	187.01	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1AME|2DUR|3MBVNT|4AART|5aDMG|6VULN|7ASPD|8TLV|9RCR
102	15415 22334	   	187.01	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1AME|2DUR|3MBVNT|4AART|5TLV|6ASPD|7aDMG|8VULN|9RCR
103	45413 21334	   	187.01	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1TLV|2DUR|3MBVNT|4AART|5aDMG|6ASPD|7MLV|8VULN|9RCR
104	15321 54634	   	186.35	DCR|2VULN|2ASPD|1DMG|1DUR	1AME|2DUR|3DMSP|4aASPD|5MBVNT|6RCR|78VULN|9DMG
105	33416 42844	   	186.32	DCR|2VULN|2AART|1DMG|1AAC	1BEXP|2AAC|3MBVNT|48AART|5RCVC|6RCR|7DMG|9aVULN
106	63522 11211	   	186.28	DCR|3VULN|1ASPD|1CDMG|1ZMB	1ASPD|2RMIN|35aVULN|4CDMG|6AME|7RCR|8LHND|9ZMB
107	63522 11223	   	186.28	DCR|3VULN|1ASPD|1CDMG|1ZMB	1ASPD|2RMIN|359VULN|4CDMG|6AME|7RCR|8LHND|aZMB
108	63521 32212	 * 	186.26	DCR|3VULN|1MDPS|2ASPD|1CDMG	17ASPD|2RMIN|37aVULN|4CDMG|5LWND|67FEWX|7BPWR|8MDPS|9RCR
109	36121 21524	   	186.25	DCR|4VULN|1MDPS|1ASPD|1DUR	1BEXP|2458VULN|3MDPS|6RCVC|7RCR|9DUR|aASPD
110	63522 11111	   	186.18	DCR|3VULN|1ASPD|1CDMG|1ZMB	1ASPD|2RMIN|35aVULN|4CDMG|6AME|7RCR|8LEGI|9ZMB
111	63522 11123	   	186.18	DCR|3VULN|1ASPD|1CDMG|1ZMB	1ASPD|2RMIN|359VULN|4CDMG|6AME|7RCR|8LEGI|aZMB
112	63551 44342	   	186.15	DCR|3VULN|1ASPD|1CDMG|1DUR	1ASPD|2RMIN|347VULN|5MBVNT|6RCR|8LWND|9CDMG|aDUR
113	15321 54641	   	186.15	DCR|3VULN|1ASPD|1CDMG|1DUR	1AME|2DUR|3DMSP|4ASPD|5MBVNT|6RCR|78aVULN|9CDMG
