0	Index      	 *	Score 	Summary	Detail	
1	51211 46231	 * 	200.49	DCR|3ASPD|1AART|1DMG|1CDMG|2DUR	18DUR|28CANARM|3LWND|4CDMG|58aASPD|6RCR|7AART|8BPWR|9DMG
2	11311 44141	 * 	198.01	DCR|2VULN|2ASPD|1AART|1CDMG	1LWND|2CANARM|38VULN|4CDMG|5aASPD|6RCR|7CGEN|9AART
3	11311 46421	   	198.01	DCR|2VULN|2ASPD|1AART|1CDMG	1LWND|2CANARM|39VULN|4CDMG|5aASPD|6RCR|7AART|8RMIN
4	11311 46131	 * 	197.69	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1LWND|2CANARM|3VULN|4CDMG|5aASPD|6RCR|7AART|8DMSP|9DMG
5	11311 46231	   	197.69	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	18LWND|2CANARM|3VULN|4CDMG|5aASPD|6RCR|7AART|9DMG
6	34513 21353	 * 	196.57	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR|1SELL	1LHND|2ASPD|3CDMG|49VULN|5SELL|6DUR|7RCR|8DMG|aZMB
7	11311 54431	   	195.72	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1LWND|2CANARM|3VULN|4CDMG|5aASPD|6RCVC|7AART|8RCR|9DMG
8	61124 32135	 * 	195.56	DCR|2VULN|1MDPS|2DMG|1ASPD|1CDMG	1BELT|25DMG|3MDPS|48VULN|6DUST|7RCR|9CDMG|aASPD
9	61124 32162	   	195.56	DCR|2VULN|1MDPS|2DMG|1ASPD|1CDMG	1BELT|25DMG|3MDPS|48VULN|6DUST|7RCR|9ASPD|aCDMG
10	61522 31122	 * 	194.93	DCR|2DMG|2ASPD|1VULN|1AART	1BELT|29DMG|357ERES|49ASPD|6AART|8RCR|9BPWR|aVULN
11	34513 21351	 * 	193.66	DCR|2VULN|2CDMG|1ASPD|1DMG|1DUR|1SELL	1LHND|2ASPD|3aCDMG|49VULN|5SELL|6DUR|7RCR|8DMG
