0	Index      	 *	Score 	Summary	Detail	
1	12241 33116	 * 	220.22	DCR|3ASPD|1MDPS|3CDMG|1VULN|1DMG|3DUR|1AAC	189DUR|2MDPS|3AAC|4VULN|589ASPD|6RCR|789CDMG|89BPWR|aDMG
2	12534 32262	 * 	219.65	DCR|2MDPS|2VULN|2ASPD|1AART|1ZMB|1DUR	1DUR|2aMDPS|3ZMB|47ASPD|59VULN|6RCR|8AART
3	12541 32262	   	219.65	DCR|2MDPS|2VULN|2ASPD|1AART|1ZMB|1DUR	1DUR|2aMDPS|3ZMB|49VULN|57ASPD|6RCR|8AART
4	12534 33113	 * 	219.18	DCR|1MDPS|3CDMG|3ZMB|1VULN|1ASPD|1DMG|3DUR	189DUR|2MDPS|389ZMB|4ASPD|5VULN|6RCR|789CDMG|89BPWR|aDMG
5	12541 33113	   	219.18	DCR|1MDPS|3CDMG|3ZMB|1VULN|1ASPD|1DMG|3DUR	189DUR|2MDPS|389ZMB|4VULN|5ASPD|6RCR|789CDMG|89BPWR|aDMG
6	12534 33116	 * 	213.34	DCR|1MDPS|2ASPD|3CDMG|3ZMB|1VULN|3DUR	189DUR|2MDPS|389ZMB|4aASPD|5VULN|6RCR|789CDMG|89BPWR
7	12541 33116	   	213.34	DCR|1MDPS|2ASPD|3CDMG|3ZMB|1VULN|3DUR	189DUR|2MDPS|389ZMB|4VULN|5aASPD|6RCR|789CDMG|89BPWR
8	12534 32231	 * 	213.00	DCR|3ASPD|1MDPS|1VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2MDPS|3ZMB|479ASPD|5VULN|6RCR|8AART|aDMG
9	12541 32231	   	213.00	DCR|3ASPD|1MDPS|1VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2MDPS|3ZMB|4VULN|579ASPD|6RCR|8AART|aDMG
10	12234 33111	 * 	212.53	DCR|3VULN|1MDPS|3CDMG|1ASPD|3DUR|1AAC	189DUR|2MDPS|3AAC|4ASPD|589VULN|6RCR|789CDMG|89BPWR|aRCVC
11	12234 33112	   	211.23	DCR|3VULN|1MDPS|3CDMG|1ASPD|3DUR|1AAC	189DUR|2MDPS|3AAC|4ASPD|589VULN|6RCR|789CDMG|89BPWR|aLHND
12	12234 33114	   	211.23	DCR|3VULN|1MDPS|3CDMG|1ASPD|3DUR|1AAC	189DUR|2MDPS|3AAC|4ASPD|589VULN|6RCR|789CDMG|89BPWR|aBEXP
13	12234 33116	   	211.23	DCR|3VULN|1MDPS|3CDMG|1ASPD|3DUR|1AAC	189DUR|2MDPS|3AAC|4ASPD|589VULN|6RCR|789CDMG|89BPWR|aFEWX
14	12234 33113	   	211.13	DCR|3VULN|1MDPS|3CDMG|1ASPD|3DUR|1AAC|1MSE	189DUR|2MDPS|3AAC|4ASPD|589VULN|6RCR|789CDMG|89BPWR|aMSE
15	12234 32262	   	209.22	DCR|2MDPS|2VULN|2ASPD|1AART|1AAC|1DUR	1DUR|2aMDPS|3AAC|47ASPD|59VULN|6RCR|8AART
16	12241 32262	   	209.22	DCR|2MDPS|2VULN|2ASPD|1AART|1AAC|1DUR	1DUR|2aMDPS|3AAC|49VULN|57ASPD|6RCR|8AART
17	51114 41332	 * 	208.75	DCR|3ASPD|2VULN|1AART|3DUR|1SELL	1SELL|29VULN|3RCVC|459DUR|689ASPD|7AART|9BPWR|aRCR
18	12234 33125	 * 	206.21	DCR|2VULN|1MDPS|2CDMG|1ASPD|1DMG|3DUR|1AAC	189DUR|2MDPS|3AAC|4ASPD|58VULN|6RCR|78CDMG|8BPWR|aDMG
19	12234 33124	 * 	205.39	DCR|2MDPS|2VULN|2CDMG|1ASPD|3DUR|1AAC	189DUR|2aMDPS|3AAC|4ASPD|58VULN|6RCR|78CDMG|8BPWR
20	62365 23131	 * 	203.04	DCR|3VULN|1AART|2CDMG|2ZMB|1DUR	17CDMG|2LIT|379VULN|4MBVNT|5AART|67ZMB|7BPWR|8DUR|aRCR
21	12234 32231	   	202.57	DCR|3ASPD|1MDPS|1VULN|1AART|1DMG|1AAC|1DUR	1DUR|2MDPS|3AAC|479ASPD|5VULN|6RCR|8AART|aDMG
22	12241 32231	   	202.57	DCR|3ASPD|1MDPS|1VULN|1AART|1DMG|1AAC|1DUR	1DUR|2MDPS|3AAC|4VULN|579ASPD|6RCR|8AART|aDMG
23	12534 34232	   	202.48	DCR|2MDPS|2ASPD|1VULN|1AART|2ZMB|1DUR	1DUR|2aMDPS|37ZMB|49ASPD|5VULN|6RCR|8AART
24	12541 34232	   	202.48	DCR|2MDPS|2ASPD|1VULN|1AART|2ZMB|1DUR	1DUR|2aMDPS|37ZMB|4VULN|59ASPD|6RCR|8AART
25	12534 33151	   	201.48	DCR|1MDPS|3CDMG|1VULN|1ASPD|1DMG|2DUR|2ZMB	18DUR|2MDPS|38ZMB|4ASPD|5VULN|6RCR|789CDMG|8BPWR|aDMG
26	12541 33151	   	201.48	DCR|1MDPS|3CDMG|1VULN|1ASPD|1DMG|2DUR|2ZMB	18DUR|2MDPS|38ZMB|4VULN|5ASPD|6RCR|789CDMG|8BPWR|aDMG
27	12241 33114	   	201.46	DCR|3ASPD|1MDPS|3CDMG|1VULN|3DUR|1AAC	189DUR|2MDPS|3AAC|4VULN|589ASPD|6RCR|789CDMG|89BPWR|aRCVC
28	12534 33114	   	200.42	DCR|1MDPS|3CDMG|3ZMB|1VULN|1ASPD|3DUR	189DUR|2MDPS|389ZMB|4ASPD|5VULN|6RCR|789CDMG|89BPWR|aRCVC
29	12541 33114	   	200.42	DCR|1MDPS|3CDMG|3ZMB|1VULN|1ASPD|3DUR	189DUR|2MDPS|389ZMB|4VULN|5ASPD|6RCR|789CDMG|89BPWR|aRCVC
30	12534 32213	   	200.30	DCR|2VULN|1MDPS|2ASPD|1AART|1ZMB|1DUR	1DUR|2MDPS|3ZMB|47ASPD|5aVULN|6RCR|8AART|9ERES
31	12534 32228	   	200.30	DCR|2VULN|1MDPS|2ASPD|1AART|1ZMB|1DUR	1DUR|2MDPS|3ZMB|47ASPD|5aVULN|6RCR|8AART|9MBVNT
32	12534 32261	   	200.30	DCR|2VULN|1MDPS|2ASPD|1AART|1ZMB|1DUR	1DUR|2MDPS|3ZMB|47ASPD|59VULN|6RCR|8AART|aERES
