0	Index      	 *	Score 	Summary	Detail	
1	36324 42211	 * 	218.50	DCR|3VULN|2DMG|1MDPS|2ASPD	19aVULN|2MDPS|3RMIN|49ASPD|59DMG|6BELT|7RCR|8MBVNT|9BPWR
2	34123 32262	 * 	218.36	DCR|3VULN|1MDPS|1AART|1ASPD|1DMG	123VULN|2BPWR|4ASPD|5RPLT|6CGEN|7DMG|8AART|9RCR|aMDPS
3	14132 31352	 * 	217.47	DCR|4VULN|1AART|1DMG|1CDMG	1FEWX|2TSLARM|3479VULN|5CDMG|6RCR|8AART|aDMG
4	34123 32265	 * 	217.12	DCR|3VULN|2DMG|1AART|1ASPD	123VULN|2BPWR|4ASPD|5RPLT|6CGEN|7aDMG|8AART|9RCR
5	22532 53531	 * 	214.27	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	19LIT|2FEWX|3AART|49ASPD|5DMG|6CDMG|79VULN|8RCR|9BPWR|aTLV
6	22532 53532	   	214.27	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	19LIT|2FEWX|3AART|49ASPD|5DMG|6CDMG|79VULN|8RCR|9BPWR|aERES
7	22532 53533	   	214.27	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG|1SELL	19LIT|2FEWX|3AART|49ASPD|5DMG|6CDMG|79VULN|8RCR|9BPWR|aSELL
8	36122 21121	 * 	213.64	DCR|2VULN|1MDPS|1AART|2CDMG|1ASPD|1DMG	18VULN|2MDPS|38LHND|48CDMG|5AART|6RMIN|7RCR|8BPWR|9ASPD|aDMG
9	36522 23412	 * 	212.70	DCR|5VULN|3ASPD|1MDPS|1SELL	1678aVULN|2MDPS|346ASPD|5SELL|68BPWR|9RCR
10	31451 21431	 * 	211.94	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG|1DUR	1VULN|2BEXP|3ASPD|4DUR|5FEWX|6RCR|7DMG|8CDMG|9AART|aNUKE
11	33451 21431	   	211.84	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG|1DUR	1VULN|2DUST|3ASPD|4DUR|5FEWX|6RCR|7DMG|8CDMG|9AART|aNUKE
12	31521 21233	 * 	211.51	DCR|3VULN|2DMG|1AART|1CDMG	169VULN|29BEXP|3CDMG|4LEGI|56DMG|69BPWR|79AELBLL|8AART|aRCR
13	36523 22422	 * 	210.13	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG|1DUR	15VULN|2MDPS|34ASPD|6RCR|7DUR|8FEWX|9DMG|aAART
14	31453 23121	 * 	210.13	DCR|2VULN|2ASPD|2CDMG|1DMG|1DUR	15VULN|2BEXP|37ASPD|4DUR|6RCR|89CDMG|aDMG
15	33453 23121	   	210.03	DCR|2VULN|2ASPD|2CDMG|1DMG|1DUR	15VULN|2DUST|37ASPD|4DUR|6RCR|89CDMG|aDMG
16	34123 32261	   	209.87	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	123VULN|2BPWR|4ASPD|5RPLT|6CGEN|7DMG|8AART|9RCR|aZMB
17	31521 23152	 * 	209.55	DCR|2VULN|2AART|2DMG|1CDMG	16VULN|2BEXP|3CDMG|4LEGI|56DMG|6BPWR|7LHND|89AART|aRCR
18	33521 23152	   	209.45	DCR|2VULN|2AART|2DMG|1CDMG	16VULN|2DUST|3CDMG|4LEGI|56DMG|6BPWR|7LHND|89AART|aRCR
19	36122 11121	   	209.28	DCR|2VULN|1MDPS|2CDMG|1AART|1ASPD|1DMG	18VULN|2MDPS|3LHND|48CDMG|5AART|68ERES|7RCR|8BPWR|9ASPD|aDMG
20	36324 42212	   	208.98	DCR|2VULN|2DMG|1MDPS|2ASPD|1DUR	19VULN|2MDPS|3RMIN|49ASPD|59DMG|6BELT|7RCR|8MBVNT|9BPWR|aDUR
21	36522 23413	 * 	208.77	DCR|4VULN|3ASPD|1MDPS|1ZMB|1SELL	1678VULN|2MDPS|346ASPD|5SELL|68BPWR|9RCR|aZMB
22	54132 31353	   	207.74	DCR|4VULN|1AART|1CDMG|1ZMB	1BEXP|2TSLARM|3479VULN|5CDMG|6RCR|8AART|aZMB
23	31144 21311	   	207.65	DCR|3VULN|2DMG|1ASPD|1DUR	18aVULN|2BEXP|3DUR|4FEWX|57DMG|6RCR|9ASPD
24	44132 31353	   	207.64	DCR|4VULN|1AART|1CDMG|1ZMB	1DUST|2TSLARM|3479VULN|5CDMG|6RCR|8AART|aZMB
25	33144 21511	   	207.55	DCR|3VULN|2DMG|1ASPD|1DUR	18aVULN|2DUST|3DUR|4FEWX|57DMG|6RCR|9ASPD
26	34122 36352	 * 	207.54	DCR|4VULN|2ASPD|1AART	1239VULN|2BPWR|48ASPD|5LHND|6AELBLL|7AART|aRCR
27	31154 33632	   	207.23	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	19VULN|2BEXP|39DUR|4AART|5CDMG|6DMSP|7FEWX|89DMG|9BPWR|aRCR
