0	Index      	 *	Score 	Summary	Detail	
1	63243 21521	 * 	211.18	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR|1RMIN	1ERES|2ASPD|34VULN|5RMIN|6ZMB|7RCR|8DMG|9DUR|aAART
2	11535 31323	 * 	207.45	ACR|5VULN|3ASPD|1MDPS|3DUR	1MDPS|2DLOT|3469aVULN|5RCR|79aDUR|89aASPD|9aBPWR
3	11565 31323	   	207.45	ACR|5VULN|3ASPD|1MDPS|3DUR	1MDPS|2DLOT|3469aVULN|49aBPWR|5RCR|79aDUR|89aASPD
4	11116 51321	 * 	206.63	DCR|3VULN|1MDPS|2ASPD|1AART|1RMIN	1MDPS|2DLOT|3RMIN|459VULN|6RCR|79AME|89ASPD|9BPWR|aAART
5	11116 54321	   	206.43	DCR|3VULN|1MDPS|2ASPD|1AART|1RMIN	1MDPS|2DLOT|3RMIN|459VULN|6RCR|79ERES|89ASPD|9BPWR|aAART
6	33213 21451	   	205.44	DCR|2VULN|2ASPD|1AART|1ZMB|1DUR|1RMIN	1AME|24ASPD|38VULN|5RMIN|6ZMB|7RCR|9AART|aDUR
7	53213 21451	   	205.44	DCR|2VULN|2ASPD|1AART|1ZMB|1DUR|1RMIN	1MLV|24ASPD|38VULN|5RMIN|6ZMB|7RCR|9AART|aDUR
8	63213 21451	   	205.34	DCR|2VULN|2ASPD|1AART|1ZMB|1DUR|1RMIN	1ERES|24ASPD|38VULN|5RMIN|6ZMB|7RCR|9AART|aDUR
9	33213 21521	 * 	205.12	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB|1DUR|1RMIN	1AME|24ASPD|3VULN|5RMIN|6ZMB|7RCR|8DMG|9DUR|aAART
10	53213 21521	   	205.12	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB|1DUR|1RMIN	1MLV|24ASPD|3VULN|5RMIN|6ZMB|7RCR|8DMG|9DUR|aAART
11	63213 21521	   	205.02	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB|1DUR|1RMIN	1ERES|24ASPD|3VULN|5RMIN|6ZMB|7RCR|8DMG|9DUR|aAART
12	26143 43752	 * 	204.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LIT|2MBVNT|35VULN|4DMG|6ASPD|7DUR|8CDMG|9AART|aRCR
13	11116 51325	 * 	202.91	DCR|3VULN|1MDPS|2ASPD|1NUKE|1RMIN	1MDPS|2DLOT|3RMIN|459VULN|6RCR|79AME|89ASPD|9BPWR|aNUKE
14	33213 21526	 * 	201.40	DCR|2ASPD|1VULN|1DMG|1NUKE|1ZMB|1DUR|1RMIN	1AME|24ASPD|3VULN|5RMIN|6ZMB|7RCR|8DMG|9DUR|aNUKE
15	53213 21526	   	201.40	DCR|2ASPD|1VULN|1DMG|1NUKE|1ZMB|1DUR|1RMIN	1MLV|24ASPD|3VULN|5RMIN|6ZMB|7RCR|8DMG|9DUR|aNUKE
16	33213 31551	 * 	200.77	DCR|2VULN|2DMG|2ASPD|1AAC|1RMIN	1aAME|24ASPD|3aVULN|5RMIN|6AAC|7RCR|8aDMG|9RPLT|aBPWR
17	53213 31551	   	200.77	DCR|2VULN|2DMG|2ASPD|1AAC|1RMIN	1aMLV|24ASPD|3aVULN|5RMIN|6AAC|7RCR|8aDMG|9RPLT|aBPWR
18	63243 31521	   	200.75	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1DUR|1RMIN	1ERES|2ASPD|34VULN|5RMIN|6AAC|7RCR|8DMG|9DUR|aAART
19	26143 46337	 * 	200.66	DCR|3ASPD|2VULN|2DMG	17LIT|2MBVNT|35VULN|47DMG|678ASPD|7BPWR|9TLV|aRCR
20	63213 31551	   	200.57	DCR|2VULN|2DMG|2ASPD|1AAC|1RMIN	1aERES|24ASPD|3aVULN|5RMIN|6AAC|7RCR|8aDMG|9RPLT|aBPWR
21	22162 12553	 * 	200.34	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB	1LIT|236VULN|4ASPD|5ZMB|7BEXP|8CDMG|9DMG|aRCR
22	63241 11161	 * 	199.28	DCR|3VULN|2DMG|1ASPD	1aERES|2ASPD|34aVULN|5LEGI|6RCVC|7RCR|8RPLT|9aDMG|aBPWR
23	11535 31321	 * 	198.79	ACR|4VULN|1MDPS|2ASPD|1AART|2DUR	1MDPS|2DLOT|3469VULN|5RCR|79DUR|89ASPD|9BPWR|aAART
24	11565 31321	   	198.79	ACR|4VULN|1MDPS|2ASPD|1AART|2DUR	1MDPS|2DLOT|3469VULN|49BPWR|5RCR|79DUR|89ASPD|aAART
25	33216 21451	   	198.50	DCR|2VULN|2ASPD|1AART|1ZMB|1DUR	1AME|24ASPD|38VULN|5CGEN|6ZMB|7RCR|9AART|aDUR
26	33515 21321	 * 	198.41	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	1AME|24ASPD|3DUR|5AART|67VULN|8CDMG|9LIT|aRCR
27	53515 21321	   	198.41	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	1MLV|24ASPD|3DUR|5AART|67VULN|8CDMG|9LIT|aRCR
28	33265 21523	   	198.40	DCR|3VULN|1ASPD|1DMG|1ZMB|1DUR	1AME|2ASPD|35aVULN|4MLV|6ZMB|7RCR|8DMG|9DUR
29	33345 21523	   	198.40	DCR|3VULN|1ASPD|1DMG|1ZMB|1DUR	1AME|2ASPD|3MLV|45aVULN|6ZMB|7RCR|8DMG|9DUR
30	35215 21523	   	198.40	DCR|3VULN|1ASPD|1DMG|1ZMB|1DUR	1AME|2MLV|35aVULN|4ASPD|6ZMB|7RCR|8DMG|9DUR
31	63515 21321	   	198.31	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	1ERES|24ASPD|3DUR|5AART|67VULN|8CDMG|9LIT|aRCR
32	26143 46226	   	198.06	DCR|2VULN|2DMG|2ASPD|1ZMB	17LIT|2MBVNT|35VULN|47DMG|67ASPD|7BPWR|8ERES|9ZMB|aRCR
33	33213 21452	   	197.13	DCR|2VULN|2ASPD|1AART|1ZMB|1RMIN	1AME|24ASPD|38VULN|5RMIN|6ZMB|7RCR|9AART|aRPLT
34	33213 21453	   	197.13	DCR|2VULN|2ASPD|1AART|1ZMB|1RMIN	1AME|24ASPD|38VULN|5RMIN|6ZMB|7RCR|9AART|aLHND
