0	Index      	 *	Score 	Summary	Detail	
1	51251 61122	 * 	308.90	紫紫2易伤2伤害3时间1烈焰减费	19伤害2雷电减费35核4策反679时间89易伤9序列升级a烈焰减费
2	51251 62233	 * 	302.64	紫紫1等级1易伤1伤害1攻速	1伤害2雷电减费35核4策反6时间7随机技能8易伤9攻速a等级
3	51251 63223	 * 	302.49	紫紫2等级2伤害1全技能2策反	19伤害2雷电减费35核49策反6时间7掉矿89等级9序列升级a全技能
4	51251 61123	   	302.49	紫紫2易伤2伤害3时间1暴击	19伤害2雷电减费35核4策反679时间89易伤9序列升级a暴击
5	53362 53123	 * 	293.06	橙2等级3伤害1易伤2攻速1暴击	137伤害2随机矿37序列升级47等级57攻速6技能8易伤9核a暴击
6	51251 34233	   	292.98	紫紫1等级1易伤1伤害1攻速	1伤害2雷电减费35核4策反6随机技能7敌人爆炸8易伤9攻速a等级
7	51251 35233	   	292.98	紫紫1等级1易伤1伤害1攻速	1伤害2雷电减费35核4策反6随机技能7低血量敌人8易伤9攻速a等级
8	51251 23223	   	292.73	紫紫2等级2伤害1全技能2策反	19伤害2雷电减费35核49策反6挖尘7掉矿89等级9序列升级a全技能
9	51251 51223	   	292.73	紫紫2等级2伤害1全技能2策反	19伤害2雷电减费35核49策反6掉矿7挖尘89等级9序列升级a全技能
10	51251 63221	   	291.49	紫紫2等级2伤害2策反	19伤害2雷电减费35核49策反6时间7掉矿89等级9序列升级a敌人爆炸
11	51251 63222	   	291.49	紫紫2等级2伤害2策反	19伤害2雷电减费35核49策反6时间7掉矿89等级9序列升级a雷电
12	53363 11532	 * 	289.22	橙2易伤1等级3伤害2时间1攻速	13a伤害2随机矿3a序列升级4等级5a易伤6攻速7掉矿8a时间9核
13	53362 53121	   	289.07	橙2等级3伤害1易伤2攻速	137伤害2随机矿37序列升级47等级57攻速6技能8易伤9核a时间
14	51251 61121	   	288.84	紫紫2易伤2伤害3时间	19伤害2雷电减费35核4策反679时间89易伤9序列升级a最后敌人
15	51251 53223	   	287.99	紫紫2等级2伤害	19伤害2雷电减费35核4策反69掉矿7挖青89等级9序列升级a时间
16	51251 43133	   	286.04	紫紫1等级1易伤1伤害1暴击	1伤害2雷电减费35核4策反6技能7低血量敌人8易伤9等级a暴击
