0	Index      	 *	Score 	Summary	Detail	
1	11233 56743	 * 	308.30	橙橙1易伤1等级1矿等1伤害1暴击	1最后敌人2易伤3伤害4暴击5掉矿6等级7加一8矿等9a核
2	33422 45233	 * 	300.59	橙橙2矿等1易伤1伤害1暴击	1随机矿2雷电3最后敌人4易伤58矿等69核7暴击a伤害
3	41613 36122	 * 	292.58	橙橙3易伤1攻速	124易伤3低血量敌人5全技能69核7赏金塔8攻速a策反
4	41613 36121	   	292.48	橙橙3易伤1攻速	124易伤3低血量敌人5全技能69核7赏金塔8攻速a风暴减费
5	41613 36123	   	292.48	橙橙3易伤1攻速	124易伤3低血量敌人5全技能69核7赏金塔8攻速a加一
6	11122 16613	   	287.99	橙橙3易伤1伤害	1最后敌人289易伤3雷电减费4金币生成5伤害6平台7a核
7	11215 51213	   	287.99	橙橙3易伤1伤害	1最后敌人269易伤3伤害4平台5金币生成7基地爆炸8a核
8	11215 53213	   	287.99	橙橙3易伤1伤害	1最后敌人269易伤3伤害4平台5金币生成7挖尘8a核
9	11213 51513	   	287.89	橙橙3易伤1伤害	1最后敌人269易伤3伤害4平台5掉矿7基地爆炸8a核
10	11213 53513	   	287.89	橙橙3易伤1伤害	1最后敌人269易伤3伤害4平台5掉矿7挖尘8a核
11	53122 16115	 * 	286.11	橙3易伤1等级2攻速1矿等1技能	14攻速2额外掉落348易伤4序列升级5赏金邻近6技能7等级9矿等a核
12	11626 51213	   	284.82	橙橙3易伤1技能	1最后敌人269易伤3金币生成4平台5技能7基地爆炸8a核
13	11626 53213	   	284.82	橙橙3易伤1技能	1最后敌人269易伤3金币生成4平台5技能7挖尘8a核
14	11315 51213	   	284.18	橙橙3易伤1攻速	1最后敌人269易伤3攻速4平台5金币生成7基地爆炸8a核
15	11315 53213	   	284.18	橙橙3易伤1攻速	1最后敌人269易伤3攻速4平台5金币生成7挖尘8a核
16	53123 22413	 * 	284.17	橙3易伤3攻速1矿等1伤害1暴击	146攻速2额外掉落346易伤46序列升级5立即金币7矿等8伤害9暴击a核
17	11313 51513	   	284.08	橙橙3易伤1攻速	1最后敌人269易伤3攻速4平台5掉矿7基地爆炸8a核
18	11313 53513	   	284.08	橙橙3易伤1攻速	1最后敌人269易伤3攻速4平台5掉矿7挖尘8a核
19	51213 56313	 * 	283.60	橙橙2易伤2攻速	18攻速2时间3敌人爆炸4平台5掉矿69易伤7a核
20	55333 13326	 * 	282.56	橙2易伤2矿等1等级1攻速2随机技能1暴击	1攻速28矿等3挖尘4等级58随机技能6暴击78易伤8序列升级9随机矿a核
21	44412 14143	   	281.22	橙橙2易伤2暴击1技能	16易伤2低血量敌人3挖尘46暴击5加一6序列升级7技能8掉矿9a核
22	33422 45231	   	280.52	橙橙2矿等1易伤1暴击	1随机矿2雷电3最后敌人4易伤58矿等69核7暴击a平台
23	33422 45232	   	280.42	橙橙2矿等1易伤1暴击	1随机矿2雷电3最后敌人4易伤58矿等69核7暴击a掉矿
24	23342 41632	 * 	278.91	橙3易伤3矿等3暴击	135暴击2立即金币35序列升级459矿等68a易伤7核
