0	Index      	 *	Score 	Summary	Detail	
1	51215 51232	 * 	307.58	橙3易伤3矿等2等级	18等级248易伤3敌人爆炸5时间689矿等7随机矿8序列升级a核
2	51111 11155	 * 	303.31	橙橙2易伤1等级1伤害1卖塔	1等级24易伤3低血量敌人5掉矿6卖塔7随机技能8伤害9a核
3	51211 11155	 * 	303.31	橙橙2易伤1等级1伤害1卖塔	1等级24易伤3敌人爆炸5掉矿6卖塔7随机技能8伤害9a核
4	51213 23551	 * 	302.66	橙橙2易伤1等级1矿等	1等级24易伤3敌人爆炸5矿等6额外掉落7烈焰减费8a核9挖青
5	31241 21233	   	301.89	橙3易伤3矿等1等级1技能	189激光对愈2敌人爆炸3技能489矿等5策反6等级789易伤89序列升级a核
6	36241 21233	   	301.79	橙3易伤3矿等1等级1技能	189激光对愈2基地爆炸3技能489矿等5策反6等级789易伤89序列升级a核
7	51114 51232	   	299.17	橙3易伤3矿等2等级	18等级248易伤3低血量敌人5基地爆炸689矿等7随机矿8序列升级a核
8	51214 51232	   	299.17	橙3易伤3矿等2等级	18等级248易伤3敌人爆炸5基地爆炸689矿等7随机矿8序列升级a核
9	51133 63162	 * 	285.66	橙3易伤3等级2矿等	189等级28a易伤3低血量敌人4加一5a矿等6核78a挖尘8a序列升级
10	31441 21233	   	285.00	橙3易伤3矿等1等级	189激光对愈2敌人爆炸3随机矿489矿等5策反6等级789易伤89序列升级a核
11	32441 21233	   	285.00	橙3易伤3矿等1等级	189激光对愈2低血量敌人3随机矿489矿等5策反6等级789易伤89序列升级a核
12	33241 21233	   	285.00	橙3易伤3矿等1等级	189激光对愈2随机矿3最后敌人489矿等5策反6等级789易伤89序列升级a核
13	33441 21233	   	285.00	橙3易伤3矿等1等级	189激光对愈2随机矿3低血量敌人489矿等5策反6等级789易伤89序列升级a核
14	33641 21233	   	285.00	橙3易伤3矿等1等级	189激光对愈2随机矿3敌人爆炸489矿等5策反6等级789易伤89序列升级a核
15	36441 21233	   	284.90	橙3易伤3矿等1等级	189激光对愈2基地爆炸3随机矿489矿等5策反6等级789易伤89序列升级a核
16	13213 11155	   	283.54	橙橙1易伤1等级1伤害1卖塔	1立即金币2时间3易伤4掉矿5等级6卖塔7随机技能8伤害9a核
17	13221 11155	   	283.54	橙橙1易伤1等级1伤害1卖塔	1立即金币2时间3易伤4等级5掉矿6卖塔7随机技能8伤害9a核
18	33511 41233	   	278.47	橙3易伤3等级1矿等1技能	189激光对愈2随机矿389等级4矿等5技能6最后敌人789易伤89序列升级a核
19	33511 61233	   	278.47	橙3易伤3等级1矿等1技能	189激光对愈2随机矿389等级4矿等5技能6低血量敌人789易伤89序列升级a核
20	33513 11233	   	278.47	橙3易伤3等级1矿等1技能	189激光对愈2随机矿389等级4矿等5低血量敌人6技能789易伤89序列升级a核
21	51133 61442	 * 	278.40	橙4易伤1等级1矿等1伤害	1等级289a易伤3低血量敌人4加一5矿等6核7伤害
22	33511 51233	   	278.37	橙3易伤3等级1矿等1技能	189激光对愈2随机矿389等级4矿等5技能6基地爆炸789易伤89序列升级a核
23	33512 11233	   	278.37	橙3易伤3等级1矿等1技能	189激光对愈2随机矿389等级4矿等5基地爆炸6技能789易伤89序列升级a核
