0	Index      	 *	Score 	Summary	Detail	
1	35442 21213	 * 	300.26	DCR|2VULN|2TLV|2LIT|2ASPD|1DMG	17TLV|26ASPD|37VULN|47LIT|5MDPS|7BPWR|8ERES|9RCR|aDMG
2	31352 11414	 * 	298.38	ACR|DCR|2TLV|2LIT|1VULN|3DUR	19TLV|267DUR|36LIT|4RMIN|58RCR|6BPWR|aVULN
3	36232 16262	 * 	297.76	DCR|3VULN|2TLV|1LIT|1MLV	14TLV|2BBNT|3LHND|5LIT|6MLV|78aVULN|9RCR
4	31351 41113	   	297.57	DCR|2VULN|2TLV|2LIT|1DMG|1ASPD	17TLV|2DUR|37LIT|4RMIN|57VULN|6LEGI|7BPWR|8ASPD|9RCR|aDMG
5	31541 41113	   	297.57	DCR|2VULN|2TLV|2LIT|1DMG|1ASPD	17TLV|2DUR|3RMIN|47LIT|57VULN|6LEGI|7BPWR|8ASPD|9RCR|aDMG
6	35124 33232	 * 	296.78	DCR|2TLV|2LIT|2MLV|1DMG|1ASPD|1CDMG	19TLV|2ASPD|39MLV|4DMG|5AIRARM|69LIT|7RPLT|8RCR|9BPWR|aCDMG
7	35125 33232	   	296.78	DCR|2TLV|2LIT|2MLV|1DMG|1ASPD|1CDMG	19TLV|2ASPD|39MLV|4DMG|5MSLFST|69LIT|7RPLT|8RCR|9BPWR|aCDMG
8	34131 23123	 * 	295.94	DCR|2VULN|2TLV|2LIT|1MLV	18TLV|24LIT|3MLV|57VULN|6DUR|9BELT|aRCR
9	23116 42326	 * 	293.76	DCR|DCR|2VULN|1TLV|1ASPD	1DUST|2TBNT|3BBNT|47VULN|5ASPD|68RCR|9RMIN|aTLV
10	34133 33113	 * 	293.69	DCR|2TLV|2LIT|1VULN|1MLV|1DMG|1ASPD	15TLV|24LIT|3MLV|6MDPS|7VULN|8ASPD|9RCR|aDMG
11	34133 33613	   	293.69	DCR|2TLV|2LIT|1VULN|1MLV|1DMG|1ASPD	15TLV|24LIT|3MLV|6MDPS|7VULN|8DMG|9RCR|aASPD
12	35124 33235	   	292.80	DCR|2TLV|2LIT|2MLV|1DMG|1ASPD	19TLV|2ASPD|39MLV|4DMG|5AIRARM|69LIT|7RPLT|8RCR|9BPWR|aBBNT
13	35125 33235	   	292.80	DCR|2TLV|2LIT|2MLV|1DMG|1ASPD	19TLV|2ASPD|39MLV|4DMG|5MSLFST|69LIT|7RPLT|8RCR|9BPWR|aBBNT
14	33226 47352	   	292.22	DCR|2VULN|2TLV|2LIT|1DMG	19TLV|2RMIN|3AART|4DMG|5MBVNT|6BBNT|79VULN|89LIT|9BPWR|aRCR
15	34133 41262	   	291.84	DCR|2VULN|2TLV|2LIT|1MLV	15TLV|24LIT|3MLV|6TBNT|7LWND|8aVULN|9RCR
16	34133 43262	   	291.84	DCR|2VULN|2TLV|2LIT|1MLV	15TLV|24LIT|3MLV|6TBNT|7FEWX|8aVULN|9RCR
17	34133 26262	   	291.74	DCR|2VULN|2TLV|2LIT|1MLV	15TLV|24LIT|3MLV|6DUST|7TBNT|8aVULN|9RCR
18	36411 33261	   	289.71	DCR|2VULN|2TLV|1LIT|2ASPD|1DMG	19TLV|2BBNT|3RCVC|4DMG|59ASPD|6LIT|7AME|89VULN|9BPWR|aRCR
19	33443 21326	   	289.28	DCR|2VULN|2TLV|1LIT|1MLV|1CDMG	15TLV|2RMIN|3aVULN|4LIT|6DUR|7RCR|8MLV|9CDMG
20	34133 33614	   	288.34	DCR|2TLV|2LIT|1VULN|1MLV|1DMG	15TLV|24LIT|3MLV|6MDPS|7VULN|8DMG|9RCR|aRPLT
21	33541 41113	   	287.91	DCR|2VULN|2TLV|2LIT|1DMG|1ASPD	17TLV|2RMIN|3BEXP|47LIT|57VULN|6LEGI|7BPWR|8ASPD|9RCR|aDMG
22	34131 21335	 * 	287.42	DCR|3LIT|2TLV|1VULN|1MLV	1aTLV|249LIT|3MLV|5VULN|6DUR|7RCR|8SNIFST
23	34133 33533	   	287.42	DCR|3LIT|2TLV|1VULN|1MLV	15TLV|24aLIT|3MLV|6MDPS|7VULN|8DUR|9RCR
24	33143 21255	 * 	287.07	DCR|2TLV|2DMG|1LIT|1VULN|1MLV	19TLV|2RMIN|3MLV|4LIT|5aDMG|6DUR|7RCR|8VULN
25	34111 12423	 * 	286.76	DCR|2TLV|2LIT|2MLV|1VULN|1CDMG	18TLV|29LIT|38MLV|4RCVC|5VULN|6CDMG|78ERES|8BPWR|aRCR
26	34131 12433	   	286.66	DCR|2TLV|2LIT|2MLV|1VULN|1CDMG	18TLV|24LIT|38MLV|5VULN|6CDMG|78ERES|8BPWR|9AEFBLL|aRCR
27	34131 21235	 * 	286.42	DCR|2VULN|2LIT|1TLV|1MLV|1DMG|2DUR	1TLV|24LIT|3MLV|58VULN|69DUR|7RCR|aDMG
28	34231 41334	   	286.38	DCR|2VULN|2TLV|2LIT|1MLV	17TLV|27LIT|3BEXP|4ZMB|57VULN|6LEGI|7BPWR|8FEWX|9RCR|aMLV
29	34131 63123	   	286.28	DCR|2VULN|2TLV|2LIT|1MLV	18TLV|24LIT|3MLV|57VULN|6LWND|9BELT|aRCR
30	34631 21326	   	285.88	DCR|2VULN|2LIT|1TLV|1MLV|1ASPD|1CDMG	1TLV|24LIT|3ASPD|5aVULN|6DUR|7RCR|8MLV|9CDMG
31	31351 41114	   	285.81	DCR|2VULN|2TLV|2LIT|1ASPD	17TLV|2DUR|37LIT|4RMIN|57VULN|6LEGI|7BPWR|8ASPD|9RCR|aRPLT
