0	Index      	 *	Score 	Summary	Detail	
1	31326 32322	 * 	296.51	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1BEXP|2LHND|3BELT|4VULN|5TLV|6TBNT|79RCR|8DMG|aLIT
2	13126 42215	 * 	294.42	DCR|DCR|2VULN|1TLV|1DMG	1BBNT|236AME|3BPWR|4DMG|5aVULN|79RCR|8TLV
3	31326 32324	   	290.62	DCR|DCR|2VULN|1TLV|1DMG	1BEXP|2LHND|3BELT|4aVULN|5TLV|6TBNT|79RCR|8DMG
4	12535 22215	   	284.22	DCR|DCR|2VULN|1TLV	1BBNT|2AAC|3LEGI|4aVULN|5DUR|6CGEN|79RCR|8TLV
5	12535 12215	   	284.12	DCR|DCR|2VULN|1TLV	1BBNT|2AAC|3LEGI|4aVULN|5DUR|6AME|79RCR|8TLV
6	11463 15213	 * 	279.62	ACR|DCR|3VULN|1TLV|1DMG	1BBNT|2ERES|39RCR|4MDPS|56aVULN|7DMG|8TLV
7	25633 13532	 * 	279.38	DCR|2TLV|2LIT|2DMG|1MLV|1CDMG	1RMIN|2aDMG|3CDMG|4AAC|5aLIT|6MLV|7DUST|8RCR|9aTLV|aBPWR
8	31326 32321	   	278.06	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1BEXP|2LHND|3BELT|4VULN|5TLV|6TBNT|79RCR|8DMG|aASPD
9	31326 32326	   	274.07	DCR|DCR|1TLV|1VULN|1DMG	1BEXP|2LHND|3BELT|4VULN|5TLV|6TBNT|79RCR|8DMG|aBBNT
10	13126 42216	   	273.77	DCR|DCR|1TLV|1VULN|1DMG	1BBNT|236AME|3BPWR|4DMG|5VULN|79RCR|8TLV|aTBNT
11	12535 42213	 * 	273.39	DCR|DCR|1TLV|1VULN|1MLV	1BBNT|2AAC|3LEGI|4VULN|5DUR|6MLV|79RCR|8TLV|aRMIN
12	12535 42211	   	273.29	DCR|DCR|1TLV|1VULN|1MLV	1BBNT|2AAC|3LEGI|4VULN|5DUR|6MLV|79RCR|8TLV|aDLOT
13	12535 42212	   	273.29	DCR|DCR|1TLV|1VULN|1MLV	1BBNT|2AAC|3LEGI|4VULN|5DUR|6MLV|79RCR|8TLV|aERES
14	25223 54222	 * 	270.95	DCR|2VULN|2DMG|1TLV|1LIT|2CDMG	1RMIN|2aDMG|3LSRREG|4aCDMG|5AAC|6LIT|7TLV|8aVULN|9RCR|aBPWR
15	13126 42213	   	268.22	DCR|DCR|1TLV|1VULN|1DMG	1BBNT|236AME|3BPWR|4DMG|5VULN|79RCR|8TLV|aRMIN
16	13126 42214	   	268.22	DCR|DCR|1TLV|1VULN|1DMG	1BBNT|236AME|3BPWR|4DMG|5VULN|79RCR|8TLV|aLWND
17	13126 42211	   	268.12	DCR|DCR|1TLV|1VULN|1DMG	1BBNT|236AME|3BPWR|4DMG|5VULN|79RCR|8TLV|aDLOT
18	13126 42212	   	268.12	DCR|DCR|1TLV|1VULN|1DMG	1BBNT|236AME|3BPWR|4DMG|5VULN|79RCR|8TLV|aERES
19	11362 51533	 * 	266.79	DCR|2VULN|2LIT|1TLV|3DUR	1BBNT|2ERES|35LIT|457DUR|5BPWR|6aVULN|8TLV|9RCR
20	13362 51533	   	266.79	DCR|2VULN|2LIT|1TLV|3DUR	1BBNT|2AME|35LIT|457DUR|5BPWR|6aVULN|8TLV|9RCR
