0	Index      	 *	Score 	Summary	Detail	
1	36434 32233	 * 	306.79	ACR|DCR|2TLV|2LIT|1VULN|1MLV	13LIT|23TLV|3BPWR|4DUST|5aRCR|6MLV|7ERES|8BEXP|9VULN
2	36232 61142	 * 	304.70	DCR|3VULN|2TLV|2LIT|2CDMG	1aLIT|2aTLV|3BEXP|48CDMG|57aVULN|6RPLT|9RCR|aBPWR
3	36425 12221	 * 	304.29	DCR|2TLV|2LIT|2MLV|1VULN|2DUR|1CDMG	13LIT|23TLV|3BPWR|45MLV|68DUR|7RCR|9VULN|aCDMG
4	36425 12111	 * 	300.65	DCR|3LIT|2TLV|2MLV|1VULN	138LIT|23TLV|3BPWR|45MLV|6DUR|7RCR|9RCVC|aVULN
5	61326 23632	 * 	299.83	DCR|DCR|2TLV|1VULN|1MLV	1DMSP|2BEXP|3VULN|4MLV|5CGEN|6aRCR|79TLV|8RPLT
6	36425 31332	 * 	297.76	DCR|3TLV|2LIT|2MLV|1VULN	13LIT|23aTLV|3BPWR|45MLV|6RCR|7LHND|8VULN|9RPLT
7	36425 11323	   	296.52	DCR|2TLV|2LIT|2MLV|1VULN|1CDMG	13LIT|23TLV|3BPWR|45MLV|6DUR|7CDMG|8VULN|9LHND|aRCR
8	36461 21131	 * 	295.83	DCR|3VULN|3TLV|2LIT|2CDMG	13LIT|235TLV|35BPWR|457VULN|6CGEN|8aCDMG|9RCR
9	36421 12153	   	295.82	DCR|3LIT|2TLV|1VULN|1MLV	138LIT|23TLV|3BPWR|4MLV|5AEFBLL|6DUR|7RCR|9RPLT|aVULN
10	36422 42111	   	295.39	DCR|3LIT|2TLV|1VULN|1MLV|2DUR	138LIT|23TLV|3BPWR|4MLV|56DUR|7RCR|9RCVC|aVULN
11	36421 12226	   	295.29	DCR|3LIT|2TLV|1VULN|1MLV|2DUR	13aLIT|23TLV|3BPWR|4MLV|5AEFBLL|68DUR|7RCR|9VULN
12	36425 31331	   	295.16	DCR|2TLV|2LIT|2MLV|1VULN|1CDMG	13LIT|23TLV|3BPWR|45MLV|6RCR|7LHND|8VULN|9RPLT|aCDMG
