0	Index      	 *	Score 	Summary	Detail	
1	12113 62244	 * 	323.39	ACR|3VULN|3MLV|2TLV|2LIT|1RPLT	1RPLT|2MBVNT|38aVULN|48LIT|5RCR|68aMLV|7AART|8aBPWR|9aTLV
2	12127 22244	 * 	316.91	DCR|DCR|2VULN|1TLV|1DMG|1RPLT|1ASPD	1RPLT|2MBVNT|39VULN|4DMG|5TLV|6LWND|7aRCR|8ASPD
3	12127 54144	   	316.91	DCR|DCR|2VULN|1TLV|1DMG|1RPLT|1ASPD	1RPLT|2MBVNT|39VULN|4DMG|5TLV|6ASPD|7LWND|8aRCR
4	12127 12223	 * 	315.87	DCR|2VULN|2TLV|2LIT|1DMG|1RPLT|1ASPD	1RPLT|2MBVNT|3aVULN|4DMG|5aTLV|6DUR|7RCR|8ASPD|9aLIT|aBPWR
5	11263 12246	 * 	315.49	DCR|DCR|2VULN|1TLV|1LIT|1RPLT	1RPLT|27LWND|3RCVC|47VULN|5RMIN|69RCR|7BPWR|8LIT|aTLV
6	13533 12246	   	315.49	DCR|DCR|2VULN|1TLV|1LIT|1RPLT	1RPLT|2RCVC|37VULN|47FEWX|5RMIN|69RCR|7BPWR|8LIT|aTLV
7	14233 12246	   	315.49	DCR|DCR|2VULN|1TLV|1LIT|1RPLT	1RPLT|27VULN|3RCVC|47FEWX|5RMIN|69RCR|7BPWR|8LIT|aTLV
8	41212 31441	 * 	312.51	DCR|DCR|2LIT|1TLV|1MLV|1DMG	1ZMB|25LIT|3TLV|4BBNT|6MLV|7aRCR|8DMG|9RPLT
9	12127 22234	 * 	308.30	DCR|DCR|2DMG|1TLV|1VULN|1RPLT|1ASPD	1RPLT|2MBVNT|3VULN|49DMG|5TLV|6LWND|7aRCR|8ASPD
10	12127 54134	   	308.30	DCR|DCR|2DMG|1TLV|1VULN|1RPLT|1ASPD	1RPLT|2MBVNT|3VULN|49DMG|5TLV|6ASPD|7LWND|8aRCR
11	12127 22223	   	306.21	DCR|2VULN|2TLV|2LIT|1DMG|1RPLT|1ASPD	1RPLT|2MBVNT|3aVULN|4DMG|5aTLV|6LWND|7RCR|8ASPD|9aLIT|aBPWR
12	12127 42223	   	306.21	DCR|2VULN|2TLV|2LIT|1DMG|1RPLT|1ASPD	1RPLT|2MBVNT|3aVULN|4DMG|5aTLV|6LHND|7RCR|8ASPD|9aLIT|aBPWR
13	12127 54123	   	306.21	DCR|2VULN|2TLV|2LIT|1DMG|1RPLT|1ASPD	1RPLT|2MBVNT|3aVULN|4DMG|5aTLV|6ASPD|7LWND|8RCR|9aLIT|aBPWR
14	12127 56123	   	306.21	DCR|2VULN|2TLV|2LIT|1DMG|1RPLT|1ASPD	1RPLT|2MBVNT|3aVULN|4DMG|5aTLV|6ASPD|7FEWX|8RCR|9aLIT|aBPWR
15	14126 33223	   	306.21	DCR|2VULN|2TLV|2LIT|1DMG|1RPLT|1ASPD	1RPLT|2aVULN|3LEGI|4DMG|5aTLV|6RCR|7LWND|8ASPD|9aLIT|aBPWR
16	14126 35223	   	306.21	DCR|2VULN|2TLV|2LIT|1DMG|1RPLT|1ASPD	1RPLT|2aVULN|3LEGI|4DMG|5aTLV|6RCR|7BEXP|8ASPD|9aLIT|aBPWR
17	14126 36223	   	306.11	DCR|2VULN|2TLV|2LIT|1DMG|1RPLT|1ASPD	1RPLT|2aVULN|3LEGI|4DMG|5aTLV|6RCR|7DUST|8ASPD|9aLIT|aBPWR
18	12113 51113	 * 	300.29	ACR|DCR|3VULN|1TLV|1LIT|1RPLT	1RPLT|2MBVNT|37aVULN|4LIT|58RCR|6MDPS|9TLV
19	12427 12771	   	298.75	DCR|DCR|1TLV|1LIT|1VULN|1RPLT	1RPLT|2MBVNT|3CGEN|4FEWX|5TLV|6DUR|7aRCR|8VULN|9LIT
20	12437 12771	   	298.75	DCR|DCR|1TLV|1LIT|1VULN|1RPLT	1RPLT|2MBVNT|3CGEN|4BEXP|5TLV|6DUR|7aRCR|8VULN|9LIT
21	13562 22242	 * 	298.67	ACR|DCR|2VULN|2LIT|1TLV|1RPLT	1RPLT|2RCVC|34VULN|59RCR|6LWND|7TLV|8aLIT
22	13562 32242	   	298.67	ACR|DCR|2VULN|2LIT|1TLV|1RPLT	1RPLT|2RCVC|34VULN|59RCR|6FEWX|7TLV|8aLIT
23	14262 22242	   	298.67	ACR|DCR|2VULN|2LIT|1TLV|1RPLT	1RPLT|24VULN|3RCVC|59RCR|6LWND|7TLV|8aLIT
24	14262 32242	   	298.67	ACR|DCR|2VULN|2LIT|1TLV|1RPLT	1RPLT|24VULN|3RCVC|59RCR|6FEWX|7TLV|8aLIT
25	41213 11441	   	297.04	DCR|DCR|2LIT|1TLV|1DMG	1ZMB|26LIT|3TLV|4BBNT|5ERES|7aRCR|8DMG|9RPLT
26	12113 51581	 * 	293.53	ACR|DCR|2VULN|1TLV|1LIT|1MLV|1RPLT	1RPLT|2MBVNT|37VULN|4LIT|5aRCR|6MDPS|8MLV|9TLV
