0	Index      	 *	Score 	Summary	Detail	
1	33112 41361	 * 	289.51	DCR|3LIT|2VULN|2TLV|2DUR	18RCVC|24aLIT|34TLV|4aBPWR|5aVULN|6MDPS|7aDUR|9RCR
2	33112 33148	 * 	286.28	DCR|2VULN|2TLV|2LIT|1MLV	1RCVC|24LIT|34TLV|4BPWR|57VULN|6MLV|8FEWX|9MBVNT|aRCR
3	33112 55316	 * 	285.99	DCR|3VULN|2TLV|2LIT|1DUR	1RCVC|24LIT|34TLV|4BPWR|579VULN|6AAC|8DUR|aRCR
4	33112 32664	 * 	285.82	DCR|3TLV|2VULN|2LIT|1MLV	1RCVC|24LIT|348TLV|4BPWR|5aVULN|6MLV|7RMIN|9RCR
5	33112 13236	   	284.64	DCR|3VULN|2TLV|2LIT	1RCVC|24LIT|34TLV|4BPWR|589VULN|6BELT|7RPLT|aRCR
6	33142 26231	 * 	282.08	DCR|2VULN|2LIT|1TLV|1DMG|2CDMG	1RCVC|2aLIT|3TLV|4aCDMG|5DMG|6FEWX|7aVULN|8RCR|9RPLT|aBPWR
7	33142 56231	   	281.98	DCR|2VULN|2LIT|1TLV|1DMG|2CDMG	1RCVC|2aLIT|3TLV|4aCDMG|5DMG|6DUST|7aVULN|8RCR|9RPLT|aBPWR
8	33112 11625	 * 	280.24	DCR|2TLV|2LIT|1VULN|1MLV|1DMG	1RCVC|24LIT|34TLV|4BPWR|5VULN|6BELT|7DMG|8MLV|9AAC|aRCR
9	21361 55232	 * 	279.87	ACR|DCR|2VULN|1TLV|1DMG|1RPLT|1CDMG	18RCR|2CDMG|3RPLT|4DLOT|5RCVC|6TLV|7DMG|9aVULN
10	33113 34163	 * 	279.58	DCR|3TLV|2LIT|1VULN|1MLV|1DMG	1RCVC|24LIT|346TLV|4BPWR|5MLV|7ERES|8DMG|9RCR|aVULN
11	33112 55116	   	276.33	DCR|3VULN|2TLV|2LIT	1RCVC|24LIT|34TLV|4BPWR|579VULN|6AAC|8FEWX|aRCR
12	62531 42231	 * 	276.18	DCR|3VULN|2TLV|1LIT|1DMG	1aLWND|2DMG|3AAC|47aVULN|5LIT|6RCR|8LHND|9aTLV|aBPWR
13	62611 42231	   	276.18	DCR|3VULN|2TLV|1LIT|1DMG	1aLWND|2DMG|37aVULN|4AAC|5LIT|6RCR|8LHND|9aTLV|aBPWR
14	24132 16423	 * 	275.71	ACR|DCR|2LIT|1TLV|1MLV|1DMG|1RPLT	1aRCR|2RPLT|3DMG|4LWND|5TLV|67LIT|8LEGI|9MLV
15	33113 65324	   	275.39	DCR|2TLV|2LIT|1VULN|1MLV|1BBNT	1RCVC|24LIT|34TLV|4BPWR|5MLV|6BEXP|7VULN|8TBNT|9BBNT|aRCR
16	33113 23324	   	275.29	DCR|2TLV|2LIT|1VULN|1MLV|1BBNT	1RCVC|24LIT|34TLV|4BPWR|5MLV|6DUST|7VULN|8TBNT|9BBNT|aRCR
17	33112 11125	 * 	274.26	DCR|2VULN|2TLV|2LIT|1DMG	1RCVC|24LIT|34TLV|4BPWR|59VULN|6BELT|7DMG|8LWND|aRCR
18	33112 11325	   	274.26	DCR|2VULN|2TLV|2LIT|1DMG	1RCVC|24LIT|34TLV|4BPWR|59VULN|6BELT|7DMG|8BEXP|aRCR
19	33116 13516	   	274.26	DCR|2VULN|2TLV|2LIT|1DMG	16RCVC|24LIT|34TLV|4BPWR|5FEWX|79VULN|8DMG|aRCR
20	33112 11542	   	274.16	DCR|2VULN|2TLV|2LIT|1DMG	1RCVC|24LIT|34TLV|4BPWR|5aVULN|6BELT|7DMG|8NUKE|9RCR
