0	Index      	 *	Score 	Summary	Detail	
1	12414 22341	 * 	320.44	DCR|3VULN|2TLV|2MLV|1LIT|1CDMG	17MLV|2CDMG|37TLV|4TBNT|57aVULN|6MBVNT|7BPWR|8LIT|9RCR
2	42213 12636	 * 	307.71	DCR|DCR|2VULN|2TLV	1TBNT|2AART|38TLV|49VULN|5RPLT|6CGEN|7aRCR
3	42213 22636	   	307.61	DCR|DCR|2VULN|2TLV	1TBNT|2AART|38TLV|49VULN|5RPLT|6ERES|7aRCR
4	24314 53231	 * 	302.38	DCR|DCR|2LIT|1TLV|1DMG|1CDMG	1AIRHEL|2TLV|3CGEN|47LIT|5BBNT|6DMG|8aRCR|9CDMG
5	24312 14531	 * 	298.51	DCR|DCR|2TLV|1LIT|1DMG|1CDMG	1AIRHEL|26TLV|3CGEN|4LIT|5DMG|7aRCR|8TBNT|9CDMG
6	12414 22343	   	298.31	DCR|2VULN|2TLV|2MLV|1LIT|1CDMG	17MLV|2CDMG|37TLV|4TBNT|57VULN|6MBVNT|7BPWR|8LIT|9RCR|aLWND
7	12414 22344	   	298.31	DCR|2VULN|2TLV|2MLV|1LIT|1CDMG	17MLV|2CDMG|37TLV|4TBNT|57VULN|6MBVNT|7BPWR|8LIT|9RCR|aFEWX
8	12414 22346	   	298.31	DCR|2VULN|2TLV|2MLV|1LIT|1CDMG	17MLV|2CDMG|37TLV|4TBNT|57VULN|6MBVNT|7BPWR|8LIT|9RCR|aBEXP
9	24312 34531	   	298.28	DCR|DCR|2LIT|1TLV|1DMG|1CDMG	1AIRHEL|2TLV|3CGEN|46LIT|5DMG|7aRCR|8TBNT|9CDMG
10	41126 53231	   	298.28	DCR|DCR|2LIT|1TLV|1DMG|1CDMG	1TBNT|27LIT|3CANARM|4TLV|5RMIN|6DMG|8aRCR|9CDMG
11	12414 22342	   	298.21	DCR|2VULN|2TLV|2MLV|1LIT|1CDMG	17MLV|2CDMG|37TLV|4TBNT|57VULN|6MBVNT|7BPWR|8LIT|9RCR|aDUST
12	12414 22345	   	298.21	DCR|2VULN|2TLV|2MLV|1LIT|1CDMG	17MLV|2CDMG|37TLV|4TBNT|57VULN|6MBVNT|7BPWR|8LIT|9RCR|aCANSTR
13	12414 22348	   	298.21	DCR|2VULN|2TLV|2MLV|1LIT|1CDMG	17MLV|2CDMG|37TLV|4TBNT|57VULN|6MBVNT|7BPWR|8LIT|9RCR|aAME
14	24345 23231	   	295.97	DCR|DCR|2LIT|1TLV|1ASPD|1CDMG	1AIRHEL|2TLV|3CGEN|4ASPD|5BBNT|67LIT|8aRCR|9CDMG
15	41433 45343	 * 	291.37	DCR|2VULN|2TLV|2LIT|1ASPD	1TBNT|27LIT|3MBVNT|47VULN|5BBNT|67TLV|7BPWR|8AART|9RCR|aASPD
16	32213 53447	 * 	291.16	DCR|2TLV|2LIT|1VULN|1MLV|2DUR|1CDMG	1CDMG|29LIT|3MLV|4LSRREG|59DUR|6MBVNT|7VULN|89TLV|9BPWR|aRCR
17	32223 53447	   	291.16	DCR|2TLV|2LIT|1VULN|1MLV|2DUR|1CDMG	1CDMG|29LIT|3MLV|4CANTOX|59DUR|6MBVNT|7VULN|89TLV|9BPWR|aRCR
18	32233 53447	   	291.16	DCR|2TLV|2LIT|1VULN|1MLV|2DUR|1CDMG	1CDMG|29LIT|3MLV|4AIRHEA|59DUR|6MBVNT|7VULN|89TLV|9BPWR|aRCR
