0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32232 32556	2	 * 	279.76	DCR|3VULN|3DMG|3DUR|1SELL	1DMSP|29aDUR|39aDMG|4ASPD|5FEWX|6SELL|7RCR|89aVULN|9aBPWR
2	63114 21487	9	 * 	273.33	DCR|4VULN|2DMG|2DUR|1AART	1469VULN|2MBVNT|36LHND|5AART|69BPWR|79DMG|89DUR|aRCR
3	63212 21287	9	   	273.33	DCR|4VULN|2DMG|2DUR|1AART	1469VULN|2MBVNT|36FEWX|5AART|69BPWR|79DMG|89DUR|aRCR
4	63412 21287	9	   	273.33	DCR|4VULN|2DMG|2DUR|1AART	1469VULN|2MBVNT|36BEXP|5AART|69BPWR|79DMG|89DUR|aRCR
5	31626 32313	10	 * 	272.67	DCR|3VULN|3DUR|1TLV|3LIT	1DMSP|278VULN|3ASPD|478DUR|578LIT|6MBVNT|78BPWR|9RCR|aTLV
6	32666 32313	10	   	272.67	DCR|3VULN|3DUR|1TLV|3LIT	1DMSP|278DUR|3ASPD|478VULN|578LIT|6MBVNT|78BPWR|9RCR|aTLV
7	66226 32313	10	   	272.67	DCR|3VULN|3DUR|1TLV|3LIT	178VULN|2ASPD|3RCVC|478DUR|578LIT|6MBVNT|78BPWR|9RCR|aTLV
8	13522 46232	1	 * 	270.47	DCR|5VULN|2DUR|1TLV	1LHND|26DUR|3LWND|4TLV|5679aVULN|6BPWR|8RCR
9	63344 64428	5	 * 	269.76	DCR|4VULN|3TLV|2DUR|1AART	179aVULN|2MBVNT|37ERES|479TLV|5AART|6RCR|79BPWR|89DUR
10	66321 13261	3	   	268.51	DCR|4VULN|2TLV|2DUR	1789VULN|2ASPD|3LEGI|49DUR|59TLV|6BELT|9BPWR|aRCR
11	66322 13261	3	   	268.51	DCR|4VULN|2TLV|2DUR	1789VULN|2ASPD|3LEGI|49DUR|5BELT|69TLV|9BPWR|aRCR
12	31626 32318	9	 * 	267.52	DCR|4VULN|3DUR|3LIT	1DMSP|278aVULN|3ASPD|478DUR|578LIT|6MBVNT|78BPWR|9RCR
13	31434 15231	3	 * 	267.45	DCR|5VULN|3DUR|1AART	1DMSP|2478aVULN|3AART|578DUR|678LHND|78BPWR|9RCR
14	66511 11211	8	 * 	267.16	DCR|4VULN|1TLV|1DMG|2ASPD|1AART	156aVULN|26ASPD|3RPLT|4AART|6BPWR|7DMG|8RCR|9TLV
15	66511 11211	9	   	267.16	DCR|4VULN|1TLV|1DMG|2ASPD|1AART	156aVULN|26ASPD|3RPLT|4AART|6BPWR|7DMG|8RCR|9TLV
16	63111 47471	5	 * 	267.02	DCR|4VULN|2DMG|2TLV	147aVULN|2MBVNT|3LHND|5RPLT|6RCR|8aDMG|9aTLV|aBPWR
17	63411 44471	5	   	267.02	DCR|4VULN|2DMG|2TLV	147aVULN|2MBVNT|3BEXP|5RPLT|6RCR|8aDMG|9aTLV|aBPWR
18	63111 24461	5	   	267.02	DCR|4VULN|2DMG|2TLV	147aVULN|2MBVNT|3LHND|5RPLT|6aTLV|8aDMG|9RCR|aBPWR
19	63111 44461	6	   	267.02	DCR|4VULN|2DMG|2TLV	147aVULN|2MBVNT|3LHND|5RPLT|6aTLV|8aDMG|9RCR|aBPWR
20	31414 31143	5	 * 	267.02	DCR|2VULN|3DUR|2DMG|1TLV|1AART	1DMSP|2aVULN|3AART|4TLV|59aDUR|6RPLT|7aDMG|8RCR|aBPWR
21	31415 31143	4	   	267.02	DCR|2VULN|3DUR|2DMG|1TLV|1AART	1DMSP|2aVULN|3AART|4TLV|59aDUR|6RPLT|7aDMG|8RCR|aBPWR
22	31425 31143	3	   	267.02	DCR|2VULN|3DUR|2DMG|1TLV|1AART	1DMSP|2aVULN|3AART|4TLV|59aDUR|6RPLT|7aDMG|8RCR|aBPWR
23	31626 32317	10	 * 	266.53	DCR|3VULN|3DUR|3LIT|1DMG	1DMSP|278VULN|3ASPD|478DUR|578LIT|6MBVNT|78BPWR|9RCR|aDMG
24	32123 51551	3	   	265.66	DCR|2VULN|3DUR|2DMG|1TLV	1DMSP|259DUR|3RPLT|4ASPD|6RCR|79DMG|89VULN|9BPWR|aTLV
25	64261 12112	1	   	264.48	DCR|3VULN|2DMG|2DUR|1CDMG	129VULN|39DMG|4FEWX|5ASPD|6RCR|79DUR|8BBNT|9BPWR|aCDMG
26	64533 12311	1	 * 	264.26	DCR|3VULN|3DUR|1TLV|1DMG	12aVULN|378DUR|4ZMB|5DMG|6RCR|9TLV
27	31666 12322	10	 * 	263.93	DCR|3VULN|3DUR|3ASPD|1CDMG	1DMSP|278VULN|378ASPD|4BEXP|5LIT|678DUR|78BPWR|9CDMG|aRCR
28	66511 11212	10	   	263.70	DCR|3VULN|2DMG|1TLV|2ASPD|1AART	156VULN|26ASPD|3RPLT|4AART|6BPWR|7aDMG|8RCR|9TLV
29	63344 64427	5	   	262.36	DCR|3VULN|3TLV|2DUR|1CDMG|1AART	179VULN|2MBVNT|37ERES|479TLV|5AART|6RCR|79BPWR|89DUR|aCDMG
30	63344 64425	5	 * 	261.94	DCR|3VULN|3DUR|3TLV|1AART	179VULN|2MBVNT|37ERES|479TLV|5AART|6RCR|79BPWR|89aDUR
31	66121 13261	3	   	261.87	DCR|4VULN|2TLV|2ASPD|1DUR	1789VULN|29ASPD|3LHND|4DUR|59TLV|6BELT|9BPWR|aRCR
