0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32241 46812	10	 * 	279.23	DCR|4VULN|3DMG|2DUR	1RCVC|27DUR|3MBVNT|4579VULN|678DMG|7BPWR|aRCR
2	66311 31212	8	 * 	277.74	DCR|5VULN|1TLV|2ASPD|1CDMG	1LIT|26ASPD|34569VULN|6BPWR|7CDMG|8RCR|aTLV
3	66323 13223	7	 * 	277.40	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	17LIT|2ASPD|378VULN|4LHND|5TLV|67DMG|7BPWR|9DUR|aRCR
4	66323 13235	7	 * 	276.81	DCR|3VULN|3DMG|1TLV|2LIT	17LIT|2ASPD|378VULN|4LHND|5TLV|679DMG|7BPWR|aRCR
5	32161 33225	10	 * 	271.60	DCR|3VULN|3DMG|3DUR|1NUKE	1RCVC|29aDUR|3aBEXP|489DMG|5NUKE|6RCR|79aVULN|9aBPWR
6	63323 13223	7	   	269.10	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	17LIT|2RMIN|378VULN|4LHND|5TLV|67DMG|7BPWR|9DUR|aRCR
7	63311 32122	8	   	268.14	DCR|5VULN|1TLV|2LIT|1CDMG	16LIT|2RMIN|34568VULN|6BPWR|7RCR|9CDMG|aTLV
8	63311 32152	9	   	268.14	DCR|5VULN|1TLV|2LIT|1CDMG	16LIT|2RMIN|34568VULN|6BPWR|7RCR|9CDMG|aTLV
9	63311 32334	7	   	268.14	DCR|5VULN|1TLV|2LIT|1CDMG	16LIT|2RMIN|3456aVULN|6BPWR|7RCR|8TLV|9CDMG
10	51126 46224	10	 * 	267.77	DCR|5VULN|2TLV|1DMG	17FEWX|2MBVNT|35789VULN|47TLV|6RCR|7BPWR|aDMG
11	21126 46224	10	   	267.57	DCR|5VULN|2TLV|1DMG	17DUST|2MBVNT|35789VULN|47TLV|6RCR|7BPWR|aDMG
12	11126 46822	10	 * 	267.12	DCR|4VULN|2DMG|3TLV	17aLHND|2MBVNT|357aVULN|479TLV|6RCR|7aBPWR|8aDMG
13	51124 46334	10	 * 	266.13	DCR|3VULN|2DMG|2TLV|2CDMG	157FEWX|2MBVNT|37aVULN|47TLV|6RCR|7aBPWR|8aCDMG|9aDMG
14	66313 31211	8	   	265.95	DCR|4VULN|1TLV|2ASPD|2LIT|1CDMG	15LIT|26ASPD|3469VULN|6BPWR|7CDMG|8RCR|aTLV
15	66311 31241	8	   	265.95	DCR|4VULN|1TLV|2ASPD|2LIT|1CDMG	19LIT|26ASPD|3456VULN|6BPWR|7CDMG|8RCR|aTLV
16	34243 15321	6	   	265.93	DCR|3VULN|2DMG|2TLV|2CDMG	1RCVC|29CDMG|34TLV|569VULN|79DMG|8BBNT|9BPWR|aRCR
17	63311 32133	10	   	264.60	DCR|5VULN|1DMG|1DUR|2LIT	16LIT|2RMIN|34568VULN|6BPWR|7RCR|9DMG|aDUR
18	63311 32111	8	 * 	264.23	DCR|5VULN|2DUR|3LIT	16aLIT|2RMIN|34568VULN|6aBPWR|7RCR|9aDUR
19	64311 42122	10	   	263.99	DCR|5VULN|1TLV|1DUR	1LIT|2ERES|34568VULN|7RCR|9TLV|aDUR
20	32241 46376	10	   	263.57	DCR|4VULN|2DMG|2DUR	1RCVC|27DUR|3MBVNT|4579VULN|67DMG|7BPWR|8MLV|aRCR
21	32161 33624	9	   	263.57	DCR|4VULN|2DMG|2DUR|1NUKE	1RCVC|29DUR|3BEXP|49DMG|5NUKE|6RCR|789aVULN|9BPWR
22	32161 33626	10	   	263.57	DCR|4VULN|2DMG|2DUR|1NUKE	1RCVC|29DUR|3BEXP|49DMG|5NUKE|6RCR|789aVULN|9BPWR
23	32123 15622	10	 * 	263.03	DCR|4VULN|3DUR|3ASPD	1RCVC|27aDUR|36BEXP|479aVULN|57aASPD|7aBPWR|8RCR
24	51144 34134	3	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	1FEWX|2MBVNT|359VULN|45DMG|5BPWR|6RCR|7DUR|8TLV|aLIT
25	51164 34134	4	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	1FEWX|2MBVNT|359VULN|45DMG|5BPWR|6RCR|7DUR|8TLV|aLIT
26	63311 32131	9	   	262.00	DCR|5VULN|1DMG|2LIT|1CDMG	16LIT|2RMIN|34568VULN|6BPWR|7RCR|9DMG|aCDMG
27	64311 42121	9	   	261.39	DCR|5VULN|1TLV|1CDMG	1LIT|2ERES|34568VULN|7RCR|9TLV|aCDMG
28	21126 46228	10	   	261.16	DCR|5VULN|2TLV|1CDMG	17DUST|2MBVNT|35789VULN|47TLV|6RCR|7BPWR|aCDMG
29	66323 13432	10	   	261.15	DCR|3VULN|2DMG|1TLV|2LIT	17LIT|2ASPD|37aVULN|4LHND|5TLV|67DMG|7BPWR|8RCR|9RMIN
30	63323 13442	10	   	261.15	DCR|3VULN|2DMG|1TLV|2LIT	17LIT|2RMIN|37aVULN|4LHND|5TLV|67DMG|7BPWR|8RCR|9ASPD
31	66323 13412	8	   	260.79	DCR|2VULN|2DMG|2TLV|1DUR|2LIT	17LIT|2ASPD|37VULN|4LHND|59TLV|67DMG|7BPWR|8RCR|aDUR
32	66323 13623	7	   	260.55	DCR|2VULN|2DMG|1TLV|2ASPD|1DUR|2LIT	17LIT|28ASPD|37VULN|4LHND|5TLV|67DMG|7BPWR|9DUR|aRCR
33	32161 33226	9	 * 	259.69	DCR|2VULN|3DMG|2DUR|1TLV|1NUKE	1RCVC|29DUR|3BEXP|489DMG|5NUKE|6RCR|79VULN|9BPWR|aTLV
34	32361 33226	9	   	259.69	DCR|2VULN|3DMG|2DUR|1TLV|1NUKE	1RCVC|29DUR|3FEWX|489DMG|5NUKE|6RCR|79VULN|9BPWR|aTLV
35	11144 38264	3	   	259.62	DCR|3VULN|2DMG|2TLV|1CDMG	1aLHND|2MBVNT|35aVULN|45DMG|5aBPWR|6RCR|7TBNT|8CDMG|9aTLV
36	11164 38264	4	   	259.62	DCR|3VULN|2DMG|2TLV|1CDMG	1aLHND|2MBVNT|35aVULN|45DMG|5aBPWR|6RCR|7TBNT|8CDMG|9aTLV
37	51144 38244	3	   	259.62	DCR|3VULN|2DMG|2TLV|1CDMG	1aFEWX|2MBVNT|35aVULN|45DMG|5aBPWR|6RCR|7TBNT|8CDMG|9aTLV
38	51164 38244	4	   	259.62	DCR|3VULN|2DMG|2TLV|1CDMG	1aFEWX|2MBVNT|35aVULN|45DMG|5aBPWR|6RCR|7TBNT|8CDMG|9aTLV
39	11126 42864	8	   	259.50	DCR|5VULN|1TLV|1DMG	1LHND|2MBVNT|3579aVULN|4TLV|6RCR|8DMG
40	51126 42224	10	   	259.50	DCR|5VULN|1TLV|1DMG	1FEWX|2MBVNT|35789VULN|4TLV|6RCR|aDMG
41	11172 86124	3	   	259.48	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	1LHND|2MBVNT|3aVULN|4DUR|5ASPD|6aDMG|7RCR|8CDMG|9aTLV|aBPWR
42	66311 33214	6	   	259.40	DCR|4VULN|1TLV|2ASPD|1CDMG	1LIT|26ASPD|3456VULN|6BPWR|7TLV|8CDMG|9ZMB|aRCR
43	66314 31211	8	   	259.40	DCR|4VULN|1TLV|2ASPD|1CDMG	1LIT|26ASPD|3469VULN|5RCVC|6BPWR|7CDMG|8RCR|aTLV
44	66311 31211	10	   	259.40	DCR|4VULN|1TLV|2ASPD|1CDMG	1LIT|26ASPD|3456VULN|6BPWR|7CDMG|8RCR|9LHND|aTLV
45	66311 31221	10	   	259.40	DCR|4VULN|1TLV|2ASPD|1CDMG	1LIT|26ASPD|3456VULN|6BPWR|7CDMG|8RCR|9BEXP|aTLV
46	66311 31231	8	   	259.40	DCR|4VULN|1TLV|2ASPD|1CDMG	1LIT|26ASPD|3456VULN|6BPWR|7CDMG|8RCR|9RCVC|aTLV
47	66311 31233	9	   	259.40	DCR|4VULN|1TLV|2ASPD|1CDMG	1LIT|26ASPD|3456VULN|6BPWR|7CDMG|8RCR|9CGEN|aTLV
48	21126 42224	10	   	259.40	DCR|5VULN|1TLV|1DMG	1DUST|2MBVNT|35789VULN|4TLV|6RCR|aDMG
49	66311 31251	8	   	259.30	DCR|4VULN|1TLV|2ASPD|1CDMG	1LIT|26ASPD|3456VULN|6BPWR|7CDMG|8RCR|9TBNT|aTLV
50	32421 14231	9	 * 	259.16	DCR|3VULN|3DUR|1TLV|2LIT	1RCVC|267DUR|38ERES|48LIT|568VULN|68BPWR|9RCR|aTLV
51	64311 42111	8	   	259.02	DCR|5VULN|2DUR|2LIT	1aLIT|2aERES|34568VULN|7RCR|9aDUR|aBPWR
52	11144 33433	3	   	258.84	DCR|4VULN|2DMG|1TLV	1LHND|2MBVNT|359aVULN|45DMG|5BPWR|6RCR|7TLV|8LWND
53	11164 33433	4	   	258.84	DCR|4VULN|2DMG|1TLV	1LHND|2MBVNT|359aVULN|45DMG|5BPWR|6RCR|7TLV|8LWND
54	51144 33214	3	   	258.84	DCR|4VULN|2DMG|1TLV	1FEWX|2MBVNT|358aVULN|45DMG|5BPWR|6RCR|7RPLT|9TLV
55	51164 33214	4	   	258.84	DCR|4VULN|2DMG|1TLV	1FEWX|2MBVNT|358aVULN|45DMG|5BPWR|6RCR|7RPLT|9TLV
56	21441 46626	10	   	258.74	DCR|4VULN|2DMG|1TLV	17DUST|2MBVNT|3DMSP|4578VULN|67DMG|7BPWR|9TLV|aRCR
57	36142 33124	9	   	258.67	DCR|3VULN|2DMG|2DUR|2ASPD	1RCVC|29ASPD|39DUR|48DMG|5DUST|6RCR|79aVULN|9BPWR
58	36142 33126	10	   	258.67	DCR|3VULN|2DMG|2DUR|2ASPD	1RCVC|29ASPD|39DUR|48DMG|5DUST|6RCR|79aVULN|9BPWR
59	11144 37461	3	   	258.55	DCR|3VULN|3DMG|1DUR|2LIT	18LHND|2MBVNT|359VULN|458DMG|58BPWR|6RCR|78LIT|aDUR
60	11164 37461	4	   	258.55	DCR|3VULN|3DMG|1DUR|2LIT	18LHND|2MBVNT|359VULN|458DMG|58BPWR|6RCR|78LIT|aDUR
61	51144 37461	3	   	258.55	DCR|3VULN|3DMG|1DUR|2LIT	18FEWX|2MBVNT|359VULN|458DMG|58BPWR|6RCR|78LIT|aDUR
62	63311 32151	10	   	258.18	DCR|5VULN|1DUR|2LIT|1CDMG	16LIT|2RMIN|34568VULN|6BPWR|7RCR|9CDMG|aDUR
63	32241 46853	8	   	258.17	DCR|3VULN|3DMG|2DUR	1RCVC|27DUR|3MBVNT|457VULN|678DMG|7BPWR|9RPLT|aRCR
64	66311 31213	8	   	258.08	DCR|5VULN|2ASPD|2LIT|1CDMG	1aLIT|26ASPD|34569VULN|6BPWR|7CDMG|8RCR
65	63323 13462	9	   	258.05	DCR|2VULN|2DMG|1TLV|1DUR|2LIT|1CDMG	17LIT|2RMIN|37VULN|4LHND|5TLV|67DMG|7BPWR|8RCR|9CDMG|aDUR
66	66311 31114	8	 * 	257.85	DCR|5VULN|2CDMG|2ASPD	1LIT|26ASPD|34568VULN|6BPWR|79CDMG|aRCR
