0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22254 26184	10	 * 	296.09	DCR|4VULN|2DMG|2DUR|2TLV	17DUR|2467VULN|3MBVNT|57TLV|7BPWR|89DMG|aRCR
2	22254 22168	8	   	292.37	DCR|4VULN|2DMG|2DUR|1TLV	1aDUR|246aVULN|3MBVNT|5TLV|7RCR|8CGEN|9aDMG|aBPWR
3	22254 22188	9	   	292.37	DCR|4VULN|2DMG|2DUR|1TLV	1aDUR|246aVULN|3MBVNT|5TLV|7RCR|8CGEN|9aDMG|aBPWR
4	22254 26148	10	 * 	291.73	DCR|4VULN|3DUR|2TLV|1DMG	179DUR|2467VULN|3MBVNT|57TLV|7BPWR|8DMG|aRCR
5	22254 26425	8	   	286.81	DCR|4VULN|2DUR|2TLV|1DMG	17DUR|2467VULN|3MBVNT|57TLV|7BPWR|8LIT|9RCR|aDMG
6	22151 26132	4	 * 	285.38	DCR|2VULN|3DMG|3DUR|2TLV	167DUR|2aVULN|3AART|47TLV|57aDMG|7aBPWR|8RCR|9aBEXP
7	22641 26132	4	   	285.38	DCR|2VULN|3DMG|3DUR|2TLV	167DUR|2aVULN|37TLV|4AART|57aDMG|7aBPWR|8RCR|9aBEXP
8	22151 26162	4	   	285.18	DCR|2VULN|3DMG|3DUR|2TLV	167DUR|2aVULN|3AART|47TLV|57aDMG|7aBPWR|8RCR|9aDUST
9	22522 23215	10	 * 	284.04	DCR|3VULN|3DUR|2CDMG|1DMG|2LIT	145DUR|268VULN|38CDMG|78LIT|8BPWR|9DMG|aRCR
10	22616 53312	5	 * 	282.96	DCR|3VULN|3DUR|2DMG|1TLV	178DUR|27aVULN|3TLV|4LHND|57DMG|6TBNT|7BPWR|9RCR
11	22411 23513	8	 * 	282.67	DCR|4VULN|3DUR|3LIT|1ASPD	189DUR|2689VULN|35DUST|4ASPD|789LIT|89BPWR|aRCR
12	23443 21521	7	 * 	282.66	DCR|3VULN|3DMG|3DUR	18aDUR|2RPLT|38aDMG|4BEXP|56LHND|78aVULN|8aBPWR|9RCR
13	23462 13521	3	   	282.56	DCR|3VULN|3DMG|3DUR	18aDUR|2RPLT|38aDMG|4DUST|56LHND|78aVULN|8aBPWR|9RCR
14	23614 41741	7	   	282.36	DCR|3VULN|3DMG|3DUR	15aDUR|2RPLT|3MBVNT|45aDMG|5aBPWR|6RCR|79aVULN|8LEGI
15	23614 44741	6	   	282.36	DCR|3VULN|3DMG|3DUR	15aDUR|2RPLT|3MBVNT|45aDMG|5aBPWR|6RCR|79aVULN|8LEGI
16	11333 33614	1	 * 	281.11	DCR|4VULN|3DMG|3LIT	179FEWX|256aVULN|39aDMG|49aLIT|8RCR|9aBPWR
17	22254 22521	10	 * 	279.54	DCR|5VULN|1DMG|1TLV|1DUR	1DUR|2469aVULN|3MBVNT|5TLV|7RCR|8DMG
18	21611 11511	5	 * 	278.60	DCR|4VULN|2DUR|1DMG|2CDMG	19DUR|2BELT|3DMG|49CDMG|5789VULN|6RCVC|9BPWR|aRCR
19	22254 26153	10	   	278.40	DCR|4VULN|2DUR|2TLV|1DMG	17DUR|2467VULN|3MBVNT|57TLV|7BPWR|8DMG|9ERES|aRCR
20	21653 16321	9	   	278.36	DCR|4VULN|2DUR|1DMG|2CDMG|1SELL	1aDUR|2BELT|3DMG|459aVULN|6SELL|7aCDMG|8RCR|aBPWR
21	22254 26381	10	 * 	277.88	DCR|5VULN|2DUR|2TLV	17DUR|2467aVULN|3MBVNT|57TLV|7BPWR|8ERES|9RCR
22	22254 26823	8	   	277.88	DCR|5VULN|2DUR|2TLV	17DUR|24678VULN|3MBVNT|57TLV|7BPWR|9BBNT|aRCR
23	22254 22581	10	   	277.59	DCR|4VULN|2DMG|1TLV|1DUR	1DUR|246aVULN|3MBVNT|5TLV|7RCR|89DMG
24	35222 61522	5	   	276.50	DCR|4VULN|2DMG|1DUR|2LIT	18LIT|28DMG|3468VULN|5RPLT|7RCR|8BPWR|9LHND|aDUR
25	35231 61522	5	   	276.50	DCR|4VULN|2DMG|1DUR|2LIT	18LIT|28DMG|3568VULN|4RPLT|7RCR|8BPWR|9LHND|aDUR
26	22121 26114	3	   	276.47	DCR|3VULN|3DUR|2DMG	167DUR|27aVULN|3AART|4RMIN|57DMG|7BPWR|8RCR|9RCVC
27	22121 26114	4	   	276.37	DCR|3VULN|3DUR|2DMG|1NUKE	167DUR|27aVULN|3AART|4NUKE|57DMG|7BPWR|8RCR|9RCVC
28	22242 18884	9	   	276.12	DCR|4VULN|2DMG|2DUR	1aDUR|268aVULN|3MBVNT|4BEXP|5LHND|7RCR|9aDMG|aBPWR
29	22251 26184	10	   	276.12	DCR|4VULN|2DMG|2DUR	17DUR|2467VULN|3MBVNT|57CGEN|7BPWR|89DMG|aRCR
30	11236 33614	3	   	276.10	DCR|4VULN|3DMG|2LIT	179FEWX|2RCVC|3aLIT|49aDMG|569aVULN|8RCR|9aBPWR
31	21653 12511	7	   	275.98	DCR|4VULN|2DMG|2DUR|1SELL	19DUR|2BELT|39DMG|4589VULN|6SELL|7RCVC|9BPWR|aRCR
32	21653 13511	6	   	275.98	DCR|4VULN|2DMG|2DUR|1SELL	19DUR|2BELT|39DMG|4589VULN|6SELL|7RCVC|9BPWR|aRCR
33	22254 22118	8	 * 	275.94	DCR|4VULN|2DUR|2ASPD|1TLV	1aDUR|246aVULN|3MBVNT|5TLV|7RCR|8CGEN|9aASPD|aBPWR
34	22254 22718	7	   	275.84	DCR|4VULN|2DUR|2ASPD|1TLV	1aDUR|246aVULN|3MBVNT|5TLV|7RCR|8ERES|9aASPD|aBPWR
35	22254 22438	7	   	274.79	DCR|4VULN|2DUR|1DMG|1TLV	1aDUR|246aVULN|3MBVNT|5TLV|7RCR|8DMG|9aCGEN|aBPWR
