0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21151 26215	7	 * 	312.76	DCR|4VULN|3DUR|2DMG|1TLV	1MBVNT|2459VULN|349DUR|49BPWR|6AART|7RCR|89DMG|aTLV
2	21151 26217	7	 * 	304.90	DCR|5VULN|3DUR|2DMG	1MBVNT|2459aVULN|349DUR|49BPWR|6AART|7RCR|89DMG
3	21111 26215	7	   	291.61	DCR|3VULN|3DUR|2DMG|1TLV	1MBVNT|259VULN|349DUR|6AART|7RCR|89DMG|9BPWR|aTLV
4	21338 71311	4	   	291.57	DCR|5VULN|2DMG|2DUR	1MBVNT|2459aVULN|3AART|49BPWR|69DMG|7RCR|89DUR
5	21348 71311	4	   	291.57	DCR|5VULN|2DMG|2DUR	1MBVNT|2459aVULN|3AART|69DMG|7RCR|89DUR|9BPWR
6	21388 71311	3	   	291.57	DCR|5VULN|2DMG|2DUR	1MBVNT|2459aVULN|3AART|69DMG|7RCR|89DUR|9BPWR
7	21377 24325	3	 * 	286.88	DCR|3VULN|3DMG|1TLV|3ASPD	1MBVNT|289VULN|3AART|4ERES|589DMG|6RCR|789ASPD|89BPWR|aTLV
8	21151 26212	7	   	286.56	DCR|4VULN|3DUR|2DMG	1MBVNT|2459VULN|349DUR|49BPWR|6AART|7RCR|89DMG|aLHND
9	21151 26213	7	   	286.56	DCR|4VULN|3DUR|2DMG	1MBVNT|2459VULN|349DUR|49BPWR|6AART|7RCR|89DMG|aFEWX
10	21151 26214	7	   	286.56	DCR|4VULN|3DUR|2DMG	1MBVNT|2459VULN|349DUR|49BPWR|6AART|7RCR|89DMG|aRPLT
11	21151 26218	7	   	286.56	DCR|4VULN|3DUR|2DMG	1MBVNT|2459VULN|349DUR|49BPWR|6AART|7RCR|89DMG|aLWND
12	21111 26217	7	   	286.46	DCR|4VULN|3DUR|2DMG	1MBVNT|259aVULN|349DUR|6AART|7RCR|89DMG|9BPWR
13	21151 26211	7	   	286.46	DCR|4VULN|3DUR|2DMG	1MBVNT|2459VULN|349DUR|49BPWR|6AART|7RCR|89DMG|aERES
14	28272 23111	10	 * 	284.38	DCR|3VULN|3DMG|2DUR|1TLV	1MBVNT|27DUR|379DMG|467VULN|5BELT|7BPWR|8RCR|aTLV
15	28272 23118	9	   	284.38	DCR|3VULN|3DMG|2DUR|1TLV	1MBVNT|27DUR|379DMG|467VULN|5BELT|7BPWR|8RCR|aTLV
16	23836 43111	10	   	284.38	DCR|3VULN|3DMG|2DUR|1TLV	1MBVNT|2BELT|37DUR|457VULN|679DMG|7BPWR|8RCR|aTLV
17	23836 43118	9	   	284.38	DCR|3VULN|3DMG|2DUR|1TLV	1MBVNT|2BELT|37DUR|457VULN|679DMG|7BPWR|8RCR|aTLV
