0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33244 22215	7	 * 	291.55	DCR|4VULN|3DUR|1TLV|3CDMG	138CDMG|2389VULN|38BPWR|4TLV|5MLV|68aDUR|7RCR
2	33241 24322	8	 * 	287.96	DCR|5VULN|1TLV|1DMG|2CDMG	13CDMG|2389aVULN|3BPWR|4TLV|5LIT|6DMG|7RCR
3	33241 25522	7	   	287.96	DCR|5VULN|1TLV|1DMG|2CDMG	13CDMG|2379aVULN|3BPWR|4TLV|5LIT|6DMG|8RCR
4	33244 22213	7	   	286.63	DCR|4VULN|2DUR|1TLV|3CDMG	138CDMG|2389VULN|38BPWR|4TLV|5MLV|68DUR|7RCR|aLIT
5	33244 63213	5	   	286.63	DCR|4VULN|2DUR|1TLV|3CDMG	138CDMG|2389VULN|38BPWR|4TLV|5MLV|6RCR|78DUR|aLIT
6	33246 63213	4	   	286.63	DCR|4VULN|2DUR|1TLV|3CDMG	138CDMG|2389VULN|38BPWR|4TLV|5CGEN|6RCR|78DUR|aLIT
7	33246 63213	5	   	286.63	DCR|4VULN|2DUR|1TLV|3CDMG	138CDMG|2389VULN|38BPWR|4TLV|5CGEN|6RCR|78DUR|aLIT
8	33241 24325	8	   	285.87	DCR|4VULN|1TLV|1DMG|2CDMG|1DUR	13CDMG|2389VULN|3BPWR|4TLV|5LIT|6DMG|7RCR|aDUR
9	33242 61241	5	 * 	285.55	DCR|3VULN|2DUR|1TLV|3CDMG|1DMG|1NUKE	139CDMG|239VULN|39BPWR|4TLV|5NUKE|6RCR|7ASPD|89DUR|aDMG
10	33215 62235	3	 * 	285.51	DCR|4VULN|3DUR|3CDMG|1DMG	139CDMG|2359VULN|359BPWR|458DUR|6RCR|79MLV|aDMG
11	33235 62235	4	   	285.51	DCR|4VULN|3DUR|3CDMG|1DMG	139CDMG|2359VULN|359BPWR|458DUR|6RCR|79MLV|aDMG
12	33235 25123	7	   	285.31	DCR|4VULN|3DUR|1TLV|2CDMG	13CDMG|239aVULN|3BPWR|456DUR|7TLV|8RCR
13	33215 62522	3	 * 	284.39	DCR|5VULN|2DUR|1DMG|2CDMG	13CDMG|2359aVULN|35BPWR|45DUR|6RCR|7MLV|8DMG
14	33235 62522	4	   	284.39	DCR|5VULN|2DUR|1DMG|2CDMG	13CDMG|2359aVULN|35BPWR|45DUR|6RCR|7MLV|8DMG
15	33235 25121	7	 * 	284.33	DCR|3VULN|3DUR|1TLV|1DMG|2CDMG	13CDMG|239VULN|3BPWR|456DUR|7TLV|8RCR|aDMG
16	33215 62233	3	 * 	283.79	DCR|5VULN|3DUR|3CDMG	139CDMG|2359aVULN|359BPWR|458DUR|6RCR|79MLV
17	33235 62233	4	   	283.79	DCR|5VULN|3DUR|3CDMG	139CDMG|2359aVULN|359BPWR|458DUR|6RCR|79MLV
18	33215 65311	3	   	280.86	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG|1AART	13CDMG|235VULN|35BPWR|45DUR|6RCR|7AART|8FEWX|9TLV|aDMG
19	33235 65311	4	   	280.86	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG|1AART	13CDMG|235VULN|35BPWR|45DUR|6RCR|7AART|8FEWX|9TLV|aDMG
20	33243 24134	7	 * 	280.09	DCR|4VULN|2TLV|3CDMG|2LIT|1AART	139CDMG|238aVULN|3aBPWR|4aTLV|5AART|6aLIT|7RCR
21	33215 62221	3	   	279.27	DCR|4VULN|3DUR|1DMG|2CDMG	13CDMG|2359VULN|35BPWR|458DUR|6RCR|7MLV|aDMG
22	33235 62221	4	   	279.27	DCR|4VULN|3DUR|1DMG|2CDMG	13CDMG|2359VULN|35BPWR|458DUR|6RCR|7MLV|aDMG
23	33215 64221	3	   	279.17	DCR|4VULN|3DUR|1DMG|2CDMG	13CDMG|2359VULN|35BPWR|458DUR|6RCR|7ERES|aDMG
24	33235 64221	4	   	279.17	DCR|4VULN|3DUR|1DMG|2CDMG	13CDMG|2359VULN|35BPWR|458DUR|6RCR|7ERES|aDMG
25	33243 24532	10	 * 	279.10	DCR|3VULN|2TLV|3CDMG|1DMG|2LIT|1AART	138CDMG|23aVULN|38BPWR|48TLV|5AART|68LIT|7RCR|9DMG
26	33243 24532	9	   	279.10	DCR|3VULN|2TLV|3CDMG|1DMG|2LIT|1AART	138CDMG|23aVULN|38BPWR|48TLV|5AART|68LIT|7RCR|9DMG
27	33235 25131	7	 * 	278.58	DCR|3VULN|3DUR|2TLV|3CDMG	139CDMG|239VULN|39BPWR|456DUR|79TLV|8RCR|aBEXP
28	33235 25135	7	   	278.58	DCR|3VULN|3DUR|2TLV|3CDMG	139CDMG|239VULN|39BPWR|456DUR|79TLV|8RCR|aRPLT
29	33235 25133	7	   	278.48	DCR|3VULN|3DUR|2TLV|3CDMG	139CDMG|239VULN|39BPWR|456DUR|79TLV|8RCR|aERES
30	33244 22212	7	   	278.33	DCR|4VULN|2DUR|1TLV|3CDMG	138CDMG|2389VULN|38BPWR|4TLV|5MLV|68DUR|7RCR|aLHND
